Merge ID	Ishihama2008_s2(1)F	Masuda_et_al_Supple_rev2009(5)F	PengTable(2)L	# Identified
	1090	1570	4155	Novel: 3
P0A6Q3	1	1	1	3	A | ;2,34E+04 | ;3,38 | ;3,38 | ;3039,41 | 
P0A6Q6	1	1	1	3	F1 | ;3,33E+03 | ;4,34 | ;801,61 | 
P0A6R0	1	1	1	3	A | ;1,32E+03 | ;1,61 | ;1,61 | ;2633,1 | 
P0A6R3	1	1	1	3	A | ;4,53E+05 | ;1,31 | ;13782,09 | 
P0A6S0	0	0	1	1	I | ; | 
P0A6S7	1	1	1	3	A | ;1,86E+02 | ;1,66 | ;1,66 | ; | 
P0A6T1	1	1	1	3	A | ;3,33E+03 | ;7,97 | ;1099,04 | 
P0A6T9	1	1	1	3	A | ;6,13E+02 | ;6 | ;5336,13 | 
P0A6U8	1	1	1	3	A | ;1,60E+02 | ;1,31 | ;1,31 | ; | 
P0A6V1	0	1	1	2	A | ;0,79 | ;0,79 | ; | 
P0A6V5	0	0	1	1	A | ; | 
P0A6V8	1	1	1	3	A | ;3,15E+02 | ;2,39 | ; | 
P0A6W5	1	1	1	3	A | ;2,55E+03 | ;0,61 | ; | 
P0A6W9	1	1	1	3	A | ;2,60E+02 | ;1,83 | ;1,83 | ; | 
P0A6X1	0	0	1	1	A_trl | ;1391,83 | 
P0A6X3	1	1	1	3	F1 | ;5,85E+03 | ;25,05 | ; | 
P0A6Y8	1	1	1	3	F1 | ;3,12E+04 | ;10,49 | ;10,49 | ;13814,81 | 
P0A6Z1	1	1	1	3	A | ;4,91E+02 | ;0,74 | ;0,74 | ; | 
P0A6Z3	1	1	1	3	F1 | ;2,07E+03 | ;9,48 | ;9,48 | ;2890,97 | 
P0A700	0	0	1	1	A | ; | 
P0A703	0	0	1	1	A | ; | 
P0A715	1	1	1	3	A | ;3,76E+03 | ;2,87 | ;2,87 | ;1923,65 | 
P0A717	1	1	1	3	A | ;2,98E+03 | ;2,52 | ;2,52 | ;6223,05 | 
P0A720	1	1	1	3	A | ;2,36E+02 | ;0,36 | ;0,36 | ; | 
P0A722	1	1	1	3	A | ;6,64E+02 | ;2,04 | ;405,3 | 
P0A725	0	1	1	2	A | ;5,42 | ; | 
P0A729	0	1	1	2	A | ;1,82 | ; | 
P0A731	1	1	1	3	A | ;5,46E+02 | ;1,56 | ; | 
P0A734	1	1	1	3	F1 | ;8,05E+02 | ;1,69 | ;1,69 | ;3289,85 | 
P0A738	0	1	1	2	A | ;0,95 | ; | 
P0A744	0	0	1	1	A | ; | 
P0A746	1	1	1	3	A | ;2,50E+02 | ;2,97 | ;3009,01 | 
P0A752	0	0	1	1	A | ; | 
P0A754	0	0	1	1	F1 | ; | 
P0A756	0	0	1	1	F1 | ; | 
P0A759	1	1	1	3	B | ;5,46E+02 | ;1,37 | ;1,37 | ; | 
P0A763	1	1	1	3	A | ;5,23E+03 | ;2 | ;2 | ;19029,95 | 
P0A766	0	0	1	1	B | ; | 
P0A769	0	0	1	1	B | ; | 
P0A772	0	0	1	1	A | ; | 
P0A776	0	0	1	1	A | ; | 
P0A784	1	1	1	3	A | ;1,22E+03 | ;- | ; | 
P0A786	1	1	1	3	A | ;9,59E+02 | ;5,13 | ;5,13 | ;532,85 | 
P0A790	1	1	1	3	A | ;2,11E+03 | ;0,99 | ; | 
P0A794	1	1	1	3	A | ;7,37E+02 | ;0,44 | ; | 
P0A796	1	1	1	3	A | ;1,55E+03 | ;2,88 | ;2,88 | ;3287,39 | 
P0A799	1	1	1	3	A | ;1,24E+05 | ;3,56 | ;3,56 | ;14681,75 | 
P0A7A5	0	1	1	2	A | ;1,39 | ;1,39 | ; | 
P0A7A9	1	1	1	3	A | ;7,16E+03 | ;8,83 | ;8,83 | ;8324,05 | 
P0A7B1	0	1	1	2	F1 | ;1,13 | ;1,13 | ; | 
P0A7B3	0	0	1	1	F1 | ; | 
P0A7B5	1	1	1	3	A | ;2,78E+02 | ;0,77 | ;0,77 | ;714,43 | 
P0A7B8	1	1	1	3	A | ;6,13E+02 | ;2,43 | ;2,43 | ; | 
P0A7C2	1	1	1	3	A | ;2,12E+02 | ;1,12 | ; | 
P0A7C6	0	1	1	2	A | ;0,33 | ; | 
P0A7D4	1	1	1	3	A | ;7,16E+03 | ;12 | ;12 | ;6363,21 | 
P0A7D7	1	1	1	3	A | ;3,33E+03 | ;5,75 | ;5,75 | ;3058,39 | 
P0A7E1	1	1	1	3	F1 | ;1,73E+02 | ;0,53 | ;0,53 | ; | 
P0A7E3	1	0	1	2	A | ;9,05E+02 | ; | 
P0A7E5	1	1	1	3	B | ;1,45E+03 | ;1,31 | ;1,31 | ; | 
P0A7E9	1	1	1	3	A | ;9,05E+02 | ;3,77 | ;3,77 | ;581,31 | 
P0A7F3	1	1	1	3	A | ;8,35E+02 | ;6 | ;6 | ; | 
P0A7F6	1	1	1	3	A | ;7,27E+02 | ;0,92 | ;1187,33 | 
P0A7F9	1	1	1	3	A | ;1,98E+02 | ;0,59 | ; | 
P0A7G2	1	1	1	3	A_trl | ;7,04E+02 | ;1 | ; | 
P0A7H0	0	0	1	1	A | ; | 
P0A7H3	0	0	1	1	B | ; | 
P0A7H6	0	1	1	2	A | ;13,57 | ; | 
P0A7I0	1	1	1	3	A | ;2,12E+02 | ;0,25 | ; | 
P0A7I4	1	1	1	3	A_trl | ;6,92E+02 | ;0 | ;0 | ; | 
P0A7I7	0	1	1	2	A | ;0,89 | ; | 
P0A7J0	1	1	1	3	F1 | ;3,09E+03 | ;0,54 | ;935,76 | 
P0A7J3	1	1	1	3	A_trl | ;1,89E+04 | ;12,93 | ;12,93 | ;5903,05 | 
P0A7K6	1	1	1	3	A_trl | ;1,94E+04 | ;8,18 | ;8,18 | ;17795,89 | 
P0A7R5	1	1	1	3	A_trl | ;1,28E+04 | ;7,22 | ;7,22 | ;17655,98 | 
P0A7R9	1	1	1	3	A_trl | ;8,19E+03 | ;7,81 | ;7,81 | ;23941,87 | 
P0A7S9	1	1	1	3	A_trl | ;3,12E+04 | ;11,13 | ;11,13 | ;27437,39 | 
P0A7T3	1	1	1	3	A_trl | ;6,10E+04 | ;11,84 | ;29550,86 | 
P0A7U3	1	1	1	3	A_trl | ;8,52E+04 | ;10,63 | ;10,63 | ;12179,99 | 
P0A7V0	1	1	1	3	A_trl | ;9,92E+04 | ;12,55 | ;12,55 | ;13099,68 | 
P0A7V8	1	1	1	3	A_trl | ;9,11E+04 | ;7,54 | ;7,54 | ;18021,27 | 
P0A7W1	1	1	1	3	A_trl | ;4,53E+04 | ;11,95 | ;11,95 | ;28222,73 | 
P0A7W7	1	1	1	3	A_trl | ;9,68E+03 | ;11,32 | ;11,32 | ;6095,37 | 
P0A7X3	1	1	1	3	A_trl | ;9,01E+03 | ;2,77 | ;2,77 | ;8851,91 | 
P0A7X6	1	1	1	3	A_trl | ;6,13E+02 | ;7,37 | ; | 
P0A7Y0	1	1	1	3	A | ;3,82E+02 | ;0,58 | ;0,58 | ; | 
P0A7Y4	0	0	1	1	A | ; | 
P0A7Y8	0	0	1	1	A | ; | 
P0A7Z0	1	1	1	3	A | ;2,33E+03 | ;3,39 | ;3,39 | ;1681,52 | 
P0A7Z4	1	1	1	3	A | ;7,87E+03 | ;10,58 | ;10,58 | ;17803,54 | 
P0A805	1	1	1	3	A | ;1,38E+04 | ;5 | ;4237,62 | 
P0A809	0	0	1	1	A | ; | 
P0A812	1	1	1	3	A | ;1,60E+02 | ;0,24 | ; | 
P0A817	1	1	1	3	A | ;1,89E+03 | ;0,36 | ;0,36 | ;11978,78 | 
P0A823	0	0	1	1	A | ; | 
P0A825	1	1	1	3	A | ;1,05E+04 | ;4,49 | ;4,49 | ;6180,43 | 
P0A828	0	0	1	1	A | ; | 
P0A832	1	1	1	3	A | ;7,63E+02 | ;1,04 | ;1,04 | ; | 
P0A836	1	1	1	3	A | ;1,11E+03 | ;9,48 | ;9,48 | ;8812,38 | 
P0A840	0	1	1	2	A | ;2,06 | ; | 
P0A847	1	1	1	3	A | ;6,90E+02 | ;3,66 | ;3,66 | ;523,12 | 
P0A850	1	1	1	3	A_trl | ;3,12E+04 | ;7,03 | ;7,03 | ;10042,87 | 
P0A853	1	1	1	3	A | ;8,35E+02 | ;- | ;- | ; | 
P0A855	1	1	1	3	G | ;1,15E+03 | ;2,19 | ;2,19 | ;762,03 | 
P0A858	1	1	1	3	A | ;2,90E+04 | ;7,29 | ;9105,73 | 
P0A867	1	1	1	3	A | ;4,32E+02 | ;1,58 | ; | 
P0A870	1	1	1	3	A | ;8,19E+03 | ;2 | ;2 | ;10547,61 | 
P0A873	1	0	1	2	A | ;3,15E+02 | ; | 
P0A879	0	0	1	1	B | ;4460,49 | 
P0A884	1	1	1	3	A_trl | ;4,53E+02 | ;0,28 | ;0,28 | ; | 
P0A887	1	1	1	3	A | ;6,13E+02 | ;3,07 | ;3,07 | ; | 
P0A894	0	1	1	2	A | ;0,84 | ;0,84 | ; | 
P0A8A4	0	0	1	1	A | ; | 
P0A8A8	1	1	1	3	A_trl | ;7,63E+02 | ;0,96 | ; | 
P0A8C1	0	0	1	1	A | ; | 
P0A8C4	1	1	1	3	A | ;1,04E+03 | ;2,93 | ; | 
P0A8D0	0	1	1	2	A | ;1,18 | ; | 
P0A8D3	0	0	1	1	A | ; | 
P0A8D6	0	0	1	1	A | ; | 
P0A8E1	1	1	1	3	A | ;3,39E+02 | ;3,02 | ; | 
P0A8E5	0	0	1	1	A | ; | 
P0A8E7	1	1	1	3	A | ;3,19E+03 | ;- | ; | 
