A	0.49	1.58	4.71	2.71	2.64	P25437
A	0.34	0.98	12.95	6.55	7.26	P25519
B		3.83		2.36	1.24	P25714
A	0.46	0.27	1.64	0.87		P25888
A	0.4	14.62	5.39	1.75	2.26	P26616
G	0.31	0.25	1.51	0.74	0.32	P26648
A	0.48	3.56	1.45	0.8	0.79	P27298
A	0.68	20	4.15	3.77	2.38	P27302
A		13.25	3.08	1.54	3.14	P27306
A		0.93	1.99	0.93	10.1	P27550
A		0.82	2.18		0.9	P27828
A		1.58				P27848
A		1.78			1.31	P28248
E		14	12.84	17.06	20.25	P28635
A	0.32	16.43			0.53	P28904
B	0.32	1.15		2.13	1.98	P29217
A		0.47	3.67	1.68	1.43	P29680
A		0.58	1.77	0.82	0.72	P29745
A		0.39		4.19	3.54	P30178
A		5.38	8.03	4.48	4.78	P30850
G	0.54	0.33	7.86	3.34	5.51	P30859
A	0.36	0.58	3.52	1.46	1.37	P30958
A		9	4.94	2.53	2.63	P31120
A		4.41	3.52	0.92	2.56	P31142
A	0.27	2.16		1.29	0.51	P31475
H		2.86	6.85	3.12	3.41	P31554
A		3.47	3.67	2.03	2.47	P31663
F1	0.48	4.38	11.05	6.32	10.74	P31979
A		12		7.07	3.62	P32132
A		1.15		1.5	0.61	P32695
G		4.84	10.97	5.28	4.73	P33136
A		4.96	2.44	1.14	0.67	P33195
G	0.4	0.49	1.72	1.09	0.91	P33363
F1		13.53	12.55	5.19	13.95	P33599
F1		8.57	10.32	4.74	10.2	P33602
B	0.42	3.39	0.66	0.64	0.6	P33650
B		0.64		1.1		P33940
A		10	7.4	2.99	3.87	P35340
B	0.34	236.14			1.56	P36672
A		1.68	3.13	1.12	1.43	P36680
A	0.56	33.55	12.45	6.15	5.1	P36683
A		2.16	4.7	2.86	2.29	P36767
F1	0.32	1.99	2.31	1.58	1.19	P36879
B		0.82	2.2	1.03	1	P36929
A_trl	0.47	1.15		1.65	1.51	P36979
A		1.74	8.08	4.67	4.35	P37051
A		18.05	5.39	2.9	3.8	P37095
I	0.29	2.59	3.62		1.8	P37194
A		3.87	1.4	0.97	1.07	P37440
A	0.44	1.07			0.8	P37634
G	0.33	0.68		1.44	0.93	P37648
A		9		1.89	1.79	P37666
A		4.18		2.14	2.23	P37689
A	0.33	0.72	5.72	1.7	2.56	P37692
A_trl		6.08		4	1.6	P37765
A	0.46	55.23	7.45	4.91	3.29	P38489
A		7.48		2.16	1.69	P39173
