Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z
C6EGC7_ECOBD	17	9		864.145133666667	-0.624249438832772
C6EHG9_ECOBD	8	5		721.623700277778	-0.315701863354037
C6EHH3_ECOBD	9	5		1034.07172097917	0.00205740267121348
C6EHH4_ECOBD	8	5		1062.86117805556	-0.282232885954625
C6EKC8_ECOBD	9	4		934.807072666667	-0.058704051796157
C6EEN0_ECOBD	22	11		842.745150611111	-0.349294623726442
C6EAE4_ECOBD	23	9		806.912578181818	-0.0880133836274188
C6ELA0_ECOBD	24	12		534.814213333333	-0.431912578162578
C6EIG6_ECOBD	27	12		720.767814607843	-0.729711440694313
C6EBR7_ECOBD	23	13		795.522550769231	0.00825190454287438
C6EBR8_ECOBD	13	8		784.92057469697	0.20975135975136
C6EHE1_ECOBD	18	8		958.264866875	0.0490378964653012
C6EHE0_ECOBD	13	6		990.987304047619	-0.456127024346464
C6EHD9_ECOBD	11	7		872.649505714286	-0.0152330519721824
C6EHD6_ECOBD	14	9		860.265404	-0.255806323604711
C6EHD5_ECOBD	10	6		918.435106041667	-0.195868770437736
C6EHD3_ECOBD	15	8		794.790551875	0.347091011466011
C6EBU9_ECOBD	12	7		886.023263125	0.0564949633699633
C6EHM2_ECOBD	16	8		880.961668125	-0.220511904761905
C6EHM3_ECOBD	20	10		940.029665151515	-0.569215185502118
C6EFC7_ECOBD	20	11		902.260037333333	-0.164250534270297
C6EGE1_ECOBD	18	9		902.689263333333	0.175277726902727
C6EGD7_ECOBD	11	4		817.49087	0.28025493025493
C6EGD6_ECOBD	11	6		940.293043333333	-0.652160845504144
C6EGD5_ECOBD	14	9		929.294762348485	-0.385970819304153
C6EGD4_ECOBD	17	12		917.752990833333	-0.363574520352835
C6EEH5_ECOBD	10	3		1316.50345875	0.380868897348561
C6EEH6_ECOBD	10	5		860.196288611111	-0.035024060906414
C6EB98_ECOBD	12	5		978.894530648148	-0.431994596420128
C6EA68_ECOBD	12	9		841.410527435898	0.125004409171076
C6EFB6_ECOBD	21	11		724.233303974359	-0.0713035493170774
C6EEK7_ECOBD	19	7		872.075260185185	-0.0918900564765227
C6EDY5_ECOBD	14	5		602.520978	-0.240974358974359
C6EDV5_ECOBD	2	2		1158.53136316667	-0.10948275862069
C6ELT7_ECOBD	11	6		1118.25658095238	0.311151088788006
C6ELT8_ECOBD	24	9		779.3786765	0.165422695422695
C6EIX6_ECOBD	6	2		1407.10825833333	0.1
C6EBS4_ECOBD	22	11		942.804213958333	-0.686772005772006
C6EBS5_ECOBD	18	11		860.969312833333	-0.211056215696978
C6E9Z7_ECOBD	12	4		881.55301875	-0.466454545454545
C6E9Z5_ECOBD	25	15		668.612160588235	-0.0993781423255107
C6EF98_ECOBD	20	14		697.170642696079	-0.372070088719248
C6ED55_ECOBD	25	12		801.35385712963	-0.521401073911155
C6ED54_ECOBD	17	11		730.396944	-0.70863231812811
C6ED53_ECOBD	25	10		775.58976051282	0.0629213184476342
C6EHS3_ECOBD	20	12		707.51451125	0.0731666133255317
C6EAH7_ECOBD	23	13		711.406931764706	-0.104377118607888
C6ED19_ECOBD	17	10		1003.87969217949	-0.207295577461754
C6ED31_ECOBD	16	11		861.65050118254	6.39457161196228e-005
C6EIC7_ECOBD	20	11		924.265177564102	-0.0378621619925969
C6EHM7_ECOBD	20	12		858.30343547619	0.149812751986385
C6EJ43_ECOBD	13	8		765.670319444444	-0.434049707602339
C6ELK3_ECOBD	13	5		803.511002222222	-0.532954545454545
C6EL81_ECOBD	8	4		1076.44890527778	-0.0767121212121212
C6EHJ7_ECOBD	7	5		989.4548959375	0.299505175983437
C6EAV8_ECOBD	16	9		860.643757321429	-0.216871537960248
C6EKT6_ECOBD	7	1		962.939775	-0.0850000000000001
C6EKT5_ECOBD	23	14		777.67872	0.0246826123611837
C6EKT2_ECOBD	10	4		1200.30825958333	0.236047849091327
C6EKT3_ECOBD	11	8		1223.96466033333	0.052391477570049
C6EEY1_ECOBD	22	12		807.22366609375	-0.296929841672489
C6ELL9_ECOBD	17	11		915.20609077381	0.166048384980936
C6EHL3_ECOBD	19	14		811.98730912037	0.0642124938553509
C6EBV5_ECOBD	19	11		765.674216217949	-0.293015292274051
C6EAR4_ECOBD	21	11		807.7435434375	0.0842596418732782
C6EEB2_ECOBD	24	9		910.395240166667	0.030929083388589
