Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z	
YRAM_ECOLI	4	1	25	641.594295833333	-0.335714285714286
YRAM_ECOLI	7	2	28.5714285714286	572.5464525	-0.340909090909091
YRAM_ECOLI	9	1	11.1111111111111	442.771465	1.25
YRAM_ECOLI	10	1	10	429.70412	-1.75
YRAM_ECOLI	12	1	8.33333333333333	573.296365	0.0909090909090909
YRAM_ECOLI	12	0	0		
YRAM_ECOLI	13	1	7.69230769230769	443.719765	-0.5125
YRAM_ECOLI	14	1	7.14285714285714	1591.84605	0.156666666666667
YRAM_ECOLI	16	1	6.25	552.752325	-0.818181818181818
YRAM_ECOLI	17	1	5.88235294117647	447.714685	-0.5125
YRAM_ECOLI	18	1	5.55555555555556	502.811455	0.766666666666667
YRAM_ECOLI	20	2	10	653.618675	0.124305555555556
YRAM_ECOLI	20	0	0		
YRAM_ECOLI	20	0	0		
YRAM_ECOLI	20	0	0		
YRAM_ECOLI	20	0	0		
YRAM_ECOLI	21	1	4.76190476190476	922.487629166667	-0.0263157894736842
YRAM_ECOLI	21	0	0		
YRAM_ECOLI	22	1	4.54545454545455	1135.059265	-0.835
YRAM_ECOLI	22	0	0		
YRAM_ECOLI	23	1	4.34782608695652	869.971195	0.515789473684211
YRAM_ECOLI	25	1	4	862.896315	-0.0533333333333333
YRAM_ECOLI	25	0	0		
YRAM_ECOLI	26	1	3.84615384615385	570.82117	0.47
YRAM_ECOLI	27	1	3.7037037037037	478.751265	-0.7625
YRAM_ECOLI	27	0	0		
YRAM_ECOLI	27	0	0		
YRAM_ECOLI	27	0	0		
YRAM_ECOLI	28	1	3.57142857142857	545.77527	-0.46
YRAM_ECOLI	28	0	0		
YRAM_ECOLI	28	0	0		
YRAM_ECOLI	29	0	0		
YRAM_ECOLI	30	1	3.33333333333333	741.366045	-1.22307692307692
YRAM_ECOLI	30	0	0		
YRAM_ECOLI	31	1	3.2258064516129	1067.543255	-0.805263157894737
YRAM_ECOLI	31	0	0		
YRAM_ECOLI	32	1	3.125	611.35896	0.7
YRAM_ECOLI	32	0	0		
YRAM_ECOLI	33	1	3.03030303030303	562.82764	0.666666666666667
YRAM_ECOLI	33	0	0		
YRAM_ECOLI	33	0	0		
YRAM_ECOLI	34	1	2.94117647058824	698.821475	-0.721428571428572
YRAM_ECOLI	34	0	0		
YRAM_ECOLI	35	1	2.85714285714286	1273.10388	-0.383333333333333
YRAM_ECOLI	35	0	0		
YRAM_ECOLI	35	0	0		
YRAM_ECOLI	35	0	0		
YRAM_ECOLI	35	0	0		
YRAP_ECOLI	3	2	66.6666666666667	636.3413075	0.00444444444444442
YRAP_ECOLI	4	1	25	513.2822	1.12222222222222
YRAP_ECOLI	6	1	16.6666666666667	737.35788	-0.364285714285714
YRAP_ECOLI	7	0	0		
YRAP_ECOLI	8	0	0		
YRAP_ECOLI	9	0	0		
YRAP_ECOLI	13	1	7.69230769230769	946.97001	0.205882352941176
YRAP_ECOLI	13	0	0		
YRAP_ECOLI	13	0	0		
YRAP_ECOLI	13	0	0		
YRAP_ECOLI	13	0	0		
YRAP_ECOLI	14	0	0		
YRAP_ECOLI	15	1	6.66666666666667	551.306405	0.24
YRAP_ECOLI	15	0	0		
YRAP_ECOLI	15	0	0		
YRAP_ECOLI	15	0	0		
YRAP_ECOLI	15	0	0		
YRAP_ECOLI	16	1	6.25	1007.492695	-0.705263157894737
YRAP_ECOLI	16	0	0		
YRAP_ECOLI	16	0	0		
YRAP_ECOLI	16	0	0		
YRAP_ECOLI	16	0	0		
YRAP_ECOLI	16	0	0		
YRAP_ECOLI	17	1	5.88235294117647	938.941785	-0.276470588235294
YRAP_ECOLI	17	0	0		
YRAP_ECOLI	17	0	0		
YRAP_ECOLI	17	0	0		
YRAP_ECOLI	17	0	0		
YRAP_ECOLI	17	0	0		
NLPI_ECOLI	1	1	100	445.73542	-0.485714285714286
NLPI_ECOLI	3	1	33.3333333333333	484.24869	0.2
NLPI_ECOLI	5	1	20	545.79346	0.47
NLPI_ECOLI	7	2	28.5714285714286	787.43176	0.21125
NLPI_ECOLI	8	1	12.5	409.183215	-1.44285714285714
NLPI_ECOLI	8	0	0		
NLPI_ECOLI	8	0	0		
NLPI_ECOLI	9	1	11.1111111111111	887.943785	0.3375
NLPI_ECOLI	9	0	0		
NLPI_ECOLI	9	0	0		
NLPI_ECOLI	10	1	10	584.574694166667	-0.15
NLPI_ECOLI	10	0	0		
NLPI_ECOLI	10	0	0		
NLPI_ECOLI	10	0	0		
NLPI_ECOLI	11	1	9.09090909090909	1126.013985	-0.863157894736842
NLPI_ECOLI	12	0	0		
YCFL_ECOLI	1	1	100	845.076562777778	0.4
YCFM_ECOLI	1	1	100	400.201745	-0.925
YCFM_ECOLI	3	2	66.6666666666667	730.376725	-0.156043956043956
YCFM_ECOLI	4	0	0		
YCFM_ECOLI	5	0	0		
YCFM_ECOLI	5	0	0		
YCFM_ECOLI	6	1	16.6666666666667	692.799045833333	-0.914285714285714
YCFM_ECOLI	6	0	0		
YCFM_ECOLI	6	0	0		
YCFM_ECOLI	6	0	0		
YCFM_ECOLI	8	2	25	908.4514075	-0.0147619047619049
YCFM_ECOLI	8	0	0		
YCFM_ECOLI	8	0	0		
EMTA_ECOLI	1	0	0		
