Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Corbin2003	Fountoulakis2003	Taoka2004	Butland2005	Lopez_Campistrous2005	Spelbrink2005	Stenberg2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Muller2010	Pan2010	Price2010	Thein2010	Wickstrom2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_conBL21 Duplicates	Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	P0A786	P0AE06	P76316	P36683	Q9S4X5	P24182	P00350	P31119	P60560	P0AG44	P0A9P0	P17583	P00363	P0A6F5	P0A6H8	P0AC47	P0ADE4	P06129	P0ADT8	P45763	P02925	P0A910	P00363	P00634	C1P619	P0ACV0	Q46798	A5A615	P00350	P00448	P0AFG8	P25714	P0A910	P00350	Accession
P02924	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	6	G	ARAF_ECOLI	C6EBF9_ECOBD			P02924				P02924		P02924			P02924											P02924						P02924						
P02925	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	20	G	RBSB_ECOLI	C6EG51_ECOBD	P02925		P02925	P02925	P02925	P02925	P02925	P02925	P02925			P02925	P02925			P02925			P02925		P02925	P02925	P02925	P02925	P02925	P02925			P02925						P02925
P02930	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	22	H	TOLC_ECOLI	C6EHV8_ECOBD		P02930	P02930	P02930	P02930	P02930	P02930		P02930	P02930	P02930		P02930	P02930	P02930				P02930	P02930	P02930			P02930	P02930	P02930	P02930		P02930				P02930		P02930
P02931	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	25	H	OMPF_ECOLI	C6EI53_ECOBD		P02931	P02931	P02931	P02931	P02931	P02931		P02931	P02931	P02931	P02931	P02931	P02931	P02931				P02931	P02931	P02931	P02931	P02931	P02931	P02931	P02931	P02931		P02931				P02931		P02931
P02932	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	6	H	PHOE_ECOLI	C6EA44_ECOBD								P02932				P02932			P02932										P02932	P02932							P02932		
P02943	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	18	H	LAMB_ECOLI	C6EDY6_ECOBD		P02943			P02943	P02943	P02943		P02943	P02943	P02943		P02943	P02943	P02943			P02943	P02943		P02943				P02943	P02943	P02943		P02943				P02943		
P03959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	ATKA_ECOLI	C6EJN6_ECOBD																																			
P03961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	B	ATKC_ECOLI	C6EJN8_ECOBD																										P03961									P03961
P04816	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	G	LIVK_ECOLI	C6EFB6_ECOBD				P04816	P04816				P04816			P04816																	P04816						
P04825	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	9	F1	AMPN_ECOLI	C6EI50_ECOBD					P04825		P04825	P04825				P04825			P04825										P04825	P04825			P04825						P04825
P04968	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	B	THD1_ECOLI	C6EG39_ECOBD					P04968		P04968	P04968				P04968																	P04968						P04968
P04983	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	13	F1	RBSA_ECOLI	C6EG53_ECOBD			P04983			P04983	P04983					P04983	P04983		P04983	P04983							P04983		P04983	P04983			P04983					P04983	P04983
