Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6ECH7_ECOBD	1	1	2	F1
C6EDW8_ECOBD	1	1	2	A
C6EBK9_ECOBD	0	1	1	A
C6EB39_ECOBD	1	1	2	A
C6EB40_ECOBD	1	1	2	F1
C6EBK8_ECOBD	0	1	1	A
C6EL67_ECOBD	1	1	2	A
C6EEM7_ECOBD	0	0	0	A
C6EEM8_ECOBD	0	1	1	A
C6EIN7_ECOBD	0	0	0	A
C6EK72_ECOBD	0	1	1	A
C6EK73_ECOBD	0	1	1	B
C6EF39_ECOBD	0	1	1	A
C6EAZ5_ECOBD	0	0	0	A
C6EAA1_ECOBD	1	1	2	A
C6ECH8_ECOBD	0	1	1	A
C6EA75_ECOBD	0	1	1	A
C6EKZ4_ECOBD	0	1	1	A
C6EA56_ECOBD	0	0	0	A
C6EED6_ECOBD	0	1	1	G
C6EED7_ECOBD	0	1	1	B
C6EED8_ECOBD	0	1	1	B
C6EED9_ECOBD	0	1	1	F1
C6EEE0_ECOBD	0	1	1	F1
C6EIX0_ECOBD	1	1	2	A
C6EGT2_ECOBD	0	1	1	B
C6EIL5_ECOBD	0	1	1	G
C6ECY9_ECOBD	0	1	1	B
C6EA05_ECOBD	0	1	1	B
C6EK90_ECOBD	0	1	1	G
C6ELA4_ECOBD	0	1	1	A
C6ELA3_ECOBD	0	1	1	B
C6EBB3_ECOBD	0	0	0	A
C6EF14_ECOBD	0	1	1	A
C6EDL1_ECOBD	0	1	1	B
C6EEI9_ECOBD	0	0	0	B
C6EJM9_ECOBD	0	0	0	B
C6EDX1_ECOBD	0	1	1	A
C6EGK0_ECOBD	0	1	1	A
C6EAH2_ECOBD	0	0	0	A
C6EDF1_ECOBD	0	1	1	A
C6EAB2_ECOBD	0	1	1	B
C6ELG4_ECOBD	1	1	2	A
C6EB05_ECOBD	1	1	2	A
C6EII2_ECOBD	0	1	1	A
C6EDV4_ECOBD	0	0	0	B
