Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Corbin2003	Fountoulakis2003	Taoka2004	Butland2005	Pan2010	Thein2010	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	Manddalo2011	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Entry name (Uniprot)	Mobole Element	Accession
P0A754	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	F1	KEFF_ECOLI	0	
P0A756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	3	F1	KEFG_ECOLI	0	P0A756
P0A759	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	9	B	NAGB_ECOLI	0	P0A759
P0A766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	RNFA_ECOLI	0	P0A766
P0A769	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	B	MNTH_ECOLI	0	
P0A7B1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	12	F1	PPK_ECOLI	0	P0A7B1
P0A7B3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	F1	PPNK_ECOLI	0	P0A7B3
P0A7E1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	19	F1	PYRD_ECOLI	0	P0A7E1
P0A7E5	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	15	B	PYRG_ECOLI	0	P0A7E5
P0A7H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	B	RECO_ECOLI	0	
P0A7J0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	10	F1	RIBB_ECOLI	0	P0A7J0
P0A855	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	14	G	TOLB_ECOLI	0	P0A855
P0A879	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	10	B	TRPB_ECOLI	0	P0A879
P0A8R7	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	10	B	YCJF_ECOLI	0	P0A8R7
P0A8S5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	B	USPB_ECOLI	0	
P0A8U0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	F1	SYDP_ECOLI	0	P0A8U0
P0A8X2	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	10	G	YCEI_ECOLI	0	P0A8X2
P0A8X4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G	YCCT_ECOLI	0	
P0A8Z3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	F1	YBGC_ECOLI	0	P0A8Z3
P0A901	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	9	I	BLC_ECOLI	0	P0A901
P0A908	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	18	H	MIPA_ECOLI	0	P0A908
P0A912	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	15	I	PAL_ECOLI	0	P0A912
P0A917	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	19	H	OMPX_ECOLI	0	P0A917
P0A921	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	10	H	PA1_ECOLI	0	P0A921
P0A924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	B	PGPB_ECOLI	0	P0A924
P0A930	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	I	WZA_ECOLI	0	
P0A935	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	9	I	MLTA_ECOLI	0	P0A935
P0A937	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	1	9	I	SMPA_ECOLI	0	P0A937
P0A940	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	27	H	YAET_ECOLI	0	P0A940
P0A996	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	10	F1	GLPC_ECOLI	0	
P0A9C0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	11	F1	GLPA_ECOLI	0	
P0A9J4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	G	PANE_ECOLI	0	P0A9J4
P0A9K7	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	7	F1	PHOU_ECOLI	0	P0A9K7
P0A9M5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	5	F1	XGPT_ECOLI	0	P0A9M5
P0A9P0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	1	22	F1	DLDH_ECOLI	0	P0A9P0
P0A9P4	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	9	G	TRXB_ECOLI	0	P0A9P4
P0A9Q9	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	9	B	DHAS_ECOLI	0	P0A9Q9
P0A9R7	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	10	F1	FTSE_ECOLI	0	P0A9R7
P0A9S7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	7	F1	LIVG_ECOLI	0	P0A9S7
P0A9U1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	6	F1	YBHF_ECOLI	0	P0A9U1
P0A9U3	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	10	F1	YBIT_ECOLI	0	P0A9U3
P0A9V1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	1	1	20	F1	LPTB_ECOLI	0	P0A9V1
P0A9W3	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	13	F1	YJJK_ECOLI	0	P0A9W3
P0A9X1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	F1	ZNUC_ECOLI	0	P0A9X1
P0A9X4	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	19	F1	MREB_ECOLI	0	P0A9X4
P0AA47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	B	YEEF_ECOLI	0	
P0AA49	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B	YFDV_ECOLI	0	
