Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6EKA7_ECOBD	0	0	0	F1
C6EKA5_ECOBD	0	0	0	B
C6EKA8_ECOBD	0	0	0	B
C6EKA6_ECOBD	0	0	0	B
C6EAD1_ECOBD	0	0	0	B
C6EAD3_ECOBD	0	0	0	F1
C6EAD2_ECOBD	0	0	0	G
C6EGZ0_ECOBD	0	0	0	H
C6EBK3_ECOBD	0	0	0	F1
C6EEY3_ECOBD	0	0	0	B
C6EBR9_ECOBD	0	0	0	F4
C6EBR7_ECOBD	0	0	0	G
C6EBR6_ECOBD	0	0	0	H
C6EBR5_ECOBD	0	0	0	F4
C6EBR4_ECOBD	0	0	0	F4
C6EBR3_ECOBD	0	0	0	F4
C6EBR8_ECOBD	0	0	0	G
C6EIX7_ECOBD	1	0	1	H
C6EB10_ECOBD	0	0	0	F1
C6EGB7_ECOBD	0	0	0	G
C6EHE1_ECOBD	0	0	0	G
C6EHE0_ECOBD	0	0	0	G
C6EHD9_ECOBD	0	0	0	G
C6EHD7_ECOBD	0	0	0	F4
C6EHD6_ECOBD	0	0	0	G
C6EHD5_ECOBD	0	0	0	G
C6EHD4_ECOBD	1	0	1	I
C6EHD3_ECOBD	0	0	0	G
C6EHD1_ECOBD	0	0	0	F4
C6EHD0_ECOBD	0	0	0	F4
C6EBU8_ECOBD	0	0	0	B
C6EBU7_ECOBD	0	0	0	B
C6EBU9_ECOBD	0	0	0	G
C6EBD8_ECOBD	0	0	0	F4
C6EBD7_ECOBD	0	0	0	F4
C6EBC8_ECOBD	0	0	0	B
C6EBC7_ECOBD	0	0	0	B
C6EBC6_ECOBD	0	0	0	F1
C6EBC3_ECOBD	0	0	0	F1
C6EBC1_ECOBD	0	0	0	F1
C6EBC0_ECOBD	0	0	0	F1
C6EBB9_ECOBD	0	0	0	F1
C6EBB8_ECOBD	0	0	0	B
C6EBB7_ECOBD	0	0	0	B
C6EBB6_ECOBD	0	0	0	B
C6EBB5_ECOBD	0	0	0	B
C6EBE1_ECOBD	0	0	0	G
C6ELD2_ECOBD	0	0	0	B
C6EI78_ECOBD	1	0	1	B
C6EKL9_ECOBD	0	0	0	B
