Merge ID	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	# Studies	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	P24182	
P0A855	1										1					2	1										1					P0A855	
P0A862	1				1						1		1			4	1				1						1		1			P0A862	
P0A9P4	1															1	1															P0A9P4	
P0A927	1			1			1	1				1				5	1			1			1	1				1				P0A927	
P0A6A0	1															1	1															P0A6A0	
P0A887	1															1	1															P0A887	
P0A8F0	1			1	1								1			4	1			1	1								1			P0A8F0	
P0A698	1															1	1															P0A698	
P0A8G6	1				1		1						1		1	5	1				1		1						1		1	P0A8G6	
P0A940	1		1	1	1	1	1	1		1		1		1		10	1		1	2	1	1	2	1		1		1		1		P0A940	
P0A9U3	1															1	1															P0A9U3	
P0AFQ7	1															1	1															P0AFQ7	
P39173	1															1	1															P39173	
P37774	1															1	1															P37774	
P0AGJ5	1															1	1															P0AGJ5	
Q46803	1															1	1															Q46803	
P65807	1															1	1															P65807	
P0ADE8	1			1												2	1			1												P0ADE8	
P0ADV5	1						1									2	1						1									P0ADV5	
P0A9W3	1															1	1															P0A9W3	
P0ACA7	1												1		1	3	1												1		1	P0ACA7	
P0AFG8	1	1		1	1		1	1						1	1	8	1	1		2	1		1	1						1	1	P0AFG8	
P69441	1												1			2	1												1			P69441	
P0A6E4	1															1	1															P0A6E4	
P0A9Q9	1															1	1															P0A9Q9	
P0A8M0	1															1	1															P0A8M0	
P64614	1															1	1															P64614	
P0A9H3	1															1	1															P0A9H3	
P0A955	1				1						1		1			4	1				1						1		1			P0A955	
P0AB71	1			1												2	1			1												P0AB71	
P0A993	1															1	1															P0A993	
P0A6T5	1												1			2	1												1			P0A6T5	
P0A805	1												1			2	1												1			P0A805	
P69811	1															1	1															P69811	
P0A6M8	1			1	1					1				1	1	6	1			1	1					1				1	1	P0A6M8	
P0A9B2	1				1					1				1	1	5	1				1					1				1	1	P0A9B2	
P0ADG7	1	1			1					1						4	1	1			1					1						P0ADG7	
P61320	1											1	1			3	1											1	1			P61320	
P0AAI3	1	1					1								1	4	1	1					1								1	P0AAI3	
P0C0V0	1						1				1					3	1						1				1					P0C0V0	
P0ACD8	1			1	1											3	1			1	1											P0ACD8	
P0ACE0	1	1			1											3	1	1			1											P0ACE0	
