Merge ID	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin2	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome Duplicates	Masuda2009_fin2 Duplicates	Wang2007_fin Duplicates	Wang2007_noglucose_fin Duplicates	Oberto2009_fin Duplicates	Wei2001_fin2 Duplicates	mRNA_Taniguchi_fin Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization	
P00961	1	1	1	1	1			1	6	1	1	1	1	1			1	A	SYGB_ECOLI	1	2	2	2	2			A	
P0A9V5	1		1	1	1			1	5	1		1	1	1			1	A	YIAG_ECOLI			0	2	0			A	
P0ADK0	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	E	YIAF_ECOLI		2	2	2	2		7.751405159	E	
P37666	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	GHRB_ECOLI	1	2	2	2	2			A	
P37664	1		1	1	1				4	1		1	1	1				A	YIAC_ECOLI			2	2	2				
P37661	1		1	1	1				4	1		1	1	1				B	EPTB_ECOLI			2	2	2				
P23847	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	G	DPPA_ECOLI	3.94	2	2	2	2		10.21570097	G	
P0AEF8	1		1	1	1	1		1	6	1		1	1	1	1		1	B	DPPB_ECOLI			0	2	2	0		B	
P37313	1		1	1	1			1	5	1		1	1	1			1	F1	DPPF_ECOLI			2	2	2			F1	
P37660	1		1	1	1				4	1		1	1	1				B	YHJV_ECOLI			2	2	2				
P37652	1		1	1	1			1	5	1		1	1	1			1	B	BCSB_ECOLI			0	0	2			B	
P37651	1		1	1	1			1	5	1		1	1	1			1	G	GUN_ECOLI			0	0				G	
P37649	1		1	1	1			1	5	1		1	1	1			1	B	YHJK_ECOLI			2	2	2			B	
P37648	1		1	1	1		1	1	6	1		1	1	1		1	1	G	YHJJ_ECOLI			2	2	2			G	
P37647	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	KDGK_ECOLI		2	2	0	2		1.78235158	A	
P37646	1		1	1	1				4	1		1	1	1				A	YHJH_ECOLI			2	2	0				
P37642	1		1	1	1			1	5	1		1	1	1			1	B	YHJD_ECOLI			2	2				B	
P37641	1		1	1	1			1	5	1		1	1	1			1	B	YHJC_ECOLI			2	0	0			B	
P37640	1		1	1	1			1	5	1		1	1	1			1	A	YHJB_ECOLI			2	1				A	
P62601	1		1	1	1			1	5	1		1	1	1			1	A	TREF_ECOLI			2	2	2			A	
P69908	1	1	1	1	1		1		6	1	1	1	1	1		1		A	DCEA_ECOLI	2.06	2	0	0	0		3.119106542		
P63201	1		1	1	1				4	1		1	1	1				A	GADW_ECOLI			2	0					
P37637	1		1	1	1			1	5	1		1	1	1			1	B	MDTF_ECOLI			2	0				B	
P37636	1		1	1	1		1	1	6	1		1	1	1		1	1	E	MDTE_ECOLI			0	0	0			E	
P63204	1		1	1	1		1		5	1		1	1	1		1		A	GADE_ECOLI			2	0	2		17.22915365		
P0AES9	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		G	HDEA_ECOLI		2	2	2	2	0	134.8617851		
P0AET2	1		1	1	1	1	1		6	1		1	1	1	1	1		G	HDEB_ECOLI			2	2	2	0	53.81901624		
P0AFV2	1		1	1	1				4	1		1	1	1				B	YHID_ECOLI			0	0	0				
P37195	1		1	1	1				4	1		1	1	1				A	DCTR_ECOLI			0	0					
P37194	1	1	1	1	1	1		1	7	1	1	1	1	1	1		1	I	SLP_ECOLI	2.67	2	2	2	2	0		I	
P0AB96	1		1	1	1	1	1		6	1		1	1	1	1	1		A	ARSC_ECOLI			2	2	2	0			
P06715	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	GSHR_ECOLI	1	2	2	2	2		1.114041773	A	
P37634	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	YHIR_ECOLI	0.41	2	2	2	2		1.43732293	A	
P27298	1	1	1	1	1			1	6	1	1	1	1	1			1	A	OPDA_ECOLI	1.36	2	2	0	2			A	
P68567	1		1	1	1			1	5	1		1	1	1			1	A	YHIQ_ECOLI			2	1	0			A	
P36837	1		1	1	1				4	1		1	1	1				B	DTPB_ECOLI			2	2	2				
P0AED0	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	USPA_ECOLI	2.56	2	2	2	2			F1	
P0A8S5	1		1	1	1				4	1		1	1	1				B	USPB_ECOLI			2	2					
P0AFJ7	1	1	1	1	1			1	6	1	1	1	1	1			1	B	PITA_ECOLI	0.83	2	2	2	2			B	
P37631	1		1	1	1				4	1		1	1	1				B	YHIN_ECOLI			2	0	0				
P37624	1		1	1	1			1	5	1		1	1	1			1	B	YHIH_ECOLI			0	2	0			B	
P77561	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YDEP_ECOLI			1	0				A	
P76135	1		1	1	1				4	1		1	1	1				B	YDEO_ECOLI			0	0	0				
P76134	1		1	1	1				4	1		1	1	1				A	YDEM_ECOLI			0	0	2				
P69910	1	1	1	1	1	1			6	1	1	1	1	1	1			A	DCEB_ECOLI	1.52	2	2	2	0	0			
P64426	1	1	1	1	1				5	1	1	1	1	1				I	YDDW_ECOLI	0.77	2	2	2	2				
P0C0L2	1	1	1	1	1	1	1		7	1	1	1	1	1	1	1		A	OSMC_ECOLI	1.52	2	2	2	2	0			
P76127	1		1	1	1				4	1		1	1	1				A	BDM_ECOLI			2	2	0				
P26616	1	1	1	1	1			1	6	1	1	1	1	1			1	A	MAO1_ECOLI	4.63	2	2	2	2			A	
P0AEK7	1		1	1	1	1			5	1		1	1	1	1			B	FDNI_ECOLI			0	0	2	0			
P46136	1		1	1	1				4	1		1	1	1				B	YDDG_ECOLI			2	2					
P37758	1		1	1	1				4	1		1	1	1				B	NARU_ECOLI			2	0	1				
P19319	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	F1	NARZ_ECOLI			0	0	0	0	0.263113058	F1	
P19318	1		1	1	1			1	5	1		1	1	1			1	F1	NARY_ECOLI			2	2				F1	
P77567	1		1	1	1				4	1		1	1	1				A	NHOA_ECOLI			2	2	0				
P76121	1		1	1	1				4	1		1	1	1				A	YDDH_ECOLI			2	2	2				
P34209	1		1	1	1			1	5	1		1	1	1			1	A	YDCF_ECOLI			1	2				A	
P43329	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	A	HRPA_ECOLI			2	2	2	0	0.95173677	A	
P52645	1		1	1	1			1	5	1		1	1	1			1	B	YDBH_ECOLI			2	2	2			B	
P52643	1	1	1	1	1			1	6	1	1	1	1	1			1	A	LDHD_ECOLI	1	2	2	2	2			A	
P52647	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	NIFJ_ECOLI	1.28	2	2	2	2		1.026808698	A	
P0AER0	1		1	1	1			1	5	1		1	1	1			1	B	GLPF_ECOLI			2	2	2			B	
P0A6F3	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GLPK_ECOLI	0.17	2	2	2	2			A	
P0A9C9	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GLPX_ECOLI	1.11	2	2	2	2			A	
P28861	1			1	1			1	4	1			1	1			1	A	FENR_ECOLI				2	2			A	
P0AAB8	1		1	1	1			1	5	1		1	1	1			1	A	USPD_ECOLI			2	0	2			A	
P32162	1		1	1	1			1	5	1		1	1	1			1	A	YIIS_ECOLI			2	0	2			A	
P0AF34	1		1	1	1			1	5	1		1	1	1			1	B	YIIR_ECOLI			2	2				B	
P32160	1		1	1	1			1	5	1		1	1	1			1	G	YIIQ_ECOLI			2	2	2			G	
P0A858	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	TPIS_ECOLI	7.29	2	2	2	2		15.09416173	A	
P06282	1		1	1	1			1	5	1		1	1	1			1	B	CDH_ECOLI			2	2	2			B	
P0AG78	1		1	1	1				4	1		1	1	1				G	SUBI_ECOLI			2	0					
P0A796	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	K6PF1_ECOLI	2.88	2	2	2	2		5.797001285	A	
P69380	1		1	1	1			1	5	1		1	1	1			1	B	FIEF_ECOLI			2	2	2			B	
P0AE82	1		1	1	1			1	5	1		1	1	1			1	B	CPXA_ECOLI			2	0	0			B	
P32157	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YIIM_ECOLI			2	2	2		3.360088534	A	
P00448	1	1	1	1	1			1	6	1	1	1	1	1			1	A	SODM_ECOLI	4.03	2	2	2	2			A	
P09377	1		1	1	1	1		1	6	1		1	1	1	1		1	A	RHAS_ECOLI			0	0	0	0		A	
P32171	1		1	1	1				4	1		1	1	1				A	RHAB_ECOLI			2	2	2				
P32170	1		1	1	1				4	1		1	1	1				A	RHAA_ECOLI			0	0	0				
P32169	1		1	1	1	1		1	6	1		1	1	1	2		1	A	RHAD_ECOLI			0	0	0	0		A	
P32156	1		1	1	1				4	1		1	1	1				A	RHAM_ECOLI			0	0	0				
P32177	1		1	1	1		1		5	1		1	1	1		1		A	FDHD_ECOLI			2	0					
P0AAJ5	1	1	1	1	1			1	6	1	1	1	1	1			1	B	FDOH_ECOLI	4	2	2	2	2			B	
P0AEL0	1		1	1	1			1	5	1		1	1	1			1	B	FDOI_ECOLI			2	2	2			B	
P13024	1	1	1	1	1			1	6	1	1	1	1	1			1	A	FDHE_ECOLI	1.45	2	2	2	2			A	
P0A6M4	1		1	1	1		1	1	6	1		1	1	1		1	1	A	DTD_ECOLI			2	2	2			A	
P0A8Y3	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	YIHX_ECOLI		2	2	2	2		4.033173461	A	
P32132	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	TYPA_ECOLI	0.74	2	2	2	2			A	
P0A9C5	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GLNA_ECOLI	4.78	2	2	2	2			A	
P0AFB5	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	NTRB_ECOLI	0.78	2	2	2	2			A	
P0AFB8	1	1	1	1	1			1	6	1	1	1	1	1			1	A	NTRC_ECOLI	0.62	2	0	0	0			A	
P32131	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	HEMN_ECOLI	1.02	2	2	2	2		1.44635872	A	
P0A6P7	1	1	1	1	1			1	6	1	1	1	1	1			1	A	ENGB_ECOLI		2	2	2	2			A	
P32129	1		1	1	1			1	5	1		1	1	1			1	B	YIHG_ECOLI			2	2	2			B	
P0C0K3	1		1	1	1			1	5	1		1	1	1			1	A	RDOA_ECOLI			2	2	2			A	
P0ADP9	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	YIHD_ECOLI	1.13	2	2	2	2		3.06702323	A	
P32173	1		1	1	1		1	1	6	1		1	1	1		1	1	A	MOBA_ECOLI			2	2	2			A	
P32125	1		1	1	1		1		5	1		1	1	1		1		B	MOBB_ECOLI			2	1			1.711740891		
P0ACB4	1		1	1	1			1	5	1		1	1	1			1	A	HEMG_ECOLI			2	2	2			A	
P0AFZ7	1		1	1	1			1	5	1		1	1	1			1	B	TRKH_ECOLI			2	2	2			B	
P27862	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YIGZ_ECOLI			2	2	2		1.387766118	A	
P21165	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	PEPQ_ECOLI	3.47	2	2	2	2		2.935121318	A	
P21177	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	FADB_ECOLI	0.88	2	2	2	0		0.176411629	A	
P21151	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	FADA_ECOLI	1.69	2	0	2	0			A	
P0AEN1	1	1	1	1	1			1	6	1	1	1	1	1			1	A	FRE_ECOLI	3.27	2	2	2	2			A	
P0AAB4	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	UBID_ECOLI	2.35	2	2	2	2			F1	
P0AFW0	1		1	1	1	1		1	6	1		1	1	1	1		1	A	RFAH_ECOLI			1	2		0		A	
P69423	1		1	1	1			1	5	1		1	1	1			1	B	TATC_ECOLI			2	2	2			B	
P69425	1		1	1	1		1	1	6	1		1	1	1		1	1	B	TATB_ECOLI			2	2	2			B	
P0A6A0	1		1	1	1			1	5	1		1	1	1			1	B	UBIB_ECOLI			2	2	2			B	
P0ADP7	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YIGP_ECOLI	0.73	2	2	2	2			A	
P0A887	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	UBIE_ECOLI	3.07	2	2	2	2		5.871596752	A	
P0AG71	1		1	1	1		1	1	6	1		1	1	1		1	1	B	RMUC_ECOLI			2	2	2			B	
P12758	1	1	1	1	1			1	6	1	1	1	1	1			1	A	UDP_ECOLI	1.59	2	2	2	2			A	
P56262	1		1	1	1			1	5	1		1	1	1			1	A	DLHH_ECOLI			2	2				A	
P25665	1		1	1	1			1	5	1		1	1	1			1	A	METE_ECOLI			2	2	0			A	
P27848	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YIGL_ECOLI		2	2	2	2			A	
P07000	1		1	1	1		1	1	6	1		1	1	1		1	1	F1	PLDB_ECOLI			2	2	2		3.66124303	F1	
P0A921	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	H	PA1_ECOLI	0.59	2	2	2	2		2.852949206	H	
P33594	1		1	1	1	1	1		6	1		1	1	1	1	1		F1	NIKE_ECOLI			2	0	2	0			
P33593	1		1	1	1	1	1		6	1		1	1	1	1	1		F1	NIKD_ECOLI			1	0	2	0			
P33591	1		1	1	1	1			5	1		1	1	1	1			B	NIKB_ECOLI			0	0	2	0			
P33590	1		1	1	1				4	1		1	1	1				G	NIKA_ECOLI			2	2	2				
P37623	1		1	1	1			1	5	1		1	1	1			1	A	ACPT_ECOLI			2	2	2			A	
P0AGM0	1		1	1	1				4	1		1	1	1				B	YHHT_ECOLI			2	2					
P0AEE1	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	E	DCRB_ECOLI	2.83	2	2	2	2		3.685570549	E	
P37619	1		1	1	1				4	1		1	1	1				B	YHHQ_ECOLI			0	1	2				
P0ADX9	1		1	1	1		1	1	6	1		1	1	1		1	1	A	RSMD_ECOLI			2	2	2		2.482555693	A	
P10121	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	FTSY_ECOLI	1.41	2	2	2	2			F1	
P0A9R7	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	FTSE_ECOLI	0.69	2	2	2	2			F1	
P0AC30	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	FTSX_ECOLI	0.69	2	0	0	0		2.633397688	B	
P0AGB3	1		1	1	1				4	1		1	1	1				A	RP32_ECOLI			2	2	2				
P0AD96	1		1	1	1		1	1	6	1		1	1	1		1	1	G	LIVJ_ECOLI			2	0	0		4.91322568	G	
P04816	1		1	1	1	1			5	1		1	1	1	1			G	LIVK_ECOLI			0	0	0	0			
P0A9S7	1		1	1	1			1	5	1		1	1	1			1	F1	LIVG_ECOLI			0	0	0			F1	
P22731	1		1	1	1			1	5	1		1	1	1			1	F1	LIVF_ECOLI			1	0	0			F1	
P0AG80	1		1	1	1		1	1	6	1		1	1	1		1	1	G	UGPB_ECOLI			2	2				G	
P10905	1		1	1	1			1	5	1		1	1	1			1	B	UGPA_ECOLI			0	0	0			B	
P10906	1		1	1	1	1		1	6	1		1	1	1	1		1	B	UGPE_ECOLI			0	0	0	0		B	
P10907	1		1	1	1			1	5	1		1	1	1			1	F1	UGPC_ECOLI			0	0	0			F1	
P18956	1		1	1	1		1		5	1		1	1	1		1		G	GGT_ECOLI			2	0	0				
P46853	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YHHX_ECOLI	0.43	2	2	2	2			A	
P46852	1		1	1	1				4	1		1	1	1				A	YHHW_ECOLI			2	2	2				
P0ACP5	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GNTR_ECOLI		2	2	2	2			A	
P46859	1		1	1	1	1		1	6	1		1	1	1	1		1	A	GNTK_ECOLI			0	0		0		A	
P0A9Q9	1	1	1	1	1			1	6	1	1	1	1	1			1	B	DHAS_ECOLI	1.21	2	2	2	2			B	
P07762	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GLGB_ECOLI	0.53	2	2	2	2			A	
P15067	1		1	1	1				4	1		2	2	2				A	GLGX_ECOLI			2	2	2				
P0A6V1	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	GLGC_ECOLI	0.79	2	2	2	2			A	
P0A6U8	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GLGA_ECOLI	1.31	2	2	2	2			A	
P0AC86	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	PHSG_ECOLI	1.59	2	2	2	2			A	
P0A6V5	1		1	1	1	1			5	1		1	1	1	1			A	GLPE_ECOLI			2	2	2	0			
P09391	1		1	1	1	1		1	6	1		1	1	1	1		1	B	GLPG_ECOLI			2	2	2	0		B	
P0ACL0	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GLPR_ECOLI	0.26	2	2	2	2			A	
P46850	1		1	1	1			1	5	1		1	1	1			1	A	RTCB_ECOLI			0	0	0			A	
P00490	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	PHSM_ECOLI	2.73	2	2	1	2		1.813535785	A	
P15977	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	MALQ_ECOLI	0.54	2	2	2	2		1.60497022	A	
P63020	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	NFUA_ECOLI	1.43	2	2	2	2			A	
P13001	1		1	1	1	1		1	6	1		2	1	1	1		1	A	BIOH_ECOLI			2	2	2	0		A	
P33650	1		1	1	1			1	5	1		1	1	1			1	B	FEOB_ECOLI			1	0	2			B	
P46837	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YHGF_ECOLI	1.35	2	2	0	0			A	
P30128	1		1	1	1			1	5	1		1	1	1			1	A	GREB_ECOLI			2	2	2			A	
P0AA16	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	OMPR_ECOLI	1.43	2	2	2	2		2.541374712	A	
P0AEJ4	1		1	1	1			1	5	1		1	1	1			1	B	ENVZ_ECOLI			2	2	2			B	
P22259	1	1	1	1	1			1	6	1	1	1	1	1			1	A	PCKA_ECOLI	5.75	2	2	2	2			A	
P64636	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	YRFG_ECOLI	0.34	2	2	2	2		3.606938638	A	
P45800	1		1	1	1			1	5	1		1	1	1			1	B	IGAA_ECOLI			2	2	0			B	
P45799	1		1	1	1			1	5	1		1	1	1			1	A	NUDE_ECOLI			2	2	2			A	
P02918	1		1	1	1		1	1	6	1		1	1	1		1	1	B	PBPA_ECOLI			2	2	1		1.620642202	B	
P45753	1		1	1	1				4	1		1	1	1				G	YRFD_ECOLI			0	0	0				
P45751	1		1	1	1				4	1		1	1	1				B	YRFB_ECOLI			0	0	0				
P34749	1		1	1	1				4	1		1	1	1				H	HOFQ_ECOLI			0	0	0				
P0A6D7	1	1	1	1	1			1	6	1	1	1	1	1			1	A	AROK_ECOLI		2	2	2	2			A	
P07639	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	AROB_ECOLI	1.95	2	2	2	2		13.98626278	A	
P0AEE8	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	A	DMA_ECOLI			2	2	2	0	1.149695641	A	
P0AG07	1	1	1	1	1			1	6	1	1	1	1	1			1	A	RPE_ECOLI	1.36	2	2	2				A	
P32662	1	1	1	1	1			1	6	1	1	1	1	1			1	A	GPH_ECOLI	1.63	2	2	2	2			A	
P00954	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	SYW_ECOLI	1.39	2	2	2	2			A	
P0AEA8	1		1	1	1			1	5	1		1	1	1			1	A	CYSG_ECOLI			2	2	2			A	
P0AC26	1		1	1	1	1			5	1		1	1	1	1			B	NIRC_ECOLI			0	0	2	0			
P0A9I8	1		1	1	1	1			5	1		1	1	1	1			A	NIRD_ECOLI			0	0	2	0			
P08201	1	1	1	1	1			1	6	1	1	1	1	1			1	A	NIRB_ECOLI	3	2	2	0	2			A	
P60778	1		1	1	1				4	1		1	1	1				B	TSGA_ECOLI			2	0	2				
P37903	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	USPF_ECOLI	4.39	2	0	2	2			A	
P76055	1	1	1	1	1			1	6	1	1	1	1	1			1	A	TTCA_ECOLI	0.41	2	0	0	2			A	
P21693	1		1	1	1			1	5	1		1	1	1			1	A	DBPA_ECOLI			0	0				A	
P64423	1		1	1	1			1	5	1		1	1	1			1	B	ZNTB_ECOLI			0	0	2			B	
P76053	1		1	1	1			1	5	1		1	1	1			1	A	YDAL_ECOLI			0	0	0			A	
P0AAC0	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	USPE_ECOLI		2	0	0	2			A	
P64445	1		1	1	1				4	1		1	1	1				B	YNAJ_ECOLI			0	0	2				
P0AEB5	1		1	1	1			1	5	1		1	1	1			1	B	YNAI_ECOLI			2	2	2			B	
P51981	1		1	1	1			1	5	1		1	1	1			1	B	AEEP_ECOLI			2	2	2			B	
P07604	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	TYRR_ECOLI	0.33	2	2	2	2		3.302857875	A	
P0A8R7	1		1	1	1			1	5	1		1	1	1			1	B	YCJF_ECOLI			0	0	0			B	
P76046	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YCJX_ECOLI			2	0	0			A	
P37344	1		1	1	1			1	5	1		1	1	1			1	A	PSPF_ECOLI			2	2				A	
Q47622	1		1	1	1		1	1	6	1		1	1	1		1	1	G	SAPA_ECOLI			2	2	2		0.861984195	G	
P0AGH3	1		1	1	1	1		1	6	1		1	1	1	1		1	B	SAPB_ECOLI			1	0	0	0		B	
P0AGH5	1		1	1	1	1		1	6	1		1	1	1	1		1	B	SAPC_ECOLI			2	2	2	0		B	
P0AAH4	1		1	1	1			1	5	1		1	1	1			1	F1	SAPD_ECOLI			2	2	2			F1	
P0AAH8	1		1	1	1		1	1	6	1		1	1	1		1	1	F1	SAPF_ECOLI			2	2	2		0.552000348	F1	
P0AEK4	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	FABI_ECOLI	1.54	2	2	2	2			F1	
P30850	1	1	1	1	1	1		1	7	1	1	1	1	1	1		1	A	RNB_ECOLI	0.42	2	2	2	2	0		A	
P77334	1		1	1	1			1	5	1		1	1	1			1	A	GMR_ECOLI			0	0	0			A	
P76034	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YCIT_ECOLI		2	2	2	2			A	
P08244	1	1	1	1	1			1	6	1	1	1	1	1			1	A	PYRF_ECOLI	0.19	2	2	2	2			A	
P0AB58	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	G	YCIM_ECOLI	0.24	2	2	2	0		3.182649139	G	
P0A924	1		1	1	1	1		1	6	1		1	1	1	1		1	B	PGPB_ECOLI			2	2	2	0		B	
P0A7I7	1	1	1	1	1			1	6	1	1	1	1	1			1	A	RIBA_ECOLI	0.89	2	2	2	2			A	
P0A9F3	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	CYSB_ECOLI	0.32	2	2	2	2		4.904980447	A	
P06612	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	TOP1_ECOLI	0.82	2	2	2	2		5.895671855	A	
P0AB61	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	YCIN_ECOLI	1.31	2	2	2	2		3.580623265	A	
P31808	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YCIK_ECOLI	0.29	2	2	2				A	
P37765	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	RLUB_ECOLI	0.28	2	2	2	2			A	
P0AFR4	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YCIO_ECOLI	1.37	2	2	2	2			A	
P77766	1		1	1	1			1	5	1		1	1	1			1	A	TRPH_ECOLI			2	2	2			A	
P00895	1		1	1	1				4	1		1	1	1				A	TRPE_ECOLI			0	0	0				
P00904	1		1	1	1				4	1		1	1	1				F1	TRPG_ECOLI			2	2	0				
P0A879	1		1	1	1			1	5	1		1	1	1			1	B	TRPB_ECOLI			2	2	2			B	
P0A8Z0	1	1	1	1	1			1	6	1	1	1	1	1			1	A	YCIA_ECOLI	0.46	2	2	2	2			A	
P0AB55	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	YCII_ECOLI		2	2	2	2		5.667029666	A	
P31069	1		1	1	1	1	1	1	7	1		1	1	1	1	1	1	B	KCH_ECOLI			2	2	2	0	1.995479308	B	
P0A6H8	1		1	1	1			1	5	1		1	1	1			1	B	CLS_ECOLI			2	2	2			B	
P0A8L7	1		1	1	1		1	1	6	1		1	1	1		1	1	A	YCIU_ECOLI			2	2	2			A	
P77737	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	OPPF_ECOLI	1.91	2	2	2	2			F1	
P76027	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	OPPD_ECOLI	3.76	2	2	2	2			F1	
P0ADP2	1	1	1	1	1			1	6	1	1	1	1	1			1	B	YIGI_ECOLI		2	1	0	0			B	
P27844	1		1	1	1	1			5	1		1	1	1	1			B	RARD_ECOLI			2	0	2	0			
P0ABI4	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	CORA_ECOLI	0.75	2	2	0	0		5.366874496	B	
P03018	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	UVRD_ECOLI	0.33	2	2	2	2		1.595717373	A	
P0A6K1	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	DAPF_ECOLI	0.94	2	2	2	2		7.253417747	A	
P27838	1		1	1	1		1	1	6	1		1	1	1		1	1	A	CYAY_ECOLI			2	2	2		10.03368042	A	
P06983	1	1	1	1	1			1	6	1	1	1	1	1			1	A	HEM3_ECOLI		2	2	2	2			A	
P09126	1		1	1	1			1	5	1		1	1	1			1	A	HEM4_ECOLI			2	2	2			A	
P0ACB7	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	HEMY_ECOLI	0.62	2	1	0	0		2.343559567	B	
P25550	1		1	1	1			1	5	1		1	1	1			1	A	ASLB_ECOLI			2	2	2			A	
P27836	1		1	1	1			1	5	1		1	1	1			1	A	WECG_ECOLI			2	2	2			A	
P27833	1	1	1	1	1			1	6	1	1	1	1	1			1	A	RFFA_ECOLI	0.35	2	2	1	2			A	
P61887	1		1	1	1			1	5	1		1	1	1			1	A	RMLA2_ECOLI			2	2	2			A	
P27830	1	1	1	1	1			1	6	1	1	1	1	1			1	A	RMLB2_ECOLI		2	2	2	2			A	
P27829	1	1	1	1	1			1	6	1	1	1	1	1			1	H	WECC_ECOLI	0.23	2	2	2	2			H	
P27828	1	1	1	1	1			1	6	1	1	1	1	1			1	A	WECB_ECOLI	0.27	2	2	1				A	
P0AG00	1	1	1	1	1			1	6	1	1	1	1	1			1	B	WZZE_ECOLI	0.41	2	2	2	2			B	
P0AG30	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	RHO_ECOLI	0.78	2	2	2	2		15.30168117	A	
P0A8J8	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	A	RHLB_ECOLI	1.39	2	2	2	2	0	9.77610796	A	
P09980	1			1	1		1	1	5	1			1	1		1	1	A	REP_ECOLI				0	0		1.674523334	A	
P0A9L5	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	A	PPIC_ECOLI	0.63	2	2	2	2	0	1.627818976	A	
