Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	ORList_Wide_8(over_500)_LB	ORList_Focused_16(below_500)_LB	K12_outofrange	OurStudy_Feb2011_Common	# Studies	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P30870	1	0	1	1	0	1	0	0	1	5	A	GLNE_ECOLI	0.05	1.29E-01	8.80E+01				0.0051693	516.93																		
P76658	1	1	0	1	1	1	1	0	1	7	A	HLDE_ECOLI	0.24	7.38E-01	2.43E+02		3.52	159.98			424.66	2461.03	0.13		0.28		0.13	0.13	0.13	0.06		0.06						
P0A7J0	1	1	1	1	0	1	1	0	1	7	F1	RIBB_ECOLI	1.78	5.89E+01	3.09E+03	0.47	4.01	181.53	0.080874	8087.4	935.76	5753.06																
P24197	0	0	0	1	0	0	0	0	0	1	A	YGID_ECOLI																										
P0ADT5	0	1	0	1	0	1	0	0	1	4	A	YGIC_ECOLI					1.46	68.16																				
P0ADT2	0	1	0	1	1	1	0	0	1	5	A	YGIB_ECOLI					0.47	22.71					0.35	0.25	1.21	0.4	0.14		0.14			0.14		0.14				
P02930	1	1	0	1	1	1	1	0	1	7	H	TOLC_ECOLI	0.89	6.85E+00	8.85E+02	0.39	12.04	527.07					0.71	0.81	0.71	0.71			0.48	1.44	0.71	0.81	0.92	1.04	0.61	0.27	0.27	0.43
Q93K97	1	1	0	1	0	1	1	0	1	6	A	ADPP_ECOLI	0.45	1.85E+00	4.14E+02		0.39	18.96																				
P0ADU7	0	0	0	1	0	1	0	0	1	3	A	YQIB_ECOLI																										
P0AEW4	0	0	0	1	0	1	0	0	1	3	A	ICC_ECOLI																										
P0A8Z7	0	0	0	1	0	1	0	0	1	3	A	YQIA_ECOLI																										
P20083	1	1	1	1	1	1	0	0	1	7	A	PARE_ECOLI	0.07	1.79E-01	1.06E+02	0.42	0.87	41.26	0.0037553	375.53			0.25			0.25												
P0AEY5	1	1	0	1	0	1	1	0	1	6	B	MDAB_ECOLI	0.2	5.85E-01	2.12E+02	0.46	2.51	115.26																				
P40719	0	0	0	1	0	1	0	0	1	3	B	QSEC_ECOLI																										
P52076	0	0	0	1	0	1	0	0	1	3	A	QSEB_ECOLI																										
P0ADU5	1	1	0	1	0	1	1	0	0	5	G	YGIW_ECOLI	0.5	2.16E+00	4.53E+02		2.73	125.04																				
Q46866	0	0	0	1	0	0	0	0	0	1	A	YGIV_ECOLI																										
P0AFI2	1	1	1	1	1	1	0	0	1	7	F1	PARC_ECOLI	0.15	4.17E-01	1.74E+02	0.42	0.78	37.12	0.010523	1052.3	338.13		0.23	0.08	0.41	0.41		0.21		0.12		0.17						
P26647	0	1	0	1	1	1	0	0	1	5	F1	PLSC_ECOLI					1.03	49					0.54	0.29	0.66	0.66												
P26648	1	0	0	1	0	1	1	0	1	5	G	SUFI_ECOLI	0.1	2.59E-01	1.32E+02	0.31																						
P65298	0	0	0	1	0	1	0	0	0	2	I	YQHH_ECOLI																										
Q46858	0	0	0	1	0	0	0	0	0	1	G	YQHG_ECOLI																										
Q46857	0	1	0	1	1	1	1	0	1	6	A	DKGA_ECOLI					0.58	27.85					0.09		0.09													
Q46856	1	1	1	1	0	1	1	0	1	7	A	YQHD_ECOLI	0.67	3.64E+00	6.13E+02		3.28	149	0.002071	207.1		1054.73																
Q46855	0	0	0	1	0	1	0	0	1	3	A	YQHC_ECOLI																										
P06721	0	0	0	1	0	1	0	0	1	3	A	METC_ECOLI									1893.17																	
P0ABU7	1	1	0	1	1	1	1	0	1	7	B	EXBB_ECOLI	0.71	4.18E+00	6.64E+02	0.38	1.37	64.08					0.13			0.13												
P0ABV2	0	1	0	1	0	1	1	0	0	4	B	EXBD_ECOLI					5.81	260.06																				
P0AG84	0	0	1	1	0	1	0	0	1	4	A	YGHA_ECOLI							0.0070951	709.51																		
P67244	0	0	0	1	1	1	0	0	1	4	B	YQHA_ECOLI											0.16		0.21	0.1												
P64574	0	0	0	1	0	1	0	0	1	3	A	YGHW_ECOLI																										
P0AAJ8	0	0	0	1	0	1	1	0	1	4	F2	HYBA_ECOLI																										
P37180	0	0	0	1	0	1	0	0	0	2	B	HYBB_ECOLI																										
P0ACE0	0	1	0	1	1	1	1	0	1	6	F2	MBHM_ECOLI					0.81	39					0.2		0.17		0.23											
P37182	0	0	1	1	0	1	1	0	1	5	A	HYBD_ECOLI							0.002482	248.2																		
P0AAN1	0	0	0	1	0	1	0	0	1	3	A	HYBE_ECOLI																										
P0A703	0	0	0	1	0	0	1	0	1	3	A	HYBF_ECOLI																										
Q46845	0	1	0	1	0	1	0	0	1	4	F1	YGHU_ECOLI					0.54	25.99																				
P0AES0	1	1	0	1	0	1	0	0	1	5	A	GSP_ECOLI	0.19	5.62E-01	2.07E+02	0.43	0.58	27.85																				
P69739	0	0	0	1	0	1	0	0	0	2	B	MBHS_ECOLI																										
P0AAC6	0	0	0	1	0	1	0	0	1	3	B	YCCA_ECOLI																										
P0AB18	0	1	0	1	0	1	1	0	0	4	A	TUSE_ECOLI					0.93	44.02																				
P75876	1	1	0	1	1	1	0	0	1	6	A	RLMI_ECOLI	0.38	1.37E+00	3.48E+02		3.22	146.75					0.24		0.24													
P0AB20	0	0	0	1	0	1	1	0	1	4	A	HSPQ_ECOLI																										
P75874	1	1	1	1	0	1	1	0	1	7	A	YCCU_ECOLI	0.29	9.31E-01	2.78E+02		3.64	165.27	0.017734	1773.4																		
P0A8X4	0	0	1	1	0	0	0	0	0	2	G	YCCT_ECOLI							0.0001377	13.77																		
P0A731	1	1	0	1	0	1	1	0	1	6	A	MGSA_ECOLI	0.6	2.98E+00	5.46E+02		12.89	563.11																				
P15038	1	0	0	1	1	1	0	0	1	5	A	HELD_ECOLI	0.05	1.25E-01	8.66E+01	0.3							0.09			0.09												
P0AB12	0	0	0	1	1	1	0	0	1	4	B	YCCF_ECOLI											0.21			0.21		0.21			0.21							
P75870	0	0	0	1	0	1	0	0	1	3	B	YCCS_ECOLI																										
P75869	0	0	1	1	0	1	0	0	0	3	A	SXY_ECOLI							0.00016786	16.786																		
P0A8N0	0	1	0	1	0	1	1	0	1	5	A	YCBG_ECOLI					0.78	37.12																				
P75867	0	1	0	1	0	1	0	0	1	4	A	LONH_ECOLI					0.53	25.52																				
P0A6Q3	1	1	1	1	0	1	1	0	1	7	A	FABA_ECOLI	3.29	1.93E+03	2.34E+04		15.68	680.91	0.34062	34062	3039.41																	
P0AB10	0	1	1	1	0	1	0	0	1	5	E	YMBA_ECOLI					0.93	44.02	0.00038158	38.158																		
P43671	1	1	1	1	1	1	1	0	1	8	B	PQIB_ECOLI	0.16	4.45E-01	1.81E+02	0.32	0.23	11.36	0.00031571	31.571			1.39	1.52	7.61	2.42		0.11	0.24		0.24	0.11	0.17	0.11				
P0AFL9	0	0	0	1	0	1	0	0	0	2	B	PQIA_ECOLI																										
P75864	1	1	1	1	1	1	0	0	1	7	A	RLML_ECOLI	0.18	5.01E-01	1.94E+02		1	28.78	0.00017332	17.332			0.21			0.38		0.04										
P75863	0	1	0	1	0	1	0	0	1	4	A	YCBX_ECOLI					0.18	8.96																				
P75862	0	0	0	1	0	1	0	0	0	2	A	YCBW_ECOLI																										
P0A7E1	1	1	0	1	1	1	1	0	1	7	F1	PYRD_ECOLI	0.15	4.13E-01	1.73E+02		9.96	438.54				3004.38	0.28	0.12	0.59	0.12												
P80644	0	0	0	1	0	1	0	0	1	3	A	SSUE_ECOLI																										
P75853	0	0	0	1	0	1	0	0	1	3	G	SSUA_ECOLI																										
P80645	0	0	0	1	0	1	0	0	1	3	A	SSUD_ECOLI																										
P04825	1	1	1	1	0	1	0	0	1	6	F1	AMPN_ECOLI	0.86	6.26E+00	8.40E+02	0.43	3.12	142.33	0.053725	5372.5	485.85																	
P0A8M0	1	1	0	1	1	1	1	0	1	7	A	SYN_ECOLI	1.52	3.22E+01	2.18E+03		8.26	365.77			4388.18		0.2	0.2		0.35		0.13			0.2	0.13						
P02931	1	1	0	1	1	1	1	0	1	7	H	OMPF_ECOLI	1.13	1.23E+01	1.25E+03	0.66	37.75	1595.96				5081.87	2.59	1.64	2.65	2.65	0.12			3.29	6.55	2.36	2.65	2.95	1.86	1.64	2.95	2.36
P00509	1	1	1	1	1	1	1	0	1	8	A	AAT_ECOLI	1.5	3.06E+01	2.11E+03	0.48	25.49	1090.63	0.10313	10313	8329.33	2365.15	0.08			0.08												
P75849	1	1	1	1	0	1	1	0	1	7	A	YCBL_ECOLI	0.25	7.78E-01	2.50E+02		0.78	37.12	0.018819	1881.9		5785.02																
P0AB06	0	0	0	1	0	1	0	0	1	3	G	YCBK_ECOLI																										
P22525	0	0	1	1	0	1	0	0	1	4	B	YCBB_ECOLI							0.0011286	112.86																		
P22523	1	1	1	1	1	1	0	0	1	7	A	MUKB_ECOLI	0.35	1.22E+00	3.26E+02		0.82	38.96	0.015536	1553.6			0.08		0.06			0.04	0.19			0.02						
P22524	0	1	0	1	0	1	0	0	1	4	A	MUKE_ECOLI					1.68	78			282.45																	
P60293	0	1	1	1	0	1	0	0	1	5	A	MUKF_ECOLI					0.22	10.88	0.0044569	445.69																		
P36566	0	1	0	1	0	1	0	0	1	4	A	SMTA_ECOLI					1.03	49																				
P0AB03	0	0	1	1	0	1	0	0	0	3	A	YCBJ_ECOLI							0.00046937	46.937																		
P04951	1	1	1	1	0	1	0	0	1	6	A	KDSB_ECOLI	0.67	3.64E+00	6.13E+02		2.87	131.26	0.014755	1475.5																		
P60752	1	1	1	1	1	1	1	0	1	8	B	MSBA_ECOLI	0.19	5.57E-01	2.06E+02	0.39	0.91	43	0.0099165	991.65			0.18		0.54				0.28		0.1		0.05	0.05	0.05			
P43674	0	0	0	1	0	0	1	0	1	3	I	YCAL_ECOLI																										
P23721	1	1	1	1	0	1	1	0	1	7	A	SERC_ECOLI	2.24	1.71E+02	5.74E+03		3.81	172.75	0.078687	7868.7	8305.57	5273.64																
P75839	0	0	0	1	0	1	0	0	0	2	B	YCAP_ECOLI																										
P75838	1	1	1	1	1	1	0	0	1	7	A	YCAO_ECOLI	0.44	1.74E+00	3.99E+02		2.51	115.26	0.00013223	13.223			0.05		0.05													
P0AC23	0	0	0	1	1	1	0	0	1	4	B	FOCA_ECOLI											0.11	0.11														
P0A9N4	0	1	0	1	0	1	0	0	1	4	A	PFLA_ECOLI					1.57	73.13				1054.73																
P21503	0	0	0	1	0	0	0	0	0	1	B	YCAD_ECOLI																										
P18776	0	0	0	1	0	1	1	0	1	4	F2	DMSB_ECOLI																										
P0A8L1	1	1	1	1	0	1	1	0	1	7	A	SYS_ECOLI	1.43	2.58E+01	1.91E+03		12.04	527.07	0.068116	6811.6	1074.38	29148.84																
P0AAZ4	0	0	1	1	0	1	0	0	1	4	A	RARA_ECOLI							0.003566	356.6																		
P61316	1	1	1	1	0	1	1	0	1	7	G	LOLA_ECOLI	0.67	3.64E+00	6.13E+02	0.41	0.33	16.12	0.0013501	135.01	306.88																	
P46889	1	0	1	1	1	1	0	0	1	6	B	FTSK_ECOLI	0.14	3.77E-01	1.64E+02				0.001874	187.4			0.9		0.9													
P0ACJ0	1	1	0	1	1	1	1	0	1	7	B	LRP_ECOLI	1.22	1.57E+01	1.43E+03		11.92	521.98			1974.17		1.42	0.63	2.7	0.92												
P0A9P4	1	1	0	1	0	1	1	0	1	6	G	TRXB_ECOLI	2	9.90E+01	4.18E+03		33.15	1407.05			3011.39	2013.57																
P29018	0	1	1	1	1	1	1	0	1	7	B	CYDD_ECOLI					0.28	13.75	0.0063273	632.73			0.11	0.2	0.09	0.09			0.05		0.1		0.1					
P23886	0	1	1	1	1	1	1	0	1	7	B	CYDC_ECOLI					0.32	15.65	0.0067555	675.55			1.25		1.25													
P0A8P1	0	0	0	1	0	1	0	0	1	3	A	LFTR_ECOLI																										
P0A8Q6	0	0	0	1	0	1	1	0	1	4	A	CLPS_ECOLI																										
P75830	0	0	1	1	1	1	0	0	1	5	F2	MACA_ECOLI							0.00010501	10.501			0.08	0.08			0.08											
P75829	0	1	1	1	1	1	0	0	1	6	F1	YBJX_ECOLI					3.33	152	0.003654	365.4			0.18	0.18	0.09	0.28												
P75828	0	0	0	1	0	1	0	0	1	3	B	YBJD_ECOLI																										
P75825	0	0	0	1	0	1	0	0	0	2	A	HCP_ECOLI																										
P75824	0	0	0	1	0	1	0	0	0	2	A	HCR_ECOLI																										
P07003	1	1	0	1	0	1	1	0	1	6	F1	POXB_ECOLI	0.09	2.33E-01	1.24E+02	0.34	0.29	14.22																				
P75823	1	1	0	1	0	1	0	0	1	5	A	LTAE_ECOLI	0.12	3.11E-01	1.47E+02		0.62	29.71																				
P75822	0	0	0	1	0	1	0	0	1	3	B	YBJT_ECOLI																										
P75820	0	0	0	1	0	1	1	0	1	4	I	AMID_ECOLI																										
P0A8C1	0	0	1	1	1	1	0	0	1	5	A	YBJQ_ECOLI							0.051848	5184.8			0.3		0.3													
P0AAF6	1	1	1	1	1	1	1	0	1	8	F1	ARTP_ECOLI	0.4	1.51E+00	3.68E+02	0.42	1.15	54.08	0.014668	1466.8			0.26			0.26												
P30859	1	1	0	1	0	1	1	0	1	6	G	ARTI_ECOLI	1.36	2.21E+01	1.75E+03	0.54	0.33	16.12			175.46	6008.75																
P0AE34	0	0	0	1	1	1	0	0	1	4	B	ARTQ_ECOLI											0.13	0.13														
P75817	0	0	0	1	0	1	0	0	1	3	A	RUMB_ECOLI																										
P0AAZ0	0	0	0	1	0	0	0	0	0	1	B	YBJO_ECOLI																										
P31134	0	0	0	1	0	1	0	0	1	3	F1	POTG_ECOLI																										
P31133	1	0	0	1	0	0	1	0	0	3	G	POTF_ECOLI	0.21	6.38E-01	2.23E+02	0.37						1917.69																
P21169	1	0	1	1	0	1	0	0	1	5	A	DCOR_ECOLI	0.08	2.02E-01	1.14E+02				0.0014879	148.79																		
P0C066	0	0	0	1	1	1	1	0	1	5	I	MLTC_ECOLI											0.08	0.08														
P0A8P3	1	1	1	1	0	1	1	0	1	7	A	FETP_ECOLI	0.75	4.62E+00	7.04E+02		30.62	1302.81	0.18134	18134	1036.42																	
P17802	0	0	1	1	0	1	0	0	0	3	A	MUTY_ECOLI							0.0028775	287.75																		
P0A8I5	0	1	1	1	0	1	0	0	1	5	A	TRMB_ECOLI					1.37	64.08	0.012363	1236.3																		
P38521	1	1	0	1	0	1	1	0	1	6	A	YGGL_ECOLI	0.67	3.64E+00	6.13E+02	0.45	4.18	188.99																				
P0ADS9	1	0	0	1	0	1	1	0	1	5	G	YGGN_ECOLI	0.42	1.61E+00	3.82E+02	0.38						862.96																
P00805	0	1	0	1	0	1	1	0	0	4	G	ASPG2_ECOLI					1.24	58.18																				
P46142	0	0	0	1	0	1	0	0	0	2	G	YGGM_ECOLI																										
P52062	0	0	1	1	0	1	0	0	0	3	A	YGGW_ECOLI							0.0036582	365.82																		
P52061	1	1	1	1	0	1	1	0	1	7	A	RDGB_ECOLI	0.43	1.68E+00	3.92E+02		3.33	152	0.020861	2086.1																		
P67080	1	1	1	1	0	1	0	0	1	6	A	YGGS_ECOLI	0.6	2.98E+00	5.46E+02		3.39	154.25	0.0081012	810.12		2205.34																
P52052	1	0	0	1	0	1	0	0	0	3	A	YGGR_ECOLI	0.14	3.89E-01	1.67E+02																							
P0A8I1	0	0	1	1	0	1	1	0	1	5	A	RUVX_ECOLI							0.008692	869.2																		
P0A8W5	1	1	1	1	0	1	0	0	1	6	A	YQGE_ECOLI	0.38	1.37E+00	3.48E+02		1.15	54.08	0.012848	1284.8																		
P04425	1	1	0	1	0	1	1	0	1	6	A	GSHB_ECOLI	1.13	1.26E+01	1.26E+03		4.46	201.25				1598.07																
P0AGL7	0	0	0	1	0	1	0	0	1	3	A	RSME_ECOLI																										
P39902	0	0	1	1	0	1	0	0	0	3	A	SPRT_ECOLI							0.0015452	154.52																		
P0A817	1	1	1	1	1	1	1	0	1	8	A	METK_ECOLI	1.42	2.54E+01	1.89E+03		12.69	554.63	0.14432	14432	11978.78	1438.27	0.38		0.83		0.46	0.16				0.08						
P21170	1	1	0	1	0	1	1	0	1	6	A	SPEA_ECOLI	1.05	1.01E+01	1.11E+03		6.94	308.96			3144.18																	
P60651	1	1	0	1	0	1	1	0	1	6	A	SPEB_ECOLI	1.88	7.40E+01	3.53E+03		5.11	229.62			1241.43																	
P27302	1	1	1	1	1	1	1	0	1	8	A	TKT1_ECOLI	2.15	1.40E+02	5.11E+03	0.68	20	656.74	0.12073	12073		3643.61	0.16	0.09	0.19			0.25				0.09						
P11663	0	0	0	1	0	0	0	0	0	1	A	YGGD_ECOLI																										
P0A9B6	1	1	0	1	0	1	0	0	1	5	A	E4PD_ECOLI	0.13	3.34E-01	1.53E+02	0.3	0.39	18.96																				
P0A799	1	1	1	1	1	1	1	0	1	8	A	PGK_ECOLI	4.53	3.38E+04	1.24E+05		64.79	1285.46	0.24179	24179	14681.75	13871.27	0.35			0.08		0.71		0.26								
P0AB71	1	1	1	1	1	1	1	0	1	8	A	ALF_ECOLI	3.82	6.58E+03	4.78E+04		137.95	3043.33	0.28809	28809	16325.84	18409.79	0.11			0.08		0.08				0.17						
P0ADS6	1	1	1	1	0	1	1	0	1	7	G	YGGE_ECOLI	1.63	4.12E+01	2.51E+03	0.34	34.11	1446.53	0.0012477	124.77																		
P52044	0	0	0	1	0	1	0	0	0	2	A	YGFI_ECOLI																										
P0A8S1	0	0	1	1	0	1	0	0	1	4	A	ICIA_ECOLI							0.013664	1366.4																		
P0A7Z0	1	1	0	1	0	1	1	0	1	6	A	RPIA_ECOLI	1.57	3.63E+01	2.33E+03		14.85	645.93			1681.52	3707.53																
P0A9T0	1	1	0	1	0	1	1	0	1	6	A	SERA_ECOLI	2.08	1.18E+02	4.63E+03		1.64	76.29			23461.62																	
P0AC28	0	0	1	0	0	0	0	0	0	1	A	YGFA_ECOLI							0.0016151	161.51																		
P0ADS2	1	1	0	1	0	1	1	0	1	6	A	ZAPA_ECOLI	0.33	1.15E+00	3.15E+02	0.28	2.73	125.04																				
P0A8C4	1	1	1	1	0	1	1	0	1	7	A	YGFB_ECOLI	1	9.00E+00	1.04E+03		9	398	0.021267	2126.7																		
P15034	1	1	1	1	0	1	1	0	1	7	A	AMPP_ECOLI	0.41	1.58E+00	3.78E+02	0.42	7.19	319.74	0.041147	4114.7	131.52																	
P25534	0	0	1	1	0	1	1	0	1	5	F1	UBIH_ECOLI							0.0055037	550.37																		
P25535	0	0	1	1	0	1	1	0	1	5	B	VISC_ECOLI							0.0095713	957.13																		
P0A6T9	1	1	0	1	1	1	1	0	1	7	A	GCSH_ECOLI	0.67	3.64E+00	6.13E+02		3161.28	116.766			5336.13		0.19			0.19			0.19									
P33195	1	1	1	1	1	1	1	0	1	8	A	GCSP_ECOLI	0.69	3.85E+00	6.33E+02		4.96	223.08	0.03748	3748	849.88		0.03			0.03												
Q46829	1	1	0	1	0	1	1	0	1	6	A	BGLA_ECOLI	0.88	6.50E+00	8.59E+02		2.98	136.13																				
P67153	0	0	0	1	0	0	0	0	0	1	B	YQFA_ECOLI																										
P0ADE8	1	1	0	1	0	1	1	0	1	6	A	YGFZ_ECOLI	0.93	7.58E+00	9.39E+02		5.95	266.13			2058.97	3771.45																
P64559	0	0	0	1	0	1	1	0	0	3	A	YGFY_ECOLI																										
Q46824	0	0	0	1	0	1	0	0	1	3	B	YGFX_ECOLI																										
P0ABY4	0	0	0	1	0	1	1	0	0	3	A	FLAW_ECOLI																										
P0AEG6	1	1	1	1	0	1	0	0	1	6	G	DSBC_ECOLI	1.13	1.23E+01	1.25E+03	0.4	0.47	22.71	0.00042587	42.587	312.01	2652.8																
P21893	0	1	1	1	0	1	0	0	1	5	B	RECJ_ECOLI					0.23	11.36	0.0020851	208.51																		
P0A8N3	1	1	1	1	1	1	1	0	1	8	A	SYK1_ECOLI	1.74	5.40E+01	2.94E+03		21.64	930.53	0.047428	4742.8	2126.53		0.06			0.06	0.06											
Q46822	0	0	0	1	0	1	0	0	0	2	A	IDI_ECOLI																										
Q46821	0	0	1	1	0	1	0	0	0	3	B	YGFU_ECOLI							0.00077561	77.561																		
Q46820	0	0	1	1	0	1	0	0	0	3	A	YGFT_ECOLI							0.0002483	24.83																		
P76641	0	0	0	1	0	1	0	0	0	2	A	GUAD_ECOLI																										
P67444	0	0	0	1	0	1	0	0	0	2	B	XANQ_ECOLI																										
P64557	0	0	0	1	0	1	0	0	0	2	A	YGFM_ECOLI																										
Q46812	0	0	0	1	0	1	0	0	0	2	A	SSNA_ECOLI																										
Q46810	0	0	0	1	0	1	0	0	0	2	A	YGFJ_ECOLI																										
Q46809	0	0	0	1	0	0	0	0	0	1	A	YQEC_ECOLI																										
Q46808	0	0	1	1	0	1	0	0	0	3	B	YQEB_ECOLI							0.00053572	53.572																		
Q46806	0	0	1	1	0	1	0	0	0	3	A	PHYDA_ECOLI							0.00037005	37.005																		
P65807	0	0	0	1	0	1	1	0	0	3	A	YGEY_ECOLI																										
P66899	0	0	0	1	0	1	0	0	0	2	A	DPAL_ECOLI																										
Q46803	0	0	0	1	0	1	1	0	0	3	A	YGEW_ECOLI																										
Q46802	0	0	1	1	1	1	0	0	0	4	A	YGEV_ECOLI							0.00043048	43.048			0.05		0.05		0.05											
Q46800	0	0	0	1	0	1	0	0	1	3	A	XDHB_ECOLI																										
Q46799	0	0	1	1	0	1	0	0	0	3	A	XDHA_ECOLI							0.00045886	45.886																		
P63340	0	0	0	1	0	1	0	0	1	3	B	YQEG_ECOLI																										
Q46939	0	1	1	1	0	1	0	0	1	5	A	YQEF_ECOLI					0.25	12.32	0.004189	418.9																		
Q46938	0	0	1	1	0	1	1	0	0	4	A	KDUI_ECOLI							0.00059196	59.196																		
P0AAY6	0	0	0	1	0	0	0	0	1	2	A	YBJN_ECOLI																										
P0C0U4	0	0	0	1	0	1	0	0	1	3	A	RIMK_ECOLI																										
P68688	0	0	0	1	0	1	1	0	0	3	A	GLRX1_ECOLI																										
P64439	0	0	0	1	0	0	0	0	0	1	B	YBJM_ECOLI																										
P60869	0	1	0	1	0	1	1	0	1	5	B	YBJL_ECOLI					0.44	21.31																				
P75811	0	0	0	1	0	1	0	0	0	2	A	YBJK_ECOLI																										
P75809	0	0	1	1	0	1	1	0	1	5	A	YBJI_ECOLI							0.0025754	257.54																		
P0AAY4	0	0	0	1	0	0	0	0	0	1	G	YBJH_ECOLI																										
P0AEY8	0	0	0	1	0	0	0	0	1	2	B	MDFA_ECOLI																										
P75806	0	0	0	1	0	0	0	0	0	1	B	YBJG_ECOLI																										
P0ACK5	0	1	0	1	0	1	0	0	1	4	A	DEOR_ECOLI					0.58	27.85																				
P08506	0	1	0	1	1	1	1	0	1	6	F2	DACC_ECOLI					1.61	74.94					0.29	0.07	0.21	0.14			0.08		0.67		0.44		0.44			
P75804	0	0	0	1	0	1	0	0	0	2	G	YLII_ECOLI																										
P0AEI4	1	1	0	1	1	1	0	0	1	6	A	RIMO_ECOLI	0.33	1.15E+00	3.15E+02		1.47	68.61					0.07		0.07													
P75801	0	0	0	1	0	1	0	0	1	3	B	YLIF_ECOLI																										
P75799	0	0	0	1	0	0	0	0	0	1	B	GSID_ECOLI																										
P75797	0	0	1	1	0	1	1	0	1	5	G	GSIB_ECOLI							0.0009061	90.61	207.13																	
P75796	0	0	0	1	0	1	0	0	1	3	F1	GSIA_ECOLI																										
P37595	0	0	0	1	0	1	0	0	0	2	A	IAAA_ECOLI																										
P12281	1	1	1	1	0	1	1	0	1	7	A	MOEA_ECOLI	0.29	9.31E-01	2.78E+02	0.37	5.81	260.06	0.0097959	979.59	288.44																	
P12282	0	0	1	1	0	1	0	0	1	4	A	MOEB_ECOLI							0.0006032	60.32		831																
P78055	0	0	0	1	0	0	0	0	0	1	A	FSAA_ECOLI																										
P75794	0	0	0	1	0	1	0	0	0	2	A	PFLE_ECOLI																										
P75793	1	0	0	1	0	1	0	0	0	3	A	PFLF_ECOLI	0.06	1.45E-01	9.43E+01																							
P75792	0	0	1	1	0	1	0	0	1	4	A	SUPH_ECOLI							0.0054451	544.51																		
P0A9U3	1	1	1	1	0	1	1	0	1	7	F1	YBIT_ECOLI	0.24	7.30E-01	2.41E+02		1.11	52.26	0.010395	1039.5	230.21																	
P0AAX8	1	1	1	1	0	1	1	0	1	7	G	YBIS_ECOLI	0.89	6.74E+00	8.77E+02		1.78	83	0.0039972	399.72	530.31	3387.91																
P0A9F1	0	1	0	1	0	1	1	0	1	5	A	MNTR_ECOLI					0.78	37.12																				
P75785	0	0	0	1	0	1	0	0	1	3	B	YBIP_ECOLI																										
P0A917	1	0	0	1	1	1	1	0	1	6	H	OMPX_ECOLI	3.5	3.16E+03	3.12E+04	0.74							1.22	0.94	0.65	0.94			0.16	3.46	1.3	0.65	0.65	1.3	0.94	2.2	1.71	0.94
P0ABT2	1	1	1	1	1	1	1	0	1	8	A	DPS_ECOLI	1.92	8.15E+01	3.73E+03	0.53	30.62	1302.81	0.0049175	491.75			3.03	0.65	2.2	0.94		1.71		0.94	11.09	3.46	3.46		2.78			
P0AEQ3	1	1	0	1	0	1	1	0	1	6	G	GLNH_ECOLI	1	9.00E+00	1.04E+03	0.56	4.82	216.98			2121.26	16396.22																
P10346	1	1	0	1	1	1	1	0	1	7	F1	GLNQ_ECOLI	0.33	1.15E+00	3.15E+02	0.46	3.92	177.58				1438.27	0.95	1.21	0.94	0.7												
P0AAX6	0	0	1	1	0	0	0	0	0	2	G	MCBA_ECOLI							0.001951	195.1																		
P75780	1	1	0	1	1	1	1	0	1	7	H	FIU_ECOLI	0.41	1.59E+00	3.79E+02		0.13	6.53				926.88	0.52	0.48	0.6	0.8			0.12		0.48	0.42	0.42	0.66	0.37	0.6	0.73	0.54
P75779	0	0	0	1	0	1	0	0	1	3	A	YBIX_ECOLI																										
P30178	1	1	1	1	0	1	0	0	1	6	A	YBIC_ECOLI	0.17	4.68E-01	1.86E+02		0.39	18.96	0.023575	2357.5	1352.53																	
P30177	1	0	1	1	0	1	0	0	1	5	A	YBIB_ECOLI	0.41	1.58E+00	3.78E+02	0.34			0.021562	2156.2																		
P27296	0	0	0	1	0	1	0	0	1	3	A	DING_ECOLI																										
P25888	1	0	0	1	0	1	0	0	1	4	A	RHLE_ECOLI	0.17	4.68E-01	1.86E+02	0.46																						
P0A9U1	0	0	1	1	0	1	0	0	1	4	F1	YBHF_ECOLI							0.00043917	43.917																		
P0AFQ2	0	0	0	1	0	1	0	0	1	3	B	YBHS_ECOLI																										
P0AFP9	0	0	0	1	0	1	0	0	1	3	B	YBHR_ECOLI																										
P0AAW1	0	0	0	1	0	1	0	0	1	3	A	YBHP_ECOLI																										
P0AA84	0	0	0	1	0	1	1	0	1	4	F1	YBHO_ECOLI																										
P0AAC4	0	0	0	1	0	1	0	0	1	3	B	YBHL_ECOLI																										
P30749	0	1	1	1	0	1	1	0	0	5	A	MOAE_ECOLI					0.78	37.12	0.0047483	474.83																		
P0A738	0	1	1	1	0	1	0	0	1	5	A	MOAC_ECOLI					1	47.23	0.00010967	10.967																		
P0AEZ9	1	1	0	1	0	1	1	0	1	6	A	MOAB_ECOLI	1.11	1.19E+01	1.22E+03		4.01	181.53				4570.49																
P30745	0	0	0	1	0	1	0	0	1	3	A	MOAA_ECOLI																										
