Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P77243	1	1		1			1	1																			5	1	1		1			1	1																			A		
P77252	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P77297	1																										1	1																										A		
P77302	1			1	1																			1			4	1			1	1																			1			A		
P77357	1			1				1																			3	1			1				1																			A		
P77393	1																										1	1																										A		
P77433	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P77495	1			1		1																					3	1			1		1																					A		
P77536	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P77569	1		1	1				1																			4	1		1	1				1																			A		
P77580	1	1		1				1																			4	1	1		1				1																			A		
P77608	1							1																			2	1							1																			A		
P77624	1		1	1																							3	1		1	1																							A		
P77700	1			1				1																			3	1			1				1																			A		
P77736	1																										1	1																										A		
P77743	1	1		1		1		1																			5	1	1		1		1		1																			A		
P77744	1			1																							2	1			1																							A		
P80668	1							1																			2	1							1																			A		
Q2EEQ2	1																										1	1																										A		
Q2EEU2	1																										1	1																										A		
Q46868	1	1		1		1	1	1														1					7	1	1		1		1	1	1														1					A		
Q47129	1			1			1																				3	1			1			1																				A		
P37749	1	1	1		1	1	1	1																			7	1	1	1		1	1	1	1																			A		
P76077	1			1																							2	1			1																							A		
