B	YAJC_ECOLI	2.05E+01	1.68E+03	30.62	1302.81	1.3695	136950
A	AMPM_ECOLI	3.22E+00	5.71E+02	6.63	295.57	0.051445	5144.5
A	YTFP_ECOLI	2.16E+00	4.53E+02	1.51	70.42	0.024223	2422.3
A	CORC_ECOLI	8.48E-01	2.63E+02	2.59	118.82	0.017344	1734.4
F2	DACA_ECOLI	3.81E+00	6.29E+02	8.12	359.76	0.0021441	214.41
B	ARCB_ECOLI	1.60E-01	9.99E+01	0.66	31.57	0.021952	2195.2
E	DCRB_ECOLI	2.59E+00	5.04E+02	6.94	308.96	0.0027357	273.57
G	DSBC_ECOLI	1.23E+01	1.25E+03	0.47	22.71	0.00042587	42.587
F1	FABI_ECOLI	6.57E+02	1.25E+04	99	4064.14	0.14585	14585
A	GYRA_ECOLI	1.17E+01	1.21E+03	5.63	252.24	0.028595	2859.5
G	HISJ_ECOLI	9.00E+00	1.04E+03	1.15	54.08	0.001017	101.7
A	MOG_ECOLI	9.00E+00	1.04E+03	1.51	70.42	0.010582	1058.2
A	YJGF_ECOLI	2.14E+02	6.54E+03	12.34	540	0.90549	90549
I	NLPI_ECOLI	4.25E-01	1.76E+02	0.36	17.54	0.0018244	182.44
A	NTRB_ECOLI	4.68E-01	1.86E+02	0.44	21.31	0.01138	1138
B	NUOA_ECOLI	9.00E+00	1.04E+03	3.64	165.27	0.070659	7065.9
F1	NUOB_ECOLI	9.00E+00	1.04E+03	4.41	199.06	0.019762	1976.2
F1	NUOE_ECOLI	2.98E+00	5.46E+02	12.89	563.11	0.040065	4006.5
A	NUSA_ECOLI	4.12E+01	2.51E+03	29.39	1252.04	0.18517	18517
A	ODO1_ECOLI	1.38E+01	1.33E+03	14.44	628.64	0.063527	6352.7
B	ODP1_ECOLI	8.47E+02	1.45E+04	47.33	3842.58	0.33982	33982
F1	PARC_ECOLI	4.17E-01	1.74E+02	0.78	37.12	0.010523	1052.3
A	PDXH_ECOLI	1.15E+00	3.15E+02	3.08	140.56	0.010568	1056.8
A	YCFH_ECOLI	5.85E-01	2.12E+02	0.83	39.42	0.0028944	289.44
F1	SEQA_ECOLI	1.19E+01	1.22E+03	11.59	507.96	0.026038	2603.8
A	SSPB_ECOLI	9.00E+00	1.04E+03	2.73	125.04	0.026351	2635.1
A	SPOT_ECOLI	1.45E-01	9.43E+01	0.33	16.12	0.011422	1142.2
B	YIBN_ECOLI	9.00E+00	1.04E+03	18.31	791.36	0.0087534	875.34
A	RHO_ECOLI	1.11E+02	4.45E+03	33.33	1414.45	0.88692	88692
F1	SECB_ECOLI	6.21E+01	3.19E+03	62	2585.84	0.4122	41220
A	YIEF_ECOLI	2.73E+00	5.18E+02	4.62	208.24	0.0048289	482.89
A	TLDD_ECOLI	7.19E-01	2.39E+02	1.37	64.08	0.037399	3739.9
A	YFIF_ECOLI	1.28E+00	3.33E+02	1.87	86.65	0.0073575	735.75
A	IBPA_ECOLI	4.54E+01	2.66E+03	3.22	146.75	0.14623	14623
A	OSMC_ECOLI	9.00E+00	1.04E+03	0.78	37.12	0.0008452	84.52
A	RLME_ECOLI	6.68E-01	2.29E+02	0.43	20.84	0.0047117	471.17
F1	SECA_ECOLI	2.73E+00	5.18E+02	5.17	232.24	0.028944	2894.4
F1	NARH_ECOLI	2.12E-01	1.17E+02	1.41	66	0.00043816	43.816
A	MURF_ECOLI	5.20E-01	1.98E+02	0.33	16.12	0.008253	825.3
A	MOEA_ECOLI	9.31E-01	2.78E+02	5.81	260.06	0.0097959	979.59
A	KATG_ECOLI	6.43E+00	8.53E+02	10	444.52	0.0065919	659.19
A	AMPP_ECOLI	1.58E+00	3.78E+02	7.19	319.74	0.041147	4114.7
A	DNLJ_ECOLI	1.55E-01	9.79E+01	0.28	13.75	0.0089286	892.86
A	PUR4_ECOLI	4.50E+00	6.94E+02	0.79	37.58	0.015984	1598.4
A	PEPD_ECOLI	3.69E+01	2.36E+03	21.91	941.79	0.069545	6954.5
A	AROE_ECOLI	2.16E+00	4.53E+02	1.03	49	0.0057867	578.67
A	MALQ_ECOLI	3.18E-01	1.49E+02	0.78	37.12	0.0065146	651.46
F1	MURG_ECOLI	3.59E-01	1.60E+02	0.26	12.79	0.0053294	532.94
A	UBIG_ECOLI	1.31E+00	3.39E+02	2.16	99.64	0.0076549	765.49
A	NADE_ECOLI	5.11E+00	7.46E+02	4.08	185	0.012897	1289.7
A	PARE_ECOLI	1.79E-01	1.06E+02	0.87	41.26	0.0037553	375.53
A	PEPQ_ECOLI	4.46E+00	6.90E+02	5.19	233.11	0.020075	2007.5
