Accession	Entry name	Gene Name	ABS_CALL	ABS_CALL	Info
P0A703	HYBF_ECOLI	hybF	0	A	Not Expressed at LB
P0AAM7	HYBG_ECOLI	hybG	0	A	Not Expressed at LB
P0AEV4	HYCA_ECOLI	hycA	0	A	Not Expressed at LB
P0AAK1	HYCB_ECOLI	hycB	0	A	Not Expressed at LB
P16430	HYCD_ECOLI	hycD	0	A	Not Expressed at LB
P16432	HYCF_ECOLI	hycF	0	A	Not Expressed at LB
P16433	HYCG_ECOLI	hycG	0	A	Not Expressed at LB
P0AEV7	HYCH_ECOLI	hycH	0	A	Not Expressed at LB
P0AEV9	HYCI_ECOLI	hycI	0	A	Not Expressed at LB
P0AAK4	HYDN_ECOLI	hydN	0	A	Not Expressed at LB
P0A700	HYPA_ECOLI	hypA	0	A	Not Expressed at LB
P0AAM3	HYPC_ECOLI	hypC	0	A	Not Expressed at LB
P24192	HYPD_ECOLI	hypD	0	A	Not Expressed at LB
P0AEW4	ICC_ECOLI	icc	0	A	Not Expressed at LB
P0ADG1	ILVM_ECOLI	ilvM	0	A	Not Expressed at LB
P0ADF8	ILVN_ECOLI	ilvN	0	A	Not Expressed at LB
P05827	ILVY_ECOLI	ilvY	0	A	Not Expressed at LB
P0CF07	INSA1_ECOLI	insA1	0	A	Not Expressed at LB
P0CF08	INSA2_ECOLI	insA2	0	A	Not Expressed at LB
P0CF09	INSA3_ECOLI	insA3	0	A	Not Expressed at LB
P21179	CATE_ECOLI	katE	0	A	Not Expressed at LB
P31069	KCH_ECOLI	kch	0	A	Not Expressed at LB
P0A712	KDGT_ECOLI	kdgT	0	A	Not Expressed at LB
P0A6I6	COAD_ECOLI	kdtB	0	A	Not Expressed at LB
P37769	KDUD_ECOLI	kduD	0	A	Not Expressed at LB
Q46938	KDUI_ECOLI	kduI	0	A	Not Expressed at LB
P03819	KEFC_ECOLI	kefC	0	A	Not Expressed at LB
P07464	THGA_ECOLI	lacA	0	A	Not Expressed at LB
P33229	LAR_ECOLI	lar	0	A	Not Expressed at LB
P52095	DCLZ_ECOLI	ldcC	0	A	Not Expressed at LB
P30126	LEUD_ECOLI	leuD	0	A	Not Expressed at LB
P10151	LEUO_ECOLI	leuO	0	A	Not Expressed at LB
P30015	LHR_ECOLI	lhr	0	A	Not Expressed at LB
P11072	LIT_ECOLI	lit	0	A	Not Expressed at LB
P04816	LIVK_ECOLI	livK	0	A	Not Expressed at LB
P0ACJ0	LRP_ECOLI	lrp	0	A	Not Expressed at LB
P00861	DCDA_ECOLI	lysA	0	A	Not Expressed at LB
P03030	LYSR_ECOLI	lysR	0	A	Not Expressed at LB
P31121	MARB_ECOLI	marB	0	A	Not Expressed at LB
P27245	MARR_ECOLI	marR	0	A	Not Expressed at LB
P24200	MCRA_ECOLI	mcrA	0	A	Not Expressed at LB
P0AAG5	MDLB_ECOLI	mdlB	0	A	Not Expressed at LB
P0C0T5	MEPA_ECOLI	mepA	0	A	Not Expressed at LB
P07623	META_ECOLI	metA	0	A	Not Expressed at LB
P06721	METC_ECOLI	metC	0	A	Not Expressed at LB
P0A9F9	METR_ECOLI	metR	0	A	Not Expressed at LB
P0ABR9	MHPB_ECOLI	mhpB	0	A	Not Expressed at LB
P77580	ACDH_ECOLI	mhpE	0	A	Not Expressed at LB
P30748	MOAD_ECOLI	moaD	0	A	Not Expressed at LB
P12282	MOEB_ECOLI	moeB	0	A	Not Expressed at LB
P33345	MOLR_ECOLI	molR	0	A	Not Expressed at LB
P0ABH4	MRED_ECOLI	mreD	0	A	Not Expressed at LB
P0A742	MSCL_ECOLI	mscL	0	A	Not Expressed at LB
P25738	MSYB_ECOLI	msyB	0	A	Not Expressed at LB
P22523	MUKB_ECOLI	mukB	0	A	Not Expressed at LB
P06722	MUTH_ECOLI	mutH	0	A	Not Expressed at LB
P17802	MUTY_ECOLI	mutY	0	A	Not Expressed at LB
Q47005	NAC_ECOLI	nac	0	A	Not Expressed at LB
P0ABL3	NAPB_ECOLI	napB	0	A	Not Expressed at LB
P0ABL5	NAPC_ECOLI	napC	0	A	Not Expressed at LB
P0AAL0	NAPF_ECOLI	napF	0	A	Not Expressed at LB
P33934	NAPH_ECOLI	napH	0	A	Not Expressed at LB
P11350	NARI_ECOLI	narI	0	A	Not Expressed at LB
P0AF26	NARJ_ECOLI	narJ	0	A	Not Expressed at LB
P19319	NARZ_ECOLI	narZ	0	A	Not Expressed at LB
P0A9G2	NHAR_ECOLI	nhaR	0	A	Not Expressed at LB
P33591	NIKB_ECOLI	nikB	0	A	Not Expressed at LB
P33593	NIKD_ECOLI	nikD	0	A	Not Expressed at LB
P33594	NIKE_ECOLI	nikE	0	A	Not Expressed at LB
P0AC26	NIRC_ECOLI	nirC	0	A	Not Expressed at LB
P0A9I8	NIRD_ECOLI	nirD	0	A	Not Expressed at LB
P0ACH1	SFSB_ECOLI	nlp	0	A	Not Expressed at LB
P23898	NLPC_ECOLI	nlpC	0	A	Not Expressed at LB
P39452	RIR3_ECOLI	nrdE	0	A	Not Expressed at LB
P37146	RIR4_ECOLI	nrdF	0	A	Not Expressed at LB
P0A9N8	NRDG_ECOLI	nrdG	0	A	Not Expressed at LB
P0ABL1	NRFB_ECOLI	nrfB	0	A	Not Expressed at LB
P32711	NRFF_ECOLI	nrfF	0	A	Not Expressed at LB
P32712	NRFG_ECOLI	nrfG	0	A	Not Expressed at LB
P0AFF4	NUPG_ECOLI	nupG	0	A	Not Expressed at LB
