Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P75712	0	1	1	1	0	0	0	3	B	ALLP_ECOLI			0	0	0			
P75715	0	1	1	1	0	0	0	3	G	SFMH_ECOLI			0	0	0			
P75737	0	1	1	1	0	0	0	3	I	YBFP_ECOLI			0	0	0			
P75748	0	1	1	1	0	0	0	3	G	YBGO_ECOLI			0	0	0			
P75769	0	1	1	1	0	0	0	3	B	YBHM_ECOLI			0	0	0			
P75770	0	1	1	1	0	0	0	3	B	YBHN_ECOLI			0	0	0			
P75851	0	1	1	1	0	0	0	3	B	SSUC_ECOLI			0	0	0			
P75855	0	1	1	1	0	0	0	3	G	YCBQ_ECOLI			0	1				
P75856	0	1	1	1	0	0	0	3	G	YCBR_ECOLI			0	0	0			
P75857	0	1	1	1	0	0	0	3	H	YCBS_ECOLI			0	0	0			
P75858	0	1	1	1	0	0	0	3	G	YCBT_ECOLI			0	0	0			
P75859	0	1	1	1	0	0	0	3	G	YCBU_ECOLI			0	0	0			
P75860	0	1	1	1	0	0	0	3	G	YCBV_ECOLI			0	0	0			
P75882	0	1	1	1	0	0	0	3	G	GFCD_ECOLI			0	0	0			
P75883	0	1	1	1	0	0	0	3	G	GFCC_ECOLI			0	0	0			
P75892	0	1	1	1	0	0	0	3	B	RUTG_ECOLI			0	0	0			
P75955	0	1	1	1	0	0	0	3	B	YCFT_ECOLI			0	0	0			
P75961	0	1	1	1	0	0	0	3	B	YCFZ_ECOLI			0	0	0			
P76037	0	1	1	1	0	0	0	3	B	PUUP_ECOLI			0	0	0			
P76043	0	1	1	1	0	0	0	3	B	YCJQ_ECOLI			0	0	0			
P76045	0	1	1	1	0	0	0	3	H	OMPG_ECOLI			0	0				
P76090	0	1	1	1	0	0	0	3	B	YNBA_ECOLI			0	0	0			
P76093	0	1	1	1	0	0	0	3	B	YNBD_ECOLI			0	0	0			
P76118	0	1	1	1	0	0	0	3	B	YNCH_ECOLI			0	0	0			
P76136	0	1	1	1	0	0	0	3	B	YNEN_ECOLI			0	0	0			
P76220	0	1	1	1	0	0	0	3	E	YDJY_ECOLI			0	0	0			
