Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0ABZ4	1	1	1	1	0	1	1	6	F1	KDSC_ECOLI	0.24	2	2	2	2			F1
P0AC02	1	1	1	1	0	0	1	5	I	YFIO_ECOLI	0.84	2	2	2	2			I
P0AC23	0	1	1	1	0	0	1	4	B	FOCA_ECOLI			2	2	2			B
P0AC26	0	1	1	1	1	0	0	4	B	NIRC_ECOLI			0	0	2	0		
P0AC30	1	1	1	1	0	1	1	6	B	FTSX_ECOLI	0.69	2	0	0	0		2.633397688	B
P0AC41	1	1	1	1	0	0	1	5	F1	DHSA_ECOLI	6.87	2	2	2	2			F1
P0AC44	1	1	1	1	0	0	1	5	B	DHSD_ECOLI	3.87	2	2	2	2			B
P0AC55	1	1	1	1	1	0	0	5	F1	GLNK_ECOLI	7.18	2	0	2	0	0		
P0AC75	0	1	1	1	0	1	1	5	B	KDTA_ECOLI			2	2	2		1.528583091	B
P0AC98	0	1	1	1	0	0	1	4	B	YAAH_ECOLI			0	1	0			B
P0ACB7	1	1	1	1	0	1	1	6	B	HEMY_ECOLI	0.62	2	1	0	0		2.343559567	B
P0ACE0	1	1	1	1	0	0	1	5	F2	MBHM_ECOLI	0.51	2	2	2	2			F2
P0ACJ0	1	1	1	1	1	0	1	6	B	LRP_ECOLI	1.88	2	2	2	2	0		B
P0ACJ5	0	1	1	1	0	0	0	3	B	YBAO_ECOLI			2	2				
P0ACN2	0	1	1	1	0	0	0	3	B	YTFH_ECOLI			0	0	0			
P0ACS9	0	1	1	1	0	0	1	4	B	ACRR_ECOLI			2	2				B
P0ACV0	0	1	1	1	0	0	1	4	B	HTRB_ECOLI			2	2	2			B
P0ACV2	0	1	1	1	0	0	0	3	B	DDG_ECOLI			2	2	2			
P0ACX0	0	1	1	1	0	0	0	3	B	YDGC_ECOLI			2	2	0			
P0AD03	0	1	1	1	0	0	0	3	B	YEBS_ECOLI			2	2				
P0AD12	1	1	1	1	0	0	1	5	G	YEEZ_ECOLI	1.97	2	2	2	2			G
P0AD14	0	1	1	1	0	0	1	4	B	YEHU_ECOLI			2	2	2			B
