K12 Accession	Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P09373	253774068	" | 0,3 | ; | 0,21 | ;0,12 |  | 0,16"	ECBD_2692	PFLB_ECOLI	C6EI79_ECOBD	0.2		0.3			0.21		0.12		0.16			
P0ADK0	253771613	" |  | 0,05; |  | 0,13; |  | 0,13; |  | 0,28"	ECBD_0183	YIAF_ECOLI	C6EEC7_ECOBD	0.15			0.05			0.13			0.13			0.28
P0AB77	253771540	" |  | 0,12;0,16 |  | 0,08; | 0,25 | "	ECBD_0108	KBL_ECOLI	C6EDH2_ECOBD	0.15			0.12	0.16		0.08		0.25				
P77398	253772821	" |  | ; | 0,19 | ;0,29 | 0,24 | 0,41;0,09 |  | "	ECBD_1404	ARNA_ECOLI	C6E9U5_ECOBD	0.24					0.19		0.29	0.24	0.41	0.09		
P0A9M8	253772779	" | 0,12 | ; | 0,28 | ;0,39 | 0,18 | 0,23;0,23 |  | 0,18"	ECBD_1362	PTA_ECOLI	C6ELF6_ECOBD	0.23		0.12			0.28		0.39	0.18	0.23	0.23		0.18
P00579	253772097	" | 0,09 | ; | 0,05 | ; | 0,10 | 0,05"	ECBD_0674	RPOD_ECOLI	C6EHS8_ECOBD	0.07		0.09			0.05			0.1	0.05			
P0AGJ9	253773404	" | 0,35 | ; | 0,14 | 0,07; | 0,14 | 0,14; |  | 0,07"	ECBD_2006	SYY_ECOLI	C6EDK8_ECOBD	0.15		0.35			0.14	0.07		0.14	0.14			0.07
P45464	253772017	" |  | 0,09; | 0,42 | ;0,14 |  | 0,19"	ECBD_0593	YRAM_ECOLI	C6EH78_ECOBD	0.21			0.09		0.42		0.14		0.19			
P0ADA5	253774578	" |  | 0,06;0,56 |  | 0,35; | 0,81 | ;0,35 | 0,35 | 0,16"	ECBD_3224	YAJG_ECOLI	C6EL32_ECOBD	0.38			0.06	0.56		0.35		0.81		0.35	0.35	0.16
P36683	253774854	" | 0,04 | ; | 0,11 | 0,03;0,03 | 0,11 | 0,15;0,11 |  | 0,07"	ECBD_3501	ACON2_ECOLI	C6EAT9_ECOBD	0.08		0.04			0.11	0.03	0.03	0.11	0.15	0.11		0.07
P0A6M8	253771834	" | 0,08 | ; | 0,58 | 0,18;0,51 | 0,39 | 0,39; |  | 0,04"	ECBD_0409	EFG_ECOLI	C6EGC4_ECOBD	0.31		0.08			0.58	0.18	0.51	0.39	0.39			0.04
P0ADA3	253772402	" |  | 0,04; |  | 0,27; | 0,49 | ;0,17 |  | 0,37"	ECBD_0982	NLPD_ECOLI	C6EJC5_ECOBD	0.27			0.04			0.27		0.49		0.17		0.37
P06959	253774857	" |  | 0,06;0,05 | 0,16 | 0,4;0,16 | 0,34 | 0,16;0,55 | 0,34 | 0,40"	ECBD_3504	ODP2_ECOLI	C6EAU2_ECOBD	0.26			0.06	0.05	0.16	0.4	0.16	0.34	0.16	0.55	0.34	0.4
P64596	253772014	" |  | ;0,36 |  | ; | 1,17 | ;0,86 | 0,17 | 0,36"	ECBD_0590	YRAP_ECOLI	C6EH75_ECOBD	0.58				0.36				1.17		0.86	0.17	0.36
P61320	253773792	" |  | 0,09; |  | 0,14; | 2,29 | ; | 0,14 | 0,30"	ECBD_2412	LOLB_ECOLI	C6EGQ7_ECOBD	0.59			0.09			0.14		2.29			0.14	0.3
P02932	253774732	 | 0,06 | 	ECBD_3378	PHOE_ECOLI	C6EA44_ECOBD	0.06		0.06										
P25894	253772224	" | 0,05 | ; | 1,26 | ;0,26 |  | 0,26"	ECBD_0802	YGGG_ECOLI	C6EIH3_ECOBD	0.46		0.05			1.26		0.26		0.26			
P69805	253773227	" |  | ;0,22 |  | 0,22; | 0,65 | ;0,11 | 0,11 | 0,22"	ECBD_1822	PTND_ECOLI	C6EC11_ECOBD	0.26				0.22		0.22		0.65		0.11	0.11	0.22
P0A8K1	253775212	" | 0,27 | ; | 0,19 | ; |  | 0,09"	ECBD_3871	PSD_ECOLI	C6ECW5_ECOBD	0.18		0.27			0.19				0.09			
P0ABK2	253774296	" |  | ; | 0,45 | ; | 0,35 | 0,35;0,45 |  | 0,25"	ECBD_2927	CYDB_ECOLI	C6EJK4_ECOBD	0.37					0.45			0.35	0.35	0.45		0.25
P27434	253772590	" |  | 0,14; | 0,3 | 0,69;0,09 | 0,42 | 0,19;0,09 |  | "	ECBD_1170	RODZ_ECOLI	C6EKJ3_ECOBD	0.27			0.14		0.3	0.69	0.09	0.42	0.19	0.09		
P08395	253773279	" | 0,03 | ; |  | 0,15; | 0,05 | ; | 0,21 | 0,05"	ECBD_1878	SPPA_ECOLI	C6ECJ1_ECOBD	0.1		0.03				0.15		0.05			0.21	0.05
P0ABJ1	253774580	" | 0,09 | ;0,09 |  | 0,09;0,09 |  | ; |  | 0,09"	ECBD_3226	CYOA_ECOLI	C6EL34_ECOBD	0.09		0.09		0.09		0.09	0.09					0.09
P77757	253772822	" |  | 0,06;0,19 | 0,09 | 0,3; | 0,09 | ;0,09 | 0,19 | 0,09"	ECBD_1405	ARNC_ECOLI	C6E9U6_ECOBD	0.14			0.06	0.19	0.09	0.3		0.09		0.09	0.19	0.09
P0CE47	253771835	" | 3,03 | ;2,75 | 2,48 | 1,79; |  | 2,48"	ECBD_0410	EFTU1_ECOLI	C6EGC5_ECOBD	2.51		3.03		2.75	2.48	1.79			2.48			
P0A6F3	253775435	"0,33 | 0,97 | 0,4;0,86 | 0,66 | 0,57; | 0,06 | "	ECBD_4098	GLPK_ECOLI	C6EEX2_ECOBD	0.55	0.33	0.97	0.4	0.86	0.66	0.57		0.06				
P16659	253774778	" | 0,66 | ; | 0,35 | 0,50;0,11 |  | 0,22"	ECBD_3424	SYP_ECOLI	C6EA90_ECOBD	0.37		0.66			0.35	0.5	0.11		0.22			
P21507	253772524	"0,14 | 0,29 | 0,07;0,38 |  | 0,14"	ECBD_1104	SRMB_ECOLI	C6EK10_ECOBD	0.2	0.14	0.29	0.07	0.38		0.14						
P32132	253775493	" | 0,61 | ;0,33 | 0,33 | 0,33;0,21 |  | 0,33"	ECBD_4156	TYPA_ECOLI	C6EF30_ECOBD	0.36		0.61		0.33	0.33	0.33	0.21		0.33			
P69828	253772977	"0,2 | 1,07 | ;0,72 | 0,44 | 1,07"	ECBD_1563	PTKA_ECOLI	C6EAL6_ECOBD	0.7	0.2	1.07		0.72	0.44	1.07						
P0A817	253772220	" | 0,83 | ;0,46 | 0,16 | ; |  | 0,08"	ECBD_0798	METK_ECOLI	C6EIG9_ECOBD	0.38		0.83		0.46	0.16				0.08
P0A6H1	253774573	" | 0,73 | ;0,15 |  | 0,15"	ECBD_3219	CLPX_ECOLI	C6EL27_ECOBD	0.34		0.73		0.15		0.15			
P00562	253775420	" | 0,2 | 0,07;0,07 |  | 0,15"	ECBD_4083	AK2H_ECOLI	C6EE68_ECOBD	0.12		0.2	0.07	0.07		0.15			
P0A6H5	253775430	" | 0,57 | ;0,38 | 0,21 | 0,47; |  | 0,07"	ECBD_4093	HSLU_ECOLI	C6EE78_ECOBD	0.34		0.57		0.38	0.21	0.47			0.07
P0A8M0	253774041	"0,2 |  | 0,35; | 0,13 | ; | 0,20 | 0,13"	ECBD_2665	SYN_ECOLI	C6EI52_ECOBD	0.2	0.2		0.35		0.13			0.2	0.13
P0A9P0	253774856	" | 0,46 | 0,06;0,06 | 0,46 | 0,28;0,06 |  | 0,21"	ECBD_3503	DLDH_ECOLI	C6EAU1_ECOBD	0.23		0.46	0.06	0.06	0.46	0.28	0.06		0.21
P28903	253775137	" | 0,27 | ;0,22 |  | 0,22; |  | 0,08"	ECBD_3796	NRDD_ECOLI	C6ECB1_ECOBD	0.2		0.27		0.22		0.22			0.08
P63389	253771821	" | 0,31 | ;0,05 |  | 0,31; |  | 0,05"	ECBD_0396	YHES_ECOLI	C6EGB1_ECOBD	0.18		0.31		0.05		0.31			0.05
P23893	253774818	" | 0,63 | ;0,23 |  | 0,32;0,15 |  | 0,07"	ECBD_3464	GSA_ECOLI	C6EAD0_ECOBD	0.28		0.63		0.23		0.32	0.15		0.07
P60240	253774911	" | 0,12 | ;0,12 |  | 0,19; |  | 0,06"	ECBD_3558	RAPA_ECOLI	C6EAZ6_ECOBD	0.12		0.12		0.12		0.19			0.06
P31979	253772794	" |  | 0,21; | 0,78 | ;0,38 | 0,07 | 0,29"	ECBD_1377	NUOF_ECOLI	C6E9R8_ECOBD	0.35			0.21		0.78		0.38	0.07	0.29
P0ABA6	253775632	" | 0,22 | ;0,22 | 0,11 | 0,11;0,11 |  | "	ECBD_4299	ATPG_ECOLI	C6EG70_ECOBD	0.15		0.22		0.22	0.11	0.11	0.11		
P76658	253772112	" | 0,28 | ;0,13 | 0,13 | 0,13;0,06 |  | 0,06"	ECBD_0689	HLDE_ECOLI	C6EHU3_ECOBD	0.13		0.28		0.13	0.13	0.13	0.06		0.06
P16095	253773233	" | 0,47 | ;0,21 | 0,14 | 0,21; |  | 0,14"	ECBD_1828	SDHL_ECOLI	C6EC17_ECOBD	0.23		0.47		0.21	0.14	0.21			0.14
P0A853	253775657	" | 0,13 | 0,13; | 0,20 | 0,06;0,20 | 0,20 | 0,20"	ECBD_4324	TNAA_ECOLI	C6EG95_ECOBD	0.16		0.13	0.13		0.2	0.06	0.2	0.2	0.2
P0AEZ3	253773826	" | 0,7 | ;0,37 | 0,24 | 0,37; |  | 0,11"	ECBD_2447	MIND_ECOLI	C6EGU1_ECOBD	0.36		0.7		0.37	0.24	0.37			0.11
P0A9C0	253772836	" | 0,38 | ;0,24 | 0,24 | 0,17"	ECBD_1419	GLPA_ECOLI	C6E9W0_ECOBD	0.26		0.38		0.24	0.24	0.17			
P77747	253773630	 |  | 0,17	ECBD_2247	OMPN_ECOLI	C6EEW8_ECOBD	0.17			0.17						
P0AFG3	253774304	" | 0,06 | 0,06; |  | 0,06; |  | 0,03"	ECBD_2935	ODO1_ECOLI	C6EJL2_ECOBD	0.05		0.06	0.06			0.06			0.03
P0A959	253772786	" | 0,42 | ; |  | 0,15"	ECBD_1369	YFBQ_ECOLI	C6ELG3_ECOBD	0.29		0.42				0.15			
P0AA25	253775594	"0,3 |  | ; | 0,29 | 0,29; |  | 0,29"	ECBD_4259	THIO_ECOLI	C6EG32_ECOBD	0.29	0.3				0.29	0.29			0.29
P07117	253773954	 |  | 0,06	ECBD_2578	PUTP_ECOLI	C6EHJ1_ECOBD	0.06			0.06						
P00561	253774966	" | 0,15 | ; |  | 0,11"	ECBD_3616	AK1H_ECOLI	C6EBG7_ECOBD	0.13		0.15				0.11			
P33232	253771552	" |  | 0,35; | 0,35 | ; |  | 0,08"	ECBD_0120	LLDD_ECOLI	C6EDI4_ECOBD	0.26			0.35		0.35				0.08
P63284	253772512	" | 0,11 | ;0,14 | 0,07 | 0,11;0,03 |  | 0,14"	ECBD_1092	CLPB_ECOLI	C6EJZ8_ECOBD	0.1		0.11		0.14	0.07	0.11	0.03		0.14
P0ABN5	253775234	" | 0,07 | 0,15; |  | 0,07;0,07 |  | 0,07"	ECBD_3893	DCUA_ECOLI	C6ECY7_ECOBD	0.09		0.07	0.15			0.07	0.07		0.07
P16676	253772678	 |  | 0,08	ECBD_1259	CYSA_ECOLI	C6EL55_ECOBD	0.08			0.08						
P0ACE0	253772167	" | 0,17 | ;0,23 |  | "	ECBD_0744	MBHM_ECOLI	C6EHZ8_ECOBD	0.2		0.17		0.23					
P0A780	253774599	 | 0,48 | 	ECBD_3245	NUSB_ECOLI	C6ELG8_ECOBD	0.48		0.48							
P0AD68	253774886	" | 0,11 | 0,11;0,05 | 0,11 | "	ECBD_3533	FTSI_ECOLI	C6EAX1_ECOBD	0.1		0.11	0.11	0.05	0.11				
P0A9W3	253774979	" | 0,23 | ;0,23 | 0,11 | 0,23"	ECBD_3629	YJJK_ECOLI	C6EBI0_ECOBD	0.2		0.23		0.23	0.11	0.23			
P0A7Q1	253773328	1,2 |  | 	ECBD_1928	RL35_ECOLI	C6ECP0_ECOBD	1.2	1.2								
P0ADE4	253775151	" | 0,05 | 0,1; | 0,16 | ;0,10 | 0,05 | "	ECBD_3810	YTFM_ECOLI	C6ECC5_ECOBD	0.09		0.05	0.1		0.16		0.1	0.05	
P16456	253773281	 | 0,19 | 	ECBD_1880	SELD_ECOLI	C6ECJ3_ECOBD	0.19		0.19							
P0A7B5	253774731	" | 0,27 | ;0,08 |  | 0,18"	ECBD_3377	PROB_ECOLI	C6EA43_ECOBD	0.18		0.27		0.08		0.18			
P13035	253771745	" | 0,06 | 0,06; | 1,60 | ;0,66 |  | 0,76"	ECBD_0316	GLPD_ECOLI	C6EFE8_ECOBD	0.63		0.06	0.06		1.6		0.66		0.76
P0AD27	253772885	 |  | 0,1	ECBD_1469	YEJM_ECOLI	C6EA09_ECOBD	0.1			0.1						
P0A8J8	253775595	" | 0,14 | ; | 0,14 | 0,07; |  | 0,14"	ECBD_4260	RHLB_ECOLI	C6EG33_ECOBD	0.12		0.14			0.14	0.07			0.14
P0AE34	253774108	0,13 |  | 	ECBD_2732	ARTQ_ECOLI	C6EIB9_ECOBD	0.13	0.13								
P0ABU2	253773798	" | 0,37 | ;0,08 | 0,08 | 0,27; |  | 0,27"	ECBD_2418	ENGD_ECOLI	C6EGR3_ECOBD	0.21		0.37		0.08	0.08	0.27			0.27
P0AGC7	253774983	0,14 |  | 	ECBD_3633	SMP_ECOLI	C6EBI4_ECOBD	0.14	0.14								
P0A9C9	253775436	 | 0,19 | 	ECBD_4099	GLPX_ECOLI	C6EEX3_ECOBD	0.19		0.19							
P0A799	253772234	" |  | 0,08; | 0,71 | ;0,26 |  | "	ECBD_0812	PGK_ECOLI	C6EII3_ECOBD	0.35			0.08		0.71		0.26		
P77239	253774448	" | 0,07 | ; | 0,07 | 0,07; |  | 0,07"	ECBD_3088	CUSB_ECOLI	C6EKC7_ECOBD	0.07		0.07			0.07	0.07			0.07
P62620	253772591	" | 0,36 | ;0,08 |  | "	ECBD_1171	ISPG_ECOLI	C6EKJ4_ECOBD	0.22		0.36		0.08					
Q46802	253772290	" | 0,05 | ;0,05 |  | "	ECBD_0868	YGEV_ECOLI	C6EIN9_ECOBD	0.05		0.05		0.05					
P00960	253771605	 | 0,09 | 	ECBD_0175	SYGA_ECOLI	C6EEB9_ECOBD	0.09		0.09							
P27836	253775579	0,12 |  | 	ECBD_4244	WECG_ECOLI	C6EG17_ECOBD	0.12	0.12								
P00963	253775621	" | 0,09 | ;0,09 |  | "	ECBD_4288	ASNA_ECOLI	C6EG59_ECOBD	0.09		0.09		0.09					
P23173	253775656	" |  | 0,07; |  | 0,07"	ECBD_4323	TNAB_ECOLI	C6EG94_ECOBD	0.07			0.07			0.07			
P77488	253774595	" | 0,05 | ; | 0,05 | "	ECBD_3241	DXS_ECOLI	C6ELG4_ECOBD	0.05		0.05			0.05				
P0AGG4	253772518	 | 0,28 | 	ECBD_1098	THIO2_ECOLI	C6EK04_ECOBD	0.28		0.28							
P77581	253773298	" |  | 0,08; | 0,08 | "	ECBD_1897	ASTC_ECOLI	C6ECL0_ECOBD	0.08			0.08		0.08				
P22333	253773420	" | 0,3 | ; | 0,09 | 0,19"	ECBD_2022	ADD_ECOLI	C6EDM4_ECOBD	0.19		0.3			0.09	0.19			
P0AEP3	253773766	" | 0,21 | ;0,21 |  | ;0,10 |  | "	ECBD_2386	GALU_ECOLI	C6EGN1_ECOBD	0.17		0.21		0.21			0.1		
P0AB12	253774009	" |  | 0,21; | 0,21 | ; | 0,21 | "	ECBD_2633	YCCF_ECOLI	C6EI20_ECOBD	0.21			0.21		0.21			0.21	
P37908	253772494	 |  | 0,14	ECBD_1074	YFJD_ECOLI	C6EJY0_ECOBD	0.14			0.14						
P0AG99	253771991	0,3 |  | 	ECBD_0567	SECG_ECOLI	C6EH52_ECOBD	0.3	0.3								
P76472	253772820	" | 0,1 | ; |  | 0,21; |  | 0,10"	ECBD_1403	ARND_ECOLI	C6E9U4_ECOBD	0.14		0.1				0.21			0.1
P09546	253773956	" |  | 0,07; |  | 0,07"	ECBD_2580	PUTA_ECOLI	C6EHJ3_ECOBD	0.07			0.07			0.07			
P77748	253773357	 |  | 0,12	ECBD_1959	YDIJ_ECOLI	C6ECR9_ECOBD	0.12			0.12						
P75830	253774092	"0,08 |  | ;0,08 |  | "	ECBD_2716	MACA_ECOLI	C6EIA3_ECOBD	0.08	0.08			0.08					
P0ADQ2	253775476	" | 0,09 | ; |  | 0,09"	ECBD_4139	YIID_ECOLI	C6EF13_ECOBD	0.09		0.09				0.09			
P0C054	253771451	" | 0,22 | ; | 0,22 | 0,22; |  | 0,22"	ECBD_0016	IBPA_ECOLI	C6ED83_ECOBD	0.22		0.22			0.22	0.22			0.22
P0A6Z3	253774537	" | 0,09 | ; |  | 0,05; |  | 0,09"	ECBD_3183	HTPG_ECOLI	C6EKZ1_ECOBD	0.08		0.09				0.05			0.09
P76237	253773260	 |  | 0,06	ECBD_1858	YEAJ_ECOLI	C6EC44_ECOBD	0.06			0.06						
P32176	253775468	" | 0,03 | ;0,03 |  | 0,12; |  | 0,09"	ECBD_4131	FDOG_ECOLI	C6EF05_ECOBD	0.07		0.03		0.03		0.12			0.09
P0A9D8	253774807	 | 0,11 | 	ECBD_3453	DAPD_ECOLI	C6EAB9_ECOBD	0.11		0.11							
P0AAN3	253772418	" | 0,15 | ;0,15 |  | "	ECBD_0998	HYPB_ECOLI	C6EJE1_ECOBD	0.15		0.15		0.15					
P0AAB4	253775518	 |  | 0,06	ECBD_4182	UBID_ECOLI	C6EF55_ECOBD	0.06			0.06						
P0AAD6	253772352	" |  | 0,07;0,07 |  | "	ECBD_0932	SDAC_ECOLI	C6EJ75_ECOBD	0.07			0.07	0.07					
P13009	253775357	" | 0,05 | ; |  | 0,07"	ECBD_4018	METH_ECOLI	C6EE05_ECOBD	0.06		0.05				0.07			
P22523	253774047	" | 0,06 | ; | 0,04 | 0,19; |  | 0,02"	ECBD_2671	MUKB_ECOLI	C6EI58_ECOBD	0.08		0.06			0.04	0.19			0.02
P76399	253772990	 |  | 0,03	ECBD_1577	MDTC_ECOLI	C6EAM9_ECOBD	0.03			0.03						
P0AFD6	253772797	"0,16 |  | ; | 0,34 | "	ECBD_1380	NUOI_ECOLI	C6E9S1_ECOBD	0.25	0.16				0.34				
P00903	253771813	 | 0,16 | 	ECBD_0388	PABA_ECOLI	C6EGA3_ECOBD	0.16		0.16							
P0A8F4	253773002	 | 0,29 | 	ECBD_1589	URK_ECOLI	C6EAP1_ECOBD	0.29		0.29							
P21865	253774331	 |  | 0,03	ECBD_2965	KDPD_ECOLI	C6EJN9_ECOBD	0.03			0.03						
P0AF24	253774352	" | 0,26 | ; |  | 0,12"	ECBD_2987	NAGD_ECOLI	C6EJR0_ECOBD	0.19		0.26				0.12			
P04036	253774937	 |  | 0,12	ECBD_3585	DAPB_ECOLI	C6EB22_ECOBD	0.12			0.12						
P0A948	253773910	 | 0,15 | 	ECBD_2534	RIMJ_ECOLI	C6EHE7_ECOBD	0.15		0.15							
P0AAI5	253773882	" | 0,25 | ;0,16 |  | 0,16;0,08 |  | 0,25"	ECBD_2506	FABF_ECOLI	C6EHB9_ECOBD	0.18		0.25		0.16		0.16	0.08		0.25
P0ACB0	253775320	 | 0,06 | 	ECBD_3981	DNAB_ECOLI	C6EDW8_ECOBD	0.06		0.06							
P0A7Y0	253772534	" |  | ; |  | 0,13"	ECBD_1114	RNC_ECOLI	C6EK20_ECOBD	0.13						0.13			
P68699	253775628	0,42 |  | 	ECBD_4295	ATPL_ECOLI	C6EG66_ECOBD	0.42	0.42								
P27249	253774806	" | 0,03 | ; |  | 0,03"	ECBD_3452	GLND_ECOLI	C6EAB8_ECOBD	0.03		0.03				0.03			
P00961	253771606	" | 0,04 | ; | 0,09 | 0,04"	ECBD_0176	SYGB_ECOLI	C6EEC0_ECOBD	0.06		0.04			0.09	0.04			
Q06065	253772856	 | 0,13 | 	ECBD_1439	ATOC_ECOLI	C6E9Y0_ECOBD	0.13		0.13							
P39285	253775213	 |  | 0,05	ECBD_3872	YJEP_ECOLI	C6ECW6_ECOBD	0.05			0.05						
P0A9J0	253771924	 | 0,06 | 	ECBD_0500	RNG_ECOLI	C6EGL4_ECOBD	0.06		0.06							
P0AEI4	253774163	 | 0,07 | 	ECBD_2788	RIMO_ECOLI	C6EIU8_ECOBD	0.07		0.07							
P0ACP1	253774890	" | 0,09 | ; |  | 0,09"	ECBD_3537	FRUR_ECOLI	C6EAX5_ECOBD	0.09		0.09				0.09			
P0AFB8	253775496	 | 0,13 | 	ECBD_4159	NTRC_ECOLI	C6EF33_ECOBD	0.13		0.13							
P38097	253773001	 |  | 0,03	ECBD_1588	YEGE_ECOLI	C6EAP0_ECOBD	0.03			0.03						
P0AFY2	253772929	 |  | 0,12	ECBD_1514	SANA_ECOLI	C6EAG8_ECOBD	0.12			0.12						
P0A763	253772588	 |  | 0,22	ECBD_1168	NDK_ECOLI	C6EKJ1_ECOBD	0.22			0.22						
P22634	253775395	" | 0,11 | ; |  | 0,22"	ECBD_4057	MURI_ECOLI	C6EE43_ECOBD	0.17		0.11				0.22			
P08839	253772684	" |  | ; | 0,11 | ;0,11 |  | "	ECBD_1265	PT1_ECOLI	C6EL61_ECOBD	0.11					0.11		0.11		
P0A6H8	253773753	 |  | 0,19	ECBD_2373	CLS_ECOLI	C6EFY7_ECOBD	0.19			0.19						
P05042	253773433	0,06 |  | 	ECBD_2035	FUMC_ECOLI	C6EDN7_ECOBD	0.06	0.06								
P25536	253771923	0,14 |  | 	ECBD_0499	YHDE_ECOLI	C6EGL3_ECOBD	0.14	0.14								
P60716	253774386	 | 0,19 | 	ECBD_3023	LIPA_ECOLI	C6EK65_ECOBD	0.19		0.19							
P75838	253774066	 | 0,05 | 	ECBD_2690	YCAO_ECOLI	C6EI77_ECOBD	0.05		0.05							
P76372	253773044	" | 0,19 | ; |  | 0,09"	ECBD_1632	WZZB_ECOLI	C6EB58_ECOBD	0.14		0.19				0.09			
P0ADR8	253772354	 |  | 0,06	ECBD_0934	YGDH_ECOLI	C6EJ77_ECOBD	0.06			0.06						
P0AFP4	253774517	" | 0,11 | ;0,11 |  | "	ECBD_3163	YBBO_ECOLI	C6EKX1_ECOBD	0.11		0.11		0.11					
P0AEK4	253773710	" | 0,25 | ;0,12 | 0,12 | ; | 0,12 | "	ECBD_2329	FABI_ECOLI	C6EFU4_ECOBD	0.15		0.25		0.12	0.12			0.12	
P28904	253775135	" |  | 0,11; | 0,11 | "	ECBD_3794	TREC_ECOLI	C6ECA9_ECOBD	0.11			0.11		0.11				
P0A725	253774874	 | 0,1 | 	ECBD_3521	LPXC_ECOLI	C6EAV9_ECOBD	0.1		0.1							
P0AFF0	253772802	" |  | 0,06; | 0,06 | 0,06"	ECBD_1385	NUON_ECOLI	C6E9S6_ECOBD	0.06			0.06		0.06	0.06			
P0A749	253771977	" | 0,15 | ; |  | 0,07"	ECBD_0553	MURA_ECOLI	C6EH38_ECOBD	0.11		0.15				0.07			
P0A6Y8	253774955	"0,05 |  | ; | 0,45 | 0,05; |  | 0,05"	ECBD_3605	DNAK_ECOLI	C6EB40_ECOBD	0.15	0.05				0.45	0.05			0.05
P0AG20	253772365	 | 0,04 | 	ECBD_0945	RELA_ECOLI	C6EJ88_ECOBD	0.04		0.04					
P0A6U8	253771742	 |  | 0,06	ECBD_0313	GLGA_ECOLI	C6EFE5_ECOBD	0.06			0.06				
P28630	253774374	" |  | 0,08; |  | 0,08"	ECBD_3011	HOLA_ECOLI	C6EK53_ECOBD	0.08			0.08			0.08	
P0AFD4	253772796	 |  | 0,09	ECBD_1379	NUOH_ECOLI	C6E9S0_ECOBD	0.09			0.09				
P0ABH0	253774876	 | 0,07 | 	ECBD_3523	FTSA_ECOLI	C6EAW1_ECOBD	0.07		0.07					
P0A996	253772834	" | 0,07 | ;0,15 |  | 0,07"	ECBD_1417	GLPC_ECOLI	C6E9V8_ECOBD	0.1		0.07		0.15		0.07	
P0A7H0	253771438	 | 0,08 | 	ECBD_0003	RECF_ECOLI	C6ECH9_ECOBD	0.08		0.08					
P77737	253773755	" |  | 0,09; |  | 0,18;0,09 |  | "	ECBD_2375	OPPF_ECOLI	C6EFY9_ECOBD	0.12			0.09			0.18	0.09
P0A6T9	253772255	" |  | 0,19; |  | 0,19"	ECBD_0833	GCSH_ECOLI	C6EIK4_ECOBD	0.19			0.19			0.19	
P56579	253772443	0,16 |  | 	ECBD_1023	PTHC_ECOLI	C6EJS9_ECOBD	0.16	0.16						
P36928	253772999	" | 0,14 | ; |  | 0,07"	ECBD_1586	YEGD_ECOLI	C6EAN8_ECOBD	0.11		0.14				0.07	
P0ABQ4	253774920	" | 0,17 | ;0,17 |  | "	ECBD_3567	DYR_ECOLI	C6EB05_ECOBD	0.17		0.17		0.17			
P63183	253775618	 |  | 0,05	ECBD_4285	KUP_ECOLI	C6EG56_ECOBD	0.05			0.05				
P0A6F9	253775230	" |  | 0,32; | 0,34 | ; |  | "	ECBD_3889	CH10_ECOLI	C6ECY3_ECOBD	0.33			0.32		0.34		
P10443	253774789	 | 0,03 | 	ECBD_3435	DPO3A_ECOLI	C6EAA1_ECOBD	0.03		0.03					
P31802	253772883	" | 0,03 | ; |  | 0,03"	ECBD_1467	NARP_ECOLI	C6EA07_ECOBD	0.03		0.03				0.03	
P15042	253772690	 | 0,04 | 	ECBD_1271	DNLJ_ECOLI	C6EL67_ECOBD	0.04		0.04							
P60390	253774888	 | 0,09 | 	ECBD_3535	RSMH_ECOLI	C6EAX3_ECOBD	0.09		0.09							
P0AFC7	253772791	" | 0,14 | ; | 0,64 | ; |  | 1,38"	ECBD_1374	NUOB_ECOLI	C6E9R5_ECOBD	0.72		0.14			0.64				1.38
P28306	253773880	 | 0,09 | 	ECBD_2504	YCEG_ECOLI	C6EHB7_ECOBD	0.09		0.09							
P0A8E1	253773869	 | 0,16 | 	ECBD_2493	YCFP_ECOLI	C6EGY4_ECOBD	0.16		0.16							
P0AB71	253772235	" |  | 0,08; | 0,08 | ; |  | 0,17"	ECBD_0813	ALF_ECOLI	C6EII4_ECOBD	0.11			0.08		0.08				0.17
P37615	253771704	 |  | 0,25	ECBD_0274	YHHM_ECOLI	C6EFA7_ECOBD	0.25			0.25						
P0A8F8	253774218	 | 0,04 | 	ECBD_2844	UVRB_ECOLI	C6EJ03_ECOBD	0.04		0.04							
P00887	253773340	 | 0,08 | 	ECBD_1941	AROH_ECOLI	C6ECQ2_ECOBD	0.08		0.08							
P0ACB2	253774646	 | 0,09 | 	ECBD_3292	HEM2_ECOLI	C6ELL5_ECOBD	0.09		0.09							
P0AEC5	253772363	 |  | 0,03	ECBD_0943	BARA_ECOLI	C6EJ86_ECOBD	0.03			0.03						
P0A8N3	253772269	" |  | 0,06;0,06 |  | "	ECBD_0847	SYK1_ECOLI	C6EIL8_ECOBD	0.06			0.06	0.06					
P00892	253775605	 |  | 	ECBD_4271	ILVG_ECOLI	C6EG43_ECOBD	#диаия/0!									
P23305	253775566	 | 0,12 | 	ECBD_4231	YIGA_ECOLI	C6EG04_ECOBD	0.12		0.12							
P06149	253772939	" | 0,34 | ;0,10 |  | "	ECBD_1525	DLD_ECOLI	C6EAH8_ECOBD	0.22		0.34		0.1					
P17952	253774879	 | 0,06 | 0,20	ECBD_3526	MURC_ECOLI	C6EAW4_ECOBD	0.13		0.06	0.2						
