Entry name (Uniprot)	Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Normalized And Descr Itensity	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
YNJA_ECOLI	P76222	0	1	1	1	0	0	1	4	B		0	0	0			B
YEAI_ECOLI	P76236	0	1	1	1	0	0	0	3	B		0	0	0			
YEBN_ECOLI	P76264	0	1	1	1	0	0	0	3	B		0	0	0			
YEBQ_ECOLI	P76269	0	1	1	1	0	0	1	4	B		2	0				B
YEBT_ECOLI	P76272	1	1	1	1	0	0	1	5	B	1	2	0	0			B
YEDZ_ECOLI	P76343	0	1	1	1	0	0	0	3	B		0	0	0			
UDG_ECOLI	P76373	0	1	1	1	0	0	1	4	B		2	1	0			B
WZC_ECOLI	P76387	1	1	1	1	0	0	0	4	B		0	0	0			
MDTA_ECOLI	P76397	1	1	1	1	0	1	1	6	F2		1	0	0			F2
MDTB_ECOLI	P76398	1	1	1	1	0	0	1	5	B		0	0	0			B
YEGR_ECOLI	P76406	1	1	1	1	0	1	1	6	I		0	0	0			I
YFAP_ECOLI	P76462	0	1	1	1	0	0	0	3	G		0	0				
YFAT_ECOLI	P76466	0	1	1	1	0	0	0	3	G		0	1				
YFDE_ECOLI	P76518	0	1	1	1	0	0	0	3	B		0	0	0			
EUTH_ECOLI	P76552	0	1	1	1	0	0	0	3	B		0	0	0			
YPFG_ECOLI	P76559	0	1	1	1	0	0	0	3	G		0	0	0			
CUSF_ECOLI	P77214	0	1	1	1	0	0	0	3	G		0	0	0			
CUSB_ECOLI	P77239	0	1	1	1	1	0	0	4	F2		2	0	0	0		
RNFG_ECOLI	P77285	1	1	1	1	0	0	1	5	G	1	2	0				G
YBBY_ECOLI	P77328	0	1	1	1	0	0	0	3	B		0	0	0			
YPHC_ECOLI	P77360	0	1	1	1	0	0	0	3	B		1	0	0			
YPHE_ECOLI	P77509	0	1	1	1	0	1	1	5	F1		0	0	0			F1
DPIB_ECOLI	P77510	0	1	1	1	0	0	1	4	B		2	0				B
YDJL_ECOLI	P77539	0	1	1	1	0	0	0	3	B		0	0	0			
PTFC1_ECOLI	P77579	0	1	1	1	0	0	0	3	B		0	0	0			
SUFD_ECOLI	P77689	0	1	1	1	0	0	1	4	F1		0	0	0			F1
YQHG_ECOLI	Q46858	0	1	1	1	0	0	0	3	G		0	0				
GUDP_ECOLI	Q46916	0	1	1	1	0	0	0	3	B		0	0				
YGDL_ECOLI	Q46927	0	1	1	1	0	0	1	4	B		2	0	0			B
YAFL_ECOLI	Q47151	0	1	1	1	0	0	0	3	G		0	0	0			
YFEK_ECOLI	Q47702	0	1	1	1	0	0	0	3	G		0	0	0			
YQJK_ECOLI	Q47710	0	1	1	1	0	0	1	4	B		1	0				B
YPDI_ECOLI	O32528	0	1	1	1	0	0	0	3	I		0	0	0			
PIOO_ECOLI	P03825	0	1	1	1	1	0	0	4	B		2	0	0	0		
ATKB_ECOLI	P03960	1	1	1	1	0	0	1	5	B	1	0	0	0			B
BTUC_ECOLI	P06609	0	1	1	1	0	0	0	3	B		2	0				
FIMG_ECOLI	P08190	0	1	1	1	1	0	0	4	F4		2	0	0	0		
CRED_ECOLI	P08369	0	1	1	1	0	0	0	3	B		0	0	0			
PPDC_ECOLI	P08372	0	1	1	1	1	0	0	4	B		0	0	0	0		
DSDX_ECOLI	P08555	1	1	1	1	1	0	1	6	B		0	0		0		B
PTV3B_ECOLI	P08722	0	1	1	1	0	0	1	4	B		0	0	0			B
UHPB_ECOLI	P09835	0	1	1	1	0	0	1	4	B		0	0	0			B
KDGT_ECOLI	P0A712	0	1	1	1	1	0	0	4	B		0	0	0	0		
PSIE_ECOLI	P0A7C8	0	1	1	1	0	0	0	3	B		2	0	0			
