Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P08555	0	1	1	1	1	0	1	5	B	DSDX_ECOLI			0	0		0		B
P08722	0	1	1	1	0	0	1	4	B	PTV3B_ECOLI			0	0	0			B
P09835	0	1	1	1	0	0	1	4	B	UHPB_ECOLI			0	0	0			B
P0A712	0	1	1	1	1	0	0	4	B	KDGT_ECOLI			0	0	0	0		
P0AA76	0	1	1	1	0	0	0	3	B	DGOT_ECOLI			0	0	0			
P0AA86	0	1	1	1	1	0	1	5	B	DSBE_ECOLI			0	0		0		B
P0AAA3	0	1	1	1	0	0	0	3	G	MATB_ECOLI			0	0	0			
P0AAA9	0	1	1	1	1	0	0	4	G	ZRAP_ECOLI			0	0	0	0		
P0AAF1	0	1	1	1	0	0	0	3	B	POTE_ECOLI			0	0	0			
P0AAI1	0	1	1	1	0	1	1	5	F1	SSUB_ECOLI			0	0	0			F1
P0AAU5	0	0	1	1	0	0	0	2	B	YBFB_ECOLI				0	0			
P0ABM1	0	1	1	1	1	0	1	5	B	CCMC_ECOLI			0	0	0	0		B
P0ABM5	0	1	1	1	1	0	1	5	B	CCMD_ECOLI			0	0	0	0		B
P0ABW5	0	1	1	1	0	0	0	3	G	SFMA_ECOLI			0	0	0			
P0ACD8	0	1	1	1	1	0	1	5	F1	MBHL_ECOLI			0	1		0		F1
P0ACY6	0	1	1	1	0	0	0	3	B	YEAL_ECOLI			0	0	0			
P0AD47	0	1	1	1	0	0	0	3	B	YPHA_ECOLI			1	0	0			
P0ADB7	0	0	0	0	0	0	1	1	I	ECNB_ECOLI								I
P0ADK4	0	1	1	1	0	0	0	3	B	YIAW_ECOLI			0	0	0			
P0AE30	0	1	1	1	1	0	1	5	B	ARTM_ECOLI			0	1	0	0		B
P0AE85	0	0	0	0	0	0	1	1	F2	CPXP_ECOLI								F2
P0AER8	0	1	1	1	0	0	1	4	B	GLTS_ECOLI			0	0	0			B
P0AEW1	0	1	1	1	0	0	0	3	B	HYFE_ECOLI			0	0				
P0AF43	0	1	1	1	0	0	1	4	B	YJBB_ECOLI			0	0	0			B
P0AF45	0	1	1	1	0	0	0	3	G	YJBE_ECOLI			0	0	0			
P0AF73	0	1	1	1	0	0	1	4	B	YJET_ECOLI			0	0	0			B
P0AF86	0	1	1	1	0	0	0	3	G	YJFY_ECOLI			0	0	0			
P0AFL1	0	1	1	1	0	0	0	3	B	POTI_ECOLI			0	0	0			
P0AFP0	0	1	1	1	0	0	0	3	B	YADS_ECOLI			0	0	0			
P0AFR2	1	1	1	1	0	0	1	5	B	YCHM_ECOLI		1	0	0	0			B
P0AFS5	0	1	1	1	0	0	1	4	B	TQSA_ECOLI			0	0	0			B
P0AGC5	0	1	1	1	0	0	0	3	F3	MLTF_ECOLI			0	0	0			
P0AGF4	0	1	1	1	0	0	0	3	B	XYLE_ECOLI			0	0	0			
P0AGI4	0	1	1	1	1	0	0	4	B	XYLH_ECOLI			0	0	0	0		
P0CE44	0	1	1	1	0	0	0	3	B	UIDB_ECOLI			0	0	0			
P11286	0	1	1	1	0	0	0	3	B	YIAB_ECOLI			0	0				
P13482	0	1	1	1	0	1	1	5	G	TREA_ECOLI			0	0	0			G
P13656	0	1	1	1	0	0	0	3	G	CHIA_ECOLI			0	0				
P16683	0	1	1	1	0	0	0	3	B	PHNE_ECOLI			0	0	0			
P16692	0	1	1	1	0	1	0	4	G	PHNP_ECOLI			0	0	0			
P17583	0	1	1	1	0	0	0	3	B	CYNX_ECOLI			0	0	0			
P17994	0	1	1	1	0	0	0	3	G	YFAA_ECOLI			0	0	0			
P20966	0	1	1	1	0	0	1	4	B	PTFBC_ECOLI			0	0				B
P22729	0	1	1	1	0	0	0	3	B	LIVM_ECOLI			0	0	0			
P23200	0	1	1	1	0	0	1	4	B	MGLC_ECOLI			0	0	0			B
P23482	0	1	1	1	0	0	0	3	B	HYFB_ECOLI			0	0	0			
P23485	0	1	1	1	1	0	0	4	B	FECR_ECOLI			0	0	0	0		
P23876	0	1	1	1	1	0	1	5	B	FEPD_ECOLI			0	0	0	0		B
P23877	0	1	1	1	0	0	0	3	B	FEPG_ECOLI			0	0	0			
P23910	0	1	1	1	0	0	0	3	B	ARAJ_ECOLI			0	0	0			
P24077	0	1	1	1	0	0	0	3	B	ENTS_ECOLI			0	0	0			
P24180	0	0	1	1	0	0	0	2	E	ACRE_ECOLI				0	0			
P24181	0	1	1	1	1	0	0	4	B	ACRF_ECOLI			0	0	0	0		
P24207	0	1	1	1	0	0	1	4	B	PHEP_ECOLI			0	0	0			B
P24241	0	1	1	1	0	0	0	3	B	PTIBC_ECOLI			0	0	0			
P25747	0	1	1	1	0	0	0	3	B	YEIB_ECOLI			0	0	0			
P25960	0	1	1	1	1	0	0	4	B	LEP4_ECOLI			0	0		0		
