ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
IG 138 233956 234026 rev at	403.673	2	0.00049077
gloB b0212 at	176.027	2	0.000327479
yafS b0213 at	513.071	2	0.000327479
rnhA b0214 at	536.292	2	0.00315926
IG 139 235539 236066 fwd at	145.727	2	0.000603158
IG 140 236003 238745 rev at	118.506	0	0.127196
dnaQ b0215 at	404.071	2	0.00993898
IG 141 236799 236930 fwd at	185.595	2	0.0133783
aspV b0216 s at	7945.38	2	0.0234375
IG 142 237008 237334 fwd at	274.585	2	0.000603158
yafT b0217 at	140.213	0	0.733935
IG 143 238121 240342 fwd at	162.183	0	0.409628
yafU b0218 at	14.718	0	0.432352
IG 144 239085 239418 rev f at	160.495	2	0.00603166
yafV b0219 at	284.176	2	0.0204441
IG 145 240190 240858 rev at	162.429	0	0.563941
ykfE b0220 at	1026.09	2	0.00108112
IG 146 240817 243542 fwd at	478.873	0	0.760937
yafH b0221 at	645.724	2	0.000892689
IG 147 243340 245064 rev at	174.225	2	0.00103047
gmhA b0222 at	725.596	2	0.000493549
IG 148 244122 244326 fwd at	547.004	2	0.000327479
yafJ b0223 at	488.318	2	0.000892689
yafK b0224 at	654.54	2	0.00529677
IG 149 245095 246711 fwd at	76.513	2	0.00158088
IG 150 245806 245960 rev at	616.932	2	0.00379911
yafQ b0225 at	1029.8	2	0.00049077
dinJ b0226 at	1582.16	2	0.000402638
IG 151 246503 248357 rev f at	178.268	2	0.00148645
yafL b0227 at	995.224	0	0.140265
IG 152 247462 247636 fwd at	776.496	0	0.733935
yafM b0228 at	959.254	2	0.000327479
IG 153 248135 250041 fwd f at	1058.1	2	0.00073689
fhiA b0229 at	78.706	0	0.477354
mbhA b0230 at	134.301	0	0.24776
IG 154 250098 254258 rev f at	393.192	2	1,62E+00
IG 155 250828 250897 fwd at	23.091	2	0.00269283
dinP b0231 at	871.843	0	0.388213
IG 156 251954 252004 fwd at	148.97	2	0.00110886
yafN b0232 at	193.632	2	0.000327479
yafO b0233 at	151.212	2	0.00269283
yafP b0234 at	151.197	0	0.0957232
IG 157 253162 253466 fwd f at	213.393	0	0.213264
b0235 at	357.985	0	0.458256
prfH b0236 at	431.403	0	0.41014
