Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization
P0ABJ1	1	1	0	1	1	1	5	B	CYOA_ECOLI	0.89	6.74E+00	8.77E+02	0.4	9	398					0.09	 	0.09	 	0.09	  	0.09	0.09	  	 	 	  	0.09			B
P0ABJ3	0	0	1	1	0	1	3	B	CYOC_ECOLI							0.021879	2187.9																		B
P0ABJ6	0	0	1	1	0	1	3	B	CYOD_ECOLI							0.10038	10038																		B
P0ABJ9	1	1	1	1	1	1	6	B	CYDA_ECOLI	0.57	2.73E+00	5.18E+02	0.49	3.64	165.27	0.19755	19755			0.36	  	0.18	0.12	 	  	0.07	0.39	0.25	0.64	0.12	0.93	0.32	0.32	0.47	B
P0ABK7	0	0	0	1	0	0	1	F4	CSGB_ECOLI																										
P0ABK9	1	0	0	1	0	0	2	G	NRFA_ECOLI	0.08	2.12E-01	1.17E+02	0.45																						
P0ABL3	0	0	0	1	0	0	1	G	NAPB_ECOLI																										
P0ABL5	0	0	0	1	0	0	1	B	NAPC_ECOLI																										
P0ABM9	0	0	0	1	0	1	2	B	CCMH_ECOLI																										B
P0ABS5	0	1	0	1	0	1	3	B	PRIM_ECOLI					0.14	7.02																				B
P0ABT8	0	0	0	1	0	0	1	B	YIJE_ECOLI																										
P0ABU7	1	1	0	1	1	1	5	B	EXBB_ECOLI	0.71	4.18E+00	6.64E+02	0.38	1.37	64.08					0.13	 	  	0.13												B
P0ABU9	1	1	0	1	1	1	5	B	TOLQ_ECOLI	0.44	1.78E+00	4.05E+02	0.35	1.85	85.75					0.32	 	0.63	0.28	0.13	0.45	 	 	0.13	0.28						B
P0ABV2	0	1	0	1	0	0	2	B	EXBD_ECOLI					5.81	260.06																				
P0ABV6	0	0	0	1	1	1	3	B	TOLR_ECOLI											0.38	  	0.22	  	 	0.49	1.23	0.22	0.22	0.22	 	0.22	 	 	0.22	B
P0ABW9	0	0	0	1	0	0	1	G	FLGB_ECOLI																										
P0ABX2	0	0	0	1	0	0	1	G	FLGC_ECOLI																										
P0ABX5	0	0	0	1	0	0	1	G	FLGG_ECOLI																										
P0ABZ4	1	1	1	1	0	1	5	F1	KDSC_ECOLI	0.5	2.16E+00	4.53E+02		0.78	37.12	0.01942	1942																		F1
P0AC02	1	1	0	1	1	1	5	I	YFIO_ECOLI	0.88	6.50E+00	8.59E+02		3.64	165.27					0.38	0.12	0.4	0.4	 	0.1	0.1	0.25	0.12	0.12	 	1.76	0.25	0.4	0.12	I
P0AC23	0	0	0	1	1	1	3	B	FOCA_ECOLI											0.11	0.11	  	 												B
P0AC26	0	0	0	1	0	0	1	B	NIRC_ECOLI																										
