Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0AEY1	0	1	1	1	0	0	1	4	B	MARC_ECOLI			2	1	2			B
P0AEY5	1	1	1	1	0	0	1	5	B	MDAB_ECOLI		1	2	1	2			B
P0AEY8	0	1	1	1	0	0	1	4	B	MDFA_ECOLI			2	2	2			B
P0AEZ3	1	1	1	1	0	0	1	5	F1	MIND_ECOLI	0.96	1	2	2	2			F1
P0AEZ7	0	1	1	1	1	1	1	6	I	MLTD_ECOLI			1	2		0		I
P0AF20	1	1	1	1	0	1	1	6	B	NAGC_ECOLI	0.72	1	2	2	2		3.604132867	B
P0AF34	0	1	1	1	0	0	1	4	B	YIIR_ECOLI			2	2				B
P0AF40	0	1	1	1	0	0	1	4	B	YIJD_ECOLI			2	2	2			B
P0AF70	0	1	1	1	0	0	1	4	I	YJEI_ECOLI			2	2	2			I
P0AFA2	0	1	1	1	0	0	1	4	B	NARX_ECOLI			2	2				B
P0AFB1	1	1	1	1	0	1	1	6	I	NLPI_ECOLI		1	2	2	2			I
P0AFC3	1	1	1	1	0	1	1	6	B	NUOA_ECOLI	6.62	2	2	2	2		8.070578836	B
P0AFC7	1	1	1	1	0	1	1	6	F1	NUOB_ECOLI	6	2	2	2	2		11.66003673	F1
P0AFD1	1	1	1	1	0	1	1	6	F1	NUOE_ECOLI	9.83	2	2	2	2		8.009589916	F1
P0AFD4	1	1	1	1	0	0	1	5	B	NUOH_ECOLI	6.26	2	2	2	2			B
P0AFD6	1	1	1	1	0	0	1	5	F1	NUOI_ECOLI	9.81	2	2	2	2			F1
P0AFE8	0	1	1	1	0	0	1	4	B	NUOM_ECOLI			2	2	2			B
P0AFF0	0	1	1	1	0	0	1	4	B	NUON_ECOLI			2	2	2			B
P0AFF2	0	1	1	1	0	0	1	4	B	NUPC_ECOLI			2	2	2			B
P0AFG8	1	1	1	1	0	1	1	6	B	ODP1_ECOLI	7	2	2	2	2		15.84047156	B
P0AFH8	0	1	1	1	0	1	1	5	G	OSMY_ECOLI			2	2	0		9.680731031	G
P0AFI2	1	1	1	1	0	1	1	6	F1	PARC_ECOLI	0.23	0	2	0	0		2.906842346	F1
P0AFJ7	1	1	1	1	0	0	1	5	B	PITA_ECOLI	0.83	1	2	2	2			B
P0AFK2	0	1	1	1	1	0	1	5	B	PNUC_ECOLI			2	2	2	0		B
P0AFK4	0	1	1	1	0	0	1	4	B	POTB_ECOLI			2	2	2			B
P0AFK6	0	1	1	1	0	0	1	4	B	POTC_ECOLI			2	2	2			B
P0AFK9	1	1	1	1	0	0	1	5	G	POTD_ECOLI	1.89	2	2	2	2			G
P0AFL6	1	1	1	1	0	0	1	5	F1	PPX_ECOLI	0.47	1	2	2	2			F1
P0AFM2	0	1	1	1	0	0	1	4	G	PROX_ECOLI			2	2				G
P0AFP9	0	1	1	1	0	0	1	4	B	YBHR_ECOLI			2	2	2			B
P0AFQ2	0	1	1	1	0	0	1	4	B	YBHS_ECOLI			2	2	2			B
P0AFS9	0	0	1	1	0	0	1	3	B	YEBA_ECOLI				2				B
P0AFV4	0	0	1	1	0	0	1	3	I	SPR_ECOLI				2	2			I
P0AFX9	0	1	1	1	0	0	1	4	G	RSEB_ECOLI			2	2	2			G
P0AFY2	0	1	1	1	1	0	1	5	B	SANA_ECOLI			2	1	2	0		B
P0AFY6	0	1	1	1	0	0	1	4	B	SBMA_ECOLI			2	2	0			B
P0AFY8	1	1	1	1	0	1	1	6	F1	SEQA_ECOLI	1.86	2	2	2	2		7.185055896	F1
P0AFZ7	0	1	1	1	0	0	1	4	B	TRKH_ECOLI			2	2	2			B
P0AG00	1	1	1	1	0	0	1	5	B	WZZE_ECOLI	0.41	1	2	2	2			B
P0AG27	1	1	1	1	0	1	1	6	B	YIBN_ECOLI	6.68	2	2	2	2		7.467956275	B
P0AG71	0	1	1	1	0	1	1	5	B	RMUC_ECOLI			2	2	2			B
P0AG80	0	1	1	1	0	1	1	5	G	UGPB_ECOLI			2	2				G
P0AG82	0	1	1	1	0	1	1	5	G	PSTS_ECOLI			2	2	2		132.9554438	G
P0AG86	1	1	1	1	0	1	1	6	F1	SECB_ECOLI	9.85	2	2	2	2		11.20686608	F1
P0AG90	1	1	1	1	0	0	1	5	B	SECD_ECOLI	1.11	1	2	2	2			B
P0AG93	1	1	1	1	0	0	1	5	B	SECF_ECOLI	0.34	1	2	2	2			B
P0AG99	1	1	1	1	0	0	1	5	B	SECG_ECOLI	0.92	1	2	2	2			B
P0AGA2	1	1	1	1	0	0	1	5	B	SECY_ECOLI	9.13	2	2	2	2			B
P0AGB0	1	1	1	1	0	0	1	5	B	SERB_ECOLI	0.59	1	2	2				B
P0AGB6	0	1	1	1	0	0	1	4	F1	RPOE_ECOLI			2	2	2			F1
P0AGC3	1	1	1	1	0	0	1	5	G	SLT_ECOLI	1	1	2	2	2			G
P0AGD1	0	1	1	1	1	0	1	5	G	SODC_ECOLI			2	2	2	0		G
P0AGD7	1	1	1	1	0	0	1	5	F1	SRP54_ECOLI	0.84	1	2	2	2			F1
P0AGH5	0	1	1	1	1	0	1	5	B	SAPC_ECOLI			2	2	2	0		B
P0AGM5	0	1	1	1	0	0	1	4	B	SIRB1_ECOLI			2	2	2			B
P0C066	0	1	1	1	0	0	1	4	I	MLTC_ECOLI			2	2	2			I
P0C0L7	1	1	1	1	0	0	1	5	B	PROP_ECOLI	0	0	2	2				B
P0C960	0	1	1	1	0	0	1	4	I	EMTA_ECOLI			2	1	2			I
P0CB39	1	1	1	1	0	0	1	5	B	CPTA_ECOLI	0.34	1	2	2	2			B
P10121	1	1	1	1	0	0	1	5	F1	FTSY_ECOLI	1.41	1	2	2	2			F1
P10346	1	1	1	1	0	0	1	5	F1	GLNQ_ECOLI	1	1	2	2	2			F1
P10378	0	1	1	1	1	1	1	6	F1	ENTE_ECOLI			0	2		0	0.5180744	F1
P10408	1	1	1	1	0	1	1	6	F1	SECA_ECOLI	1.48	1	2	2	2		2.693961519	F1
P10441	1	1	1	1	0	1	1	6	F1	LPXB_ECOLI	0.77	1	2	2	2		0.497364635	F1
