Join Name	CommonCore	K12	No files found in	CommonCore Duplicates	K12 Duplicates
P0AG44	1	1	2	1	1	EG10878
P0C018	1	1	2	1	1	EG10879
P0A7K6	1	1	2	1	1	EG10880
P0A7L3	1	1	2	1	1	EG10881
P61175	1	1	2	1	1	EG10882
P0ADZ0	1	1	2	1	1	EG10883
P60624	1	1	2	1	1	EG10884
P68919	1	1	2	1	1	EG10885
P0A7M2	1	1	2	1	1	EG10886
P0A7M6	1	1	2	1	1	EG10887
P0AG51	1	1	2	1	1	EG10888
P0A7M9	1	1	2	1	1	EG10889
P0A7N4	1	1	2	1	1	EG10890
P0A7N9	1	1	2	1	1	EG10891
P0A7P5	1	1	2	1	1	EG10892
P0A7Z4	1	1	2	1	1	EG10893
P0A8V2	1	1	2	1	1	EG10894
P0A8T7	1	1	2	1	1	EG10895
P00579	1	1	2	1	1	EG10896
P24255	1	1	2	1	1	EG10898
P0AG67	1	1	2	1	1	EG10900
P0A7V0	1	1	2	1	1	EG10901
P0A7V3	1	1	2	1	1	EG10902
P0A7V8	1	1	2	1	1	EG10903
P0A7W1	1	1	2	1	1	EG10904
P02358	1	1	2	1	1	EG10905
P02359	1	1	2	1	1	EG10906
P0A7W7	1	1	2	1	1	EG10907
P0A7X3	1	1	2	1	1	EG10908
P0A7R5	1	1	2	1	1	EG10909
P0A7R9	1	1	2	1	1	EG10910
P0A7S3	1	1	2	1	1	EG10911
P0A7S9	1	1	2	1	1	EG10912
P0AG59	1	1	2	1	1	EG10913
P0ADZ4	1	1	2	1	1	EG10914
P0A7T3	1	1	2	1	1	EG10915
P0AG63	1	1	2	1	1	EG10916
P0A7T7	1	1	2	1	1	EG10917
P0A7U3	1	1	2	1	1	EG10918
P0A7U7	1	1	2	1	1	EG10919
P68679	1	1	2	1	1	EG10920
P0A809	1	1	2	1	1	EG10923
P0A812	1	1	2	1	1	EG10924
P0A814	1	1	2	1	1	EG10925
P13458	1	1	2	1	1	EG10927
P0AFY6	1	1	2	1	1	EG10928
P0AG78	1	1	2	1	1	EG10929
P16095	1	1	2	1	1	EG10930
P0AC41	1	1	2	1	1	EG10931
P07014	1	1	2	1	1	EG10932
P07026	1	1	2	1	1	EG10935
P10408	1	1	2	1	1	EG10936
P0AG90	1	1	2	1	1	EG10938
