Merge ID	Orbi detected	Non Orbi detected	# Identified	
P31553	0	0	0	CAIT_ECOLI
P31554	1	1	2	LPTD_ECOLI
P31666	1	1	2	YADE_ECOLI
P31679	0	0	0	YAAU_ECOLI
P31979	1	1	2	NUOF_ECOLI
P32057	0	1	1	WCAI_ECOLI
P32108	0	0	0	YIBI_ECOLI
P32125	0	1	1	MOBB_ECOLI
P32129	0	0	0	YIHG_ECOLI
P32160	1	1	2	YIIQ_ECOLI
P32166	1	1	2	MENA_ECOLI
P32670	1	1	2	PTFX2_ECOLI
P32676	0	0	0	PTFB3_ECOLI
P32681	1	1	2	YJAH_ECOLI
P32687	0	0	0	YJBF_ECOLI
P32689	0	1	1	YJBH_ECOLI
P32700	0	0	0	YJCB_ECOLI
P32712	0	0	0	NRFG_ECOLI
P32714	0	1	1	MDTP_ECOLI
P32715	0	1	1	MDTO_ECOLI
P33011	1	0	1	YEEA_ECOLI
P33024	0	1	1	PSUT_ECOLI
P33136	1	1	2	OPGG_ECOLI
P33219	1	1	2	YEBF_ECOLI
P33225	0	1	1	TORA_ECOLI
P33226	0	1	1	TORC_ECOLI
P33232	1	1	2	LLDD_ECOLI
P33235	1	1	2	FLGK_ECOLI
P33358	1	0	1	MLRA_ECOLI
P33360	1	1	2	YEHX_ECOLI
P33362	1	1	2	OSMF_ECOLI
P33363	1	1	2	BGLX_ECOLI
P33554	0	0	0	PPDA_ECOLI
P33590	0	1	1	NIKA_ECOLI
P33591	0	0	0	NIKB_ECOLI
P33593	1	1	2	NIKD_ECOLI
P33594	0	1	1	NIKE_ECOLI
P33599	1	1	2	NUOCD_ECOLI
P33602	1	1	2	NUOG_ECOLI
P33607	1	1	2	NUOL_ECOLI
P33650	1	1	2	FEOB_ECOLI
P33915	1	1	2	YEJE_ECOLI
P33916	1	1	2	YEJF_ECOLI
P33927	1	0	1	CCMF_ECOLI
P33934	1	1	2	NAPH_ECOLI
P33937	1	1	2	NAPA_ECOLI
P33940	1	1	2	MQO_ECOLI
P34749	1	0	1	HOFQ_ECOLI
P36548	1	1	2	AMIA_ECOLI
P36647	0	0	0	PPDD_ECOLI
P36672	1	1	2	PTTBC_ECOLI
P36837	0	1	1	YHIP_ECOLI
P36879	1	1	2	YADG_ECOLI
P36881	0	1	1	YADI_ECOLI
P36929	1	1	2	RSMB_ECOLI
P37028	1	1	2	BTUF_ECOLI
P37146	0	1	1	RIR4_ECOLI
P37177	1	1	2	PT1P_ECOLI
P37180	0	1	1	HYBB_ECOLI
P37194	1	1	2	SLP_ECOLI
P37313	1	1	2	DPPF_ECOLI
P37339	1	1	2	YGAF_ECOLI
P37340	1	1	2	MDTK_ECOLI
P37387	1	1	2	XYLF_ECOLI
P37619	0	0	0	YHHQ_ECOLI
P37624	1	1	2	YHIH_ECOLI
P37631	0	1	1	YHIN_ECOLI
P37636	1	1	2	MDTE_ECOLI
P37637	1	1	2	MDTF_ECOLI
P37641	1	0	1	YHJC_ECOLI
P37642	1	1	2	YHJD_ECOLI
P37648	1	1	2	YHJJ_ECOLI
P37649	1	1	2	YHJK_ECOLI
P37651	1	1	2	GUN_ECOLI
P37652	1	1	2	BCSB_ECOLI
P37660	0	0	0	YHJV_ECOLI
P37661	0	1	1	EPTB_ECOLI
P37690	1	1	2	YIBP_ECOLI
