ID interactor A_ID interactor B	ID interactor A	ID interactor B
P77302_P06959	P77302	P06959
P76086_P06959	P76086	P06959
P0AE67_P06959	P0AE67	P06959
P36995_P06959	P36995	P06959
P0AED9_P06959	P0AED9	P06959
P0C0R7_P06959	P0C0R7	P06959
P10486_P06959	P10486	P06959
P10485_P06959	P10485	P06959
P16528_P06959	P16528	P06959
P37326_P06959	P37326	P06959
P00490_P06959	P00490	P06959
P0AF26_P06959	P0AF26	P06959
P68739_P06959	P68739	P06959
P0A7B1_P06959	P0A7B1	P06959
P08394_P06959	P08394	P06959
P21893_P06959	P21893	P06959
P15043_P06959	P15043	P06959
P30014_P06959	P30014	P06959
P0A7Z4_P06959	P0A7Z4	P06959
P14081_P06959	P14081	P06959
P0A847_P06959	P0A847	P06959
P26602_P06959	P26602	P06959
P09030_P06959	P09030	P06959
P0A9U1_P06959	P0A9U1	P06959
P45527_P06959	P45527	P06959
P0ADK8_P06959	P0ADK8	P06959
P67087_P06959	P67087	P06959
P37188_P06961	P37188	P06961
P0AAF6_P0AAC6	P0AAF6	P0AAC6
P0ABZ1_P06974	P0ABZ1	P06974
P06974_P06974	P06974	P06974
P0A6S0_P06974	P0A6S0	P06974
P0ABX8_P06974	P0ABX8	P06974
P0ABZ1_P06974	P0ABZ1	P06974
P0AG07_P06974	P0AG07	P06974
P75942_P06974	P75942	P06974
P0AE88_P0A9B2	P0AE88	P0A9B2
P0CE47_P0AES6	P0CE47	P0AES6
P0A6Y8_P06986	P0A6Y8	P06986
P06993_P06993	P06993	P06993
P23256_P06993	P23256	P06993
P0A6A8_P06993	P0A6A8	P06993
P0C8J6_P06993	P0C8J6	P06993
P31574_P06993	P31574	P06993
P52613_P06993	P52613	P06993
P0A6F5_P06993	P0A6F5	P06993
P0A9X4_P06993	P0A9X4	P06993
P0AAH0_P06993	P0AAH0	P06993
P0AG30_P06993	P0AG30	P06993
P0CE47_P06993	P0CE47	P06993
P36979_P06993	P36979	P06993
P0ADQ7_P06993	P0ADQ7	P06993
P07003_P07003	P07003	P07003
P0A6D3_P07003	P0A6D3	P07003
P0A988_P07003	P0A988	P07003
P0CE47_P07003	P0CE47	P07003
P16676_P07004	P16676	P07004
P27242_P0A7I0	P27242	P0A7I0
P69054_P07014	P69054	P07014
P0AC44_P07014	P0AC44	P07014
P0A9P0_P0AFG3	P0A9P0	P0AFG3
