P37774	YECC_ECOLI	YECC_ECOLI_F1
P43672	UUP_ECOLI	UUP_ECOLI_F1
P56258	WECF_ECOLI	WECF_ECOLI_F1
P64602	MLAB_ECOLI	MLAB_ECOLI_F1
P69795	PTQB_ECOLI	PTQB_ECOLI_F1
P69797	PTNAB_ECOLI	PTNAB_ECOLI_F1
P69811	PTFAH_ECOLI	PTFAH_ECOLI_F1
P69816	PTFB2_ECOLI	PTFB2_ECOLI_F1
P69820	ULAC_ECOLI	ULAC_ECOLI_F1
P69824	PTMA_ECOLI	PTMA_ECOLI_F1
P75620	YAAY_ECOLI	YAAY_ECOLI_F1
P76194	SUFE_ECOLI	SUFE_ECOLI_F1
P76909	YNJD_ECOLI	YNJD_ECOLI_F1
P77268	DDPD_ECOLI	DDPD_ECOLI_F1
P77439	PTFX1_ECOLI	PTFX1_ECOLI_F1
P77611	RNFC_ECOLI	RNFC_ECOLI_F1
P77622	DDPF_ECOLI	DDPF_ECOLI_F1
P77795	YDCT_ECOLI	YDCT_ECOLI_F1
Q6BEX0	YTFR_ECOLI	YTFR_ECOLI_F1
P77667	SUFA_ECOLI	SUFA_ECOLI_F1
P27242	WAAU_ECOLI	WAAU_ECOLI_F1
P06993	MALT_ECOLI	MALT_ECOLI_F1
P0AAG3	GLTL_ECOLI	GLTL_ECOLI_F1
P36937	KDPF_ECOLI	KDPF_ECOLI_F1
P77257	LSRA_ECOLI	LSRA_ECOLI_F1
P09833	MODC_ECOLI	MODC_ECOLI_F1
P31060	MODF_ECOLI	MODF_ECOLI_F1
P0AFV8	PSPD_ECOLI	PSPD_ECOLI_F1
C1P605	AZUC_ECOLI	AZUC_ECOLI_F1
P76639	YGEH_ECOLI	YGEH_ECOLI_F1
