ID interactor A	ID interactor B
P08622	P02364
P27430	P02364
P29132	P02364
P11028	P02364
P10115	P02364
P06138	P02364
P28905	P02364
P28689	P02364
P22939	P02364
P23282	P02364
P10440	P02364
P21645	P02364
P07906	P02364
P31120	P02364
P16921	P02364
P17288	P02364
P42184	P02364
P29464	P02364
P21513	P02364
P02388	P02364
P00574	P02364
P00575	P02364
P00577	P02364
P08374	P02364
P33918	P02364
P25522	P02364
P25538	P02364
P37175	P02364
P77756	P02364
P75707	P02364
P37765	P02364
P39199	P02364
P36979	P02364
P05852	P02364
P39290	P02364
P39299	P02364
P45748	P02364
P02379	P02366
P02999	P02366
P23304	P02366
P07019	P02366
P17579	P02366
P14825	P02366
P06277	P02366
P21499	P02366
P45567	P02366
P33635	P02366
P02414	P02367
P02422	P02367
P76086	P02367
P02356	P02367
P17580	P02367
P19675	P02367
P39299	P02367
P02352	P02369
P02995	P02369
P02419	P02369
P23304	P02369
P18391	P02369
P00960	P02369
P25521	P02369
P08756	P02369
P11457	P02369
P43329	P02369
P31059	P02369
P17579	P02369
P05055	P02369
P24210	P02369
P06277	P02369
P00574	P02369
P00577	P02369
P02356	P02369
P33918	P02369
P22563	P02369
P06612	P02369
P07028	P02369
P75829	P02369
P00892	P02369
P33635	P02369
P76594	P02369
Q46930	P02369
P32049	P02369
P39286	P02369
P02375	P02370
P33224	P02370
P06709	P02370
P15716	P02370
P36996	P02370
P24245	P02370
P23304	P02370
P03004	P02370
P28905	P02370
P37181	P02370
P02999	P02370
P27290	P02370
P50465	P02370
P32679	P02370
P16921	P02370
P06277	P02370
P00575	P02370
P22563	P02370
P17580	P02370
P19675	P02370
P25522	P02370
P14294	P02370
P07028	P02370
P36979	P02370
P33635	P02370
P39299	P02370
P76211	P02371
P32679	P02371
P06277	P02371
P15716	P02372
P36997	P02372
P04742	P02372
P00960	P02372
P25521	P02372
P28631	P02372
P28689	P02372
P02999	P02372
P21645	P02372
P07906	P02372
P22523	P02372
P16921	P02372
P42184	P02372
P29464	P02372
P00574	P02372
P00577	P02372
P02356	P02372
P22563	P02372
P37765	P02372
P33635	P02372
P23839	P02372
P45748	P02372
P07012	P02373
P02349	P02374
P07012	P02374
P23304	P02374
P04742	P02374
P25521	P02374
P02999	P02374
P05055	P02374
P06277	P02374
P17580	P02374
P07028	P02374
P21499	P02374
P00892	P02374
P36979	P02374
Q46930	P02374
P02369	P02375
P02999	P02375
P25537	P02375
P23304	P02375
P24229	P02375
P00574	P02375
P75829	P02375
P33635	P02375
P39299	P02375
P24169	P02378
P75960	P02378
P11876	P02378
P23304	P02378
P02999	P02378
P07906	P02378
P21513	P02378
P00574	P02378
P00955	P02378
P06612	P02378
P21499	P02378
P45567	P02378
P77349	P02378
P75829	P02378
P37765	P02378
P33633	P02378
P76594	P02378
Q46930	P02378
P32049	P02378
P39299	P02378
P02369	P02379
P02358	P02379
P02374	P02379
P25537	P02379
P23830	P02379
P14374	P02379
P06277	P02379
P00574	P02379
P02339	P02379
P21499	P02379
P37765	P02379
P39290	P02379
P02354	P02384
P02351	P02384
P36997	P02384
Q47130	P02384
P23304	P02384
P24285	P02384
P03005	P02384
P03007	P02384
P06710	P02384
P18391	P02384
P21774	P02384
P06984	P02384
P08756	P02384
P17579	P02384
P00490	P02384
P30747	P02384
P03003	P02384
P29464	P02384
P06277	P02384
P21507	P02384
P19675	P02384
P00955	P02384
P21499	P02384
P75707	P02384
P77349	P02384
P36540	P02384
P77499	P02384
P30867	P02386
P76211	P02386
P15716	P02386
P19245	P02386
P03020	P02386
P15277	P02386
P36996	P02386
P24245	P02386
P36997	P02386
P11876	P02386
P10443	P02386
P11028	P02386
P30128	P02386
P08756	P02386
P28631	P02386
P28905	P02386
P28632	P02386
P32168	P02386
P31059	P02386
P22939	P02386
P17579	P02386
P21645	P02386
P00490	P02386
P22523	P02386
P32679	P02386
P04381	P02386
P00482	P02386
P23830	P02386
P24229	P02386
P03002	P02386
P02388	P02386
P02424	P02386
P00580	P02386
P14081	P02386
P07015	P02386
P22257	P02386
P06612	P02386
P07028	P02386
P03018	P02386
P18595	P02386
P45567	P02386
P77349	P02386
P75767	P02386
P75829	P02386
P00892	P02386
P76316	P02386
P33916	P02386
Q46930	P02386
P32049	P02386
P32147	P02386
P76114	P02386
P45803	P02386
P02384	P02386
P02392	P02387
