	ID interactor A	ID interactor B
RP5M_ECOLI	P0AFX0	P0A988
GLGC_ECOLI	P0A6V1	P0A6V1
IF2_ECOLI	P0A705	P00634
RIMI_ECOLI	P0A944	P00634
RNH_ECOLI	P0A7Y4	P0A7Y4
DBHA_ECOLI	P0ACF0	P0A7Y4
PHSM_ECOLI	P00490	P0A7Y4
RECQ_ECOLI	P15043	P0A7Y4
RL2_ECOLI	P60422	P0A7Y4
RL28_ECOLI	P0A7M2	P0A7Y4
RS3_ECOLI	P0A7V3	P0A7Y4
RS9_ECOLI	P0A7X3	P0A7Y4
RS14_ECOLI	P0AG59	P0A7Y4
RS20_ECOLI	P0A7U7	P0A7Y4
SSB_ECOLI	P0AGE0	P0A7Y4
TOP1_ECOLI	P06612	P0A7Y4
HPRT_ECOLI	P0A9M2	P00804
CYNS_ECOLI	P00816	P00816
HELD_ECOLI	P15038	P0ABB4
RPOB_ECOLI	P0A8V2	P0ABB4
RL23_ECOLI	P0ADZ0	P0ABA6
DCDA_ECOLI	P00861	P00861
SYK2_ECOLI	P0A8N5	P00861
GCSP_ECOLI	P33195	P00864
MASZ_ECOLI	P37330	P00864
DEOC_ECOLI	P0A6L0	P0A6L0
CH60_ECOLI	P0A6F5	P0AB91
AROG_ECOLI	P0AB91	P0AB91
AROF_ECOLI	P00888	P00888
CISY_ECOLI	P0ABH7	P0ABH7
CSPD_ECOLI	P0A968	P00892
ILVG_ECOLI	P00892	P00892
AIDB_ECOLI	P33224	P00892
DBHA_ECOLI	P0ACF0	P00892
DBHB_ECOLI	P0ACF4	P00892
RL1_ECOLI	P0A7L0	P00892
RL5_ECOLI	P62399	P00892
RL9_ECOLI	P0A7R1	P00892
RL7_ECOLI	P0A7K2	P00892
RL16_ECOLI	P0ADY7	P00892
RL17_ECOLI	P0AG44	P00892
RL18_ECOLI	P0C018	P00892
RL19_ECOLI	P0A7K6	P00892
RL20_ECOLI	P0A7L3	P00892
RL21_ECOLI	P0AG48	P00892
RL24_ECOLI	P60624	P00892
RL28_ECOLI	P0A7M2	P00892
RPOB_ECOLI	P0A8V2	P00892
RS1_ECOLI	P0AG67	P00892
RS3_ECOLI	P0A7V3	P00892
RS14_ECOLI	P0AG59	P00892
RS16_ECOLI	P0A7T3	P00892
RS20_ECOLI	P0A7U7	P00892
RLML_ECOLI	P75864	P00892
RLUB_ECOLI	P37765	P00892
YFIF_ECOLI	P0AGJ5	P00892
YIBL_ECOLI	P0ADK8	P00892
RLUE_ECOLI	P75966	P00892
RPPH_ECOLI	P0A776	P00892
YHBY_ECOLI	P0AGK4	P00892
ILVI_ECOLI	P00893	P00893
PDXH_ECOLI	P0AFI7	P00893
RL9_ECOLI	P0A7R1	P00893
RL28_ECOLI	P0A7M2	P00893
RS1_ECOLI	P0AG67	P00893
ILVH_ECOLI	P00894	P00894
PABB_ECOLI	P05041	P00903
CARA_ECOLI	P0A6F1	P0A6F1
TNAA_ECOLI	P0A853	P0A853
PHR_ECOLI	P00914	P00914
ILVB_ECOLI	P08142	P0AC33
TRPA_ECOLI	P0A877	P0A879
KDGK_ECOLI	P37647	P00934
RSPA_ECOLI	P38104	P00934
HNS_ECOLI	P0ACF8	P00934
RL28_ECOLI	P0A7M2	P00934
METB_ECOLI	P00935	P00935
MANA_ECOLI	P00946	P00946
MINC_ECOLI	P18196	P00946
RLML_ECOLI	P75864	P00946
SYY_ECOLI	P0AGJ9	P0AGJ9
SYW_ECOLI	P00954	P00954
RL22_ECOLI	P61175	P00954
RS2_ECOLI	P0A7V0	P00954
SYT_ECOLI	P0A8M3	P0A8M3
ENO_ECOLI	P0A6P9	P0A8M3
RL3_ECOLI	P60438	P0A8M3
RL9_ECOLI	P0A7R1	P0A8M3
RL13_ECOLI	P0AA10	P0A8M3
RL19_ECOLI	P0A7K6	P0A8M3
RS10_ECOLI	P0A7R5	P0A8M3
RS13_ECOLI	P0A7S9	P0A8M3
RS14_ECOLI	P0AG59	P0A8M3
WCAB_ECOLI	P0ACC9	P0A8M3
YHBY_ECOLI	P0AGK4	P0A8M3
YICC_ECOLI	P23839	P0A8M3
SYI_ECOLI	P00956	P00956
ALLR_ECOLI	P0ACN4	P00956
AMPM_ECOLI	P0AE18	P00956
SYA_ECOLI	P00957	P00957
SYE_ECOLI	P04805	P00957
SYGA_ECOLI	P00960	P00960
RL13_ECOLI	P0AA10	P00960
RL16_ECOLI	P0ADY7	P00960
