Merge ID	Cellular Component	Biological Process
P0ACR9	(intracellular)	
P52062	(cytoplasm)	
P52052	(intracellular)	(transport)
P10121	(cytosol)	
P69228	(cytoplasm::intracellular)	
P0AAJ5	(plasma+membrane)	(transport)
P0AAJ3	(plasma+membrane)	(transport)
P0A8I8	(cytoplasm)	
P39277	(plasma+membrane)	(transmembrane+transport)
P39279	(cytoplasm)	
P37759	(cytoplasm)	
P0A7X3	(ribosome)	(translation)
P20966	(plasma+membrane)	(transport)
P75870	(plasma+membrane)	
P36554	(plasma+membrane)	(transmembrane+transport::transport)
P78055	(cytoplasm)	(carbohydrate+metabolic+process)
P36553	(cytoplasm)	
P0A8I1	(cytoplasm)	
Q46798	(plasma+membrane)	
P24224	(cytoplasm)	
P77196	(plasma+membrane)	(transport)
P24232	(cytoplasm)	(transport)
P0AEL8	(cytoplasm::intracellular)	
P36561	(plasma+membrane)	
P0A884	(cytoplasm)	
P0A7W1	(intracellular::ribosome)	(translation)
P29680	(cytoplasm)	
P76417	(plasma+membrane)	(transport)
P0AEK4	(plasma+membrane)	
P37147	(plasma+membrane)	
P24216	(extracellular+region)	(cell+adhesion)
P75864	(cytoplasm)	
P10384	(plasma+membrane)	(transport)
P0A879	(cytoplasm)	
P05706	(cytoplasm)	(transport)
P0A8G0	(cytoplasm::intracellular)	
P0AD61	(cytosol)	
P05704	(plasma+membrane)	(signal+transduction)
P0A877	(cytoplasm)	
P0ACM9	(intracellular)	
P18335	(cytoplasm)	
P25524	(cytosol)	
P0A905	(plasma+membrane)	
P0AEN8	(cytoplasm)	(carbohydrate+metabolic+process)
P25526	(cytoplasm)	
P25527	(plasma+membrane)	(transmembrane+transport::transport)
P0ACM2	(intracellular)	
P0A901	(plasma+membrane)	(transport)
P0AEN4	(plasma+membrane)	(cell+cycle::cell+division)
P25522	(cytoplasm)	
P23872	(cytoplasm)	
P23871	(cytoplasm)	
P37188	(cytoplasm)	(transport)
P0A8N7	(cytoplasm)	(translation)
P20083	(chromosome::cytoplasm)	
P23878	(plasma+membrane)	(transport)
P0A8N5	(cytoplasm::cytosol)	(translation)
P43672	(cytoplasm)	(transport)
