Old Uniprot Acc	New Uniprot Acc
P0A986	P0A986
P00582	P00582
P23852	P60240
P64534	P64534
Q46841	Q46841
P02370	P0AG59
P0AF67	P0AF67
P0A9M2	P0A9M2
P75869	P75869
P0AFP4	P0AFP4
P18196	P18196
P76299	P76299
P13039	P13039
P0A7J3	P0A7J3
P52644	P52644
P0A8E5	P0A8E5
P30137	P30137
P11876	P0AED9
P77625	P77625
P64612	P64612
P0AAT6	P0AAT6
P0A8P1	P0A8P1
P10905	P10905
P0A6Z6	P0A6Z6
P0AFZ3	P0AFZ3
P0AA39	P0AA39
P0A8J4	P0A8J4
P77395	P77395
P13030	P0A8N3
P39299	P0A9W0
P08365	P08365
P11603	P0A9B6
P39174	P0AEM9
P0ABX2	P0ABX2
P0A759	P0A759
P32144	P32144
P77402	P77402
P0AGK4	P0AGK4
P06996	P06996
P11665	P0A799
P76093	P76093
P02937	P69776
P76118	P76118
P37005	P37005
P0C8J8	P0C8J8
P76446	P76446
P22539	P0A9E2
P16433	P16433
P19317	P19317
P00837	P0ABA6
P20101	P0AGM5
P03052	P03052
P24203	P24203
P39455	P0AAT4
P0A850	P0A850
P46852	P46852
P0A9H9	P0A9H9
P0ADK8	P0ADK8
Q9ZN60	P56614
P0A847	P0A847
P31544	P0A9K1
P76045	P76045
P0A6V1	P0A6V1
Q47454	Q47454
P06137	P0ABH0
P0A6G7	P0A6G7
P39099	P39099
P76010	P76010
P37183	P0AAN1
P0AD99	P0AD99
P39367	P39367
P75745	P75745
P03806	P0A8Q3
P25538	P0A8D0
P24193	P24193
P0ABJ9	P0ABJ9
P0AEZ7	P0AEZ7
P77524	P0AEW1
P17579	P0A715
P10408	P10408
P33934	P33934
P0A6U3	P0A6U3
P15028	P15028
P31979	P31979
P15082	P15082
P39315	P39315
P11557	P11557
P0A9V1	P0A9V1
P23932	P0A7D1
P76097	P76097
P09371	P0A8V6
P04036	P04036
P05055	P05055
P75877	P0AB65
P0AAC0	P0AAC0
P38685	P0ADV1
P21599	P21599
P00584	P0A6V1
P0A6I6	P0A6I6
P29210	P0C058
P23331	P23331
P0AEJ2	P0AEJ2
P77783	P77783
P0A8N3	P0A8N3
P13001	P13001
P20083	P20083
P07460	P0A836
P33224	P33224
P31803	P69913
P29132	P0AEK4
P69741	P69741
P25798	P25798
P33916	P33916
P52096	P52096
P0AC78	P0AC78
P0ACF8	P0ACF8
P77454	P77454
P37903	P37903
P21502	P0AEL8
P0A749	P0A749
P29744	P29744
