Entry Name A_Subcellular Location(this study)	Entry Name B_Subcellular Location(this study)	Entry Name A	Entry Name B	Accession A	Accession B	Satus
CARB_A	CYSJ_A	CARB_ECOLI	CYSJ_ECOLI	P00968	P38038	C
RS6_A	RS5_A	RS6_ECOLI	RS5_ECOLI	P02358	P0A7W1	C
RS6_A	RS21_A	RS6_ECOLI	RS21_ECOLI	P02358	P68679	C
RS6_A	ACP_F1	RS6_ECOLI	ACP_ECOLI	P02358	P0A6A8	C
RS6_A	IF3_A	RS6_ECOLI	IF3_ECOLI	P02358	P0A707	C
RS6_A	UVRD_A	RS6_ECOLI	UVRD_ECOLI	P02358	P03018	C
RS6_A	FIMB_A	RS6_ECOLI	FIMB_ECOLI	P02358	P0ADH5	C
RS6_A	RF2_A	RS6_ECOLI	RF2_ECOLI	P02358	P07012	C
RS6_A	IHFB_A	RS6_ECOLI	IHFB_ECOLI	P02358	P0A6Y1	C
RS6_A	ACP_F1	RS6_ECOLI	ACP_ECOLI	P02358	P0A6A8	C
RS6_A	RPPH_A	RS6_ECOLI	RPPH_ECOLI	P02358	P0A776	C
RS6_A	PGK_A	RS6_ECOLI	PGK_ECOLI	P02358	P0A799	C
RS6_A	YACL_A	RS6_ECOLI	YACL_ECOLI	P02358	P0A8E5	C
RS6_A	UVRC_A	RS6_ECOLI	UVRC_ECOLI	P02358	P0A8G0	C
RS6_A	TRMB_A	RS6_ECOLI	TRMB_ECOLI	P02358	P0A8I5	C
RS6_A	RHLB_A	RS6_ECOLI	RHLB_ECOLI	P02358	P0A8J8	C
RS6_A	RPOB_A	RS6_ECOLI	RPOB_ECOLI	P02358	P0A8V2	C
RS6_A	YFBU_A	RS6_ECOLI	YFBU_ECOLI	P02358	P0A8W8	C
RS6_A	DEAD_A	RS6_ECOLI	DEAD_ECOLI	P02358	P0A9P6	C
RS6_A	MREB_F1	RS6_ECOLI	MREB_ECOLI	P02358	P0A9X4	C
RS6_A	CSPC_A	RS6_ECOLI	CSPC_ECOLI	P02358	P0A9Y6	C
RS6_A	RLUC_A	RS6_ECOLI	RLUC_ECOLI	P02358	P0AA39	C
RS6_A	CLPA_A	RS6_ECOLI	CLPA_ECOLI	P02358	P0ABH9	C
RS6_A	DPS_A	RS6_ECOLI	DPS_ECOLI	P02358	P0ABT2	C
RS6_A	EXBB_B	RS6_ECOLI	EXBB_ECOLI	P02358	P0ABU7	C
RS6_A	ALLR_A	RS6_ECOLI	ALLR_ECOLI	P02358	P0ACN4	C
RS6_A	YGGE_G	RS6_ECOLI	YGGE_ECOLI	P02358	P0ADS6	C
RS6_A	NUSG_A	RS6_ECOLI	NUSG_ECOLI	P02358	P0AFG0	C
RS6_A	YFIF_A	RS6_ECOLI	YFIF_ECOLI	P02358	P0AGJ5	C
RS6_A	YHBY_A	RS6_ECOLI	YHBY_ECOLI	P02358	P0AGK4	C
RS6_A	HTPG_F1	RS6_ECOLI	HTPG_ECOLI	P02358	P0A6Z3	C
RS6_A	MREB_F1	RS6_ECOLI	MREB_ECOLI	P02358	P0A9X4	C
RS6_A	SELB_A	RS6_ECOLI	SELB_ECOLI	P02358	P14081	C
RS6_A	CLPP_A	RS6_ECOLI	CLPP_ECOLI	P02358	P0A6G7	C
RS6_A	RNR_A	RS6_ECOLI	RNR_ECOLI	P02358	P21499	C
RS6_A	DEAD_A	RS6_ECOLI	DEAD_ECOLI	P02358	P0A9P6	C
RS6_A	RHLB_A	RS6_ECOLI	RHLB_ECOLI	P02358	P0A8J8	C
RS6_A	DPS_A	RS6_ECOLI	DPS_ECOLI	P02358	P0ABT2	C
RS6_A	HOLE_A	RS6_ECOLI	HOLE_ECOLI	P02358	P0ABS8	C
RS6_A	IBPA_A	RS6_ECOLI	IBPA_ECOLI	P02358	P0C054	C
RS6_A	NFI_A	RS6_ECOLI	NFI_ECOLI	P02358	P68739	C
RS6_A	YFIF_A	RS6_ECOLI	YFIF_ECOLI	P02358	P0AGJ5	C
RS6_A	CSPC_A	RS6_ECOLI	CSPC_ECOLI	P02358	P0A9Y6	C
RS6_A	YEFI_F1	RS6_ECOLI	YEFI_ECOLI	P02358	P37751	C
RS6_A	RLUB_A	RS6_ECOLI	RLUB_ECOLI	P02358	P37765	C
RS6_A	YBCJ_A	RS6_ECOLI	YBCJ_ECOLI	P02358	P0AAS7	C
RS6_A	TORZ_G	RS6_ECOLI	TORZ_ECOLI	P02358	P46923	C
RS6_A	GMHB_A	RS6_ECOLI	GMHB_ECOLI	P02358	P63228	C
RS6_A	YQJI_A	RS6_ECOLI	YQJI_ECOLI	P02358	P64588	C
RS6_A	CSRA_A	RS6_ECOLI	CSRA_ECOLI	P02358	P69913	C
RS6_A	YBHK_A	RS6_ECOLI	YBHK_ECOLI	P02358	P75767	C
RS6_A	RLMI_A	RS6_ECOLI	RLMI_ECOLI	P02358	P75876	C
RS6_A	DCYD_A	RS6_ECOLI	DCYD_ECOLI	P02358	P76316	C
RS6_A	YFFS_A	RS6_ECOLI	YFFS_ECOLI	P02358	P76550	C
RS6_A	GTRB_B	RS6_ECOLI	GTRB_ECOLI	P02358	P77293	C
RS6_A	ALLR_A	RS6_ECOLI	ALLR_ECOLI	P02358	P0ACN4	C
RS7_A	RPOD_A	RS7_ECOLI	RPOD_ECOLI	P02359	P00579	C
RS7_A	DBHB_A	RS7_ECOLI	DBHB_ECOLI	P02359	P0ACF4	C
RS7_A	RS5_A	RS7_ECOLI	RS5_ECOLI	P02359	P0A7W1	C
RS7_A	RL4_A	RS7_ECOLI	RL4_ECOLI	P02359	P60723	C
RS7_A	RL7_A	RS7_ECOLI	RL7_ECOLI	P02359	P0A7K2	C
RS7_A	ACP_F1	RS7_ECOLI	ACP_ECOLI	P02359	P0A6A8	C
RS7_A	PRIM_B	RS7_ECOLI	PRIM_ECOLI	P02359	P0ABS5	C
RS7_A	IF3_A	RS7_ECOLI	IF3_ECOLI	P02359	P0A707	C
RS7_A	NUSA_A	RS7_ECOLI	NUSA_ECOLI	P02359	P0AFF6	C
RS7_A	RIMP_A	RS7_ECOLI	RIMP_ECOLI	P02359	P0A8A8	C
RS7_A	FIMB_A	RS7_ECOLI	FIMB_ECOLI	P02359	P0ADH5	C
RS7_A	PNP_A	RS7_ECOLI	PNP_ECOLI	P02359	P05055	C
RS7_A	RNPA_A	RS7_ECOLI	RNPA_ECOLI	P02359	P0A7Y8	C
RS7_A	LON_A	RS7_ECOLI	LON_ECOLI	P02359	P0A9M0	C
RS7_A	RPOZ_A	RS7_ECOLI	RPOZ_ECOLI	P02359	P0A800	C
RS7_A	GRPE_A	RS7_ECOLI	GRPE_ECOLI	P02359	P09372	C
RS7_A	FTSE_F1	RS7_ECOLI	FTSE_ECOLI	P02359	P0A9R7	C
RS7_A	SELB_A	RS7_ECOLI	SELB_ECOLI	P02359	P14081	C
RS7_A	SYK2_A	RS7_ECOLI	SYK2_ECOLI	P02359	P0A8N5	C
RS7_A	CSPA_A	RS7_ECOLI	CSPA_ECOLI	P02359	P0A9X9	C
RS7_A	CLPA_A	RS7_ECOLI	CLPA_ECOLI	P02359	P0ABH9	C
RS7_A	ICLR_A	RS7_ECOLI	ICLR_ECOLI	P02359	P16528	C
RS7_A	NUSG_A	RS7_ECOLI	NUSG_ECOLI	P02359	P0AFG0	C
RS7_A	IPYR_A	RS7_ECOLI	IPYR_ECOLI	P02359	P0A7A9	C
RS7_A	KDSA_A	RS7_ECOLI	KDSA_ECOLI	P02359	P0A715	C
RS7_A	FABA_A	RS7_ECOLI	FABA_ECOLI	P02359	P0A6Q3	C
RS7_A	CLPP_A	RS7_ECOLI	CLPP_ECOLI	P02359	P0A6G7	C
RS7_A	RNE_F1	RS7_ECOLI	RNE_ECOLI	P02359	P21513	C
RS7_A	LPXD_A	RS7_ECOLI	LPXD_ECOLI	P02359	P21645	C
RS7_A	FABZ_F1	RS7_ECOLI	FABZ_ECOLI	P02359	P0A6Q6	C
RS7_A	DEAD_A	RS7_ECOLI	DEAD_ECOLI	P02359	P0A9P6	C
RS7_A	PSS_F1	RS7_ECOLI	PSS_ECOLI	P02359	P23830	C
RS7_A	HYPC_A	RS7_ECOLI	HYPC_ECOLI	P02359	P0AAM3	C
RS7_A	RCSA_A	RS7_ECOLI	RCSA_ECOLI	P02359	P69405	C
RS7_A	HFQ_F1	RS7_ECOLI	HFQ_ECOLI	P02359	P0A6X3	C
